result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-1 cache size       72, 1742048 req, miss ratio 0.2316, byte miss ratio 0.2316
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-1 cache size      217, 1742048 req, miss ratio 0.1632, byte miss ratio 0.1632
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-1 cache size      725, 1742048 req, miss ratio 0.1325, byte miss ratio 0.1325
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-1 cache size     2175, 1742048 req, miss ratio 0.1129, byte miss ratio 0.1129
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-1 cache size     7250, 1742048 req, miss ratio 0.0937, byte miss ratio 0.0937
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-1 cache size    14500, 1742048 req, miss ratio 0.0791, byte miss ratio 0.0791
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-1 cache size    29001, 1742048 req, miss ratio 0.0540, byte miss ratio 0.0540
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-1 cache size    58002, 1742048 req, miss ratio 0.0420, byte miss ratio 0.0420
result/tencentBlock.ns4619.oracleGeneral.zst Cacheus cache size       72, 1742048 req, miss ratio 0.2286, byte miss ratio 0.2286
result/tencentBlock.ns4619.oracleGeneral.zst Cacheus cache size      217, 1742048 req, miss ratio 0.1725, byte miss ratio 0.1725
result/tencentBlock.ns4619.oracleGeneral.zst Cacheus cache size      725, 1742048 req, miss ratio 0.1363, byte miss ratio 0.1363
result/tencentBlock.ns4619.oracleGeneral.zst Cacheus cache size     2175, 1742048 req, miss ratio 0.1158, byte miss ratio 0.1158
result/tencentBlock.ns4619.oracleGeneral.zst Cacheus cache size     7250, 1742048 req, miss ratio 0.0961, byte miss ratio 0.0961
result/tencentBlock.ns4619.oracleGeneral.zst Cacheus cache size    14500, 1742048 req, miss ratio 0.0819, byte miss ratio 0.0819
result/tencentBlock.ns4619.oracleGeneral.zst Cacheus cache size    29001, 1742048 req, miss ratio 0.0535, byte miss ratio 0.0535
result/tencentBlock.ns4619.oracleGeneral.zst Cacheus cache size    58002, 1742048 req, miss ratio 0.0422, byte miss ratio 0.0422
result/tencentBlock.ns4619.oracleGeneral.zst clock2 cache size       72, 1742048 req, miss ratio 0.2455, byte miss ratio 0.2455
result/tencentBlock.ns4619.oracleGeneral.zst clock2 cache size      217, 1742048 req, miss ratio 0.1787, byte miss ratio 0.1787
result/tencentBlock.ns4619.oracleGeneral.zst clock2 cache size      725, 1742048 req, miss ratio 0.1496, byte miss ratio 0.1496
result/tencentBlock.ns4619.oracleGeneral.zst clock2 cache size     2175, 1742048 req, miss ratio 0.1249, byte miss ratio 0.1249
result/tencentBlock.ns4619.oracleGeneral.zst clock2 cache size     7250, 1742048 req, miss ratio 0.1093, byte miss ratio 0.1093
result/tencentBlock.ns4619.oracleGeneral.zst clock2 cache size    14500, 1742048 req, miss ratio 0.0846, byte miss ratio 0.0846
result/tencentBlock.ns4619.oracleGeneral.zst clock2 cache size    29001, 1742048 req, miss ratio 0.0636, byte miss ratio 0.0636
result/tencentBlock.ns4619.oracleGeneral.zst clock2 cache size    58002, 1742048 req, miss ratio 0.0420, byte miss ratio 0.0420
result/tencentBlock.ns4619.oracleGeneral.zst FIFO cache size       72, 1742048 req, miss ratio 0.3420, byte miss ratio 0.3420
result/tencentBlock.ns4619.oracleGeneral.zst FIFO cache size      217, 1742048 req, miss ratio 0.2193, byte miss ratio 0.2193
result/tencentBlock.ns4619.oracleGeneral.zst FIFO cache size      725, 1742048 req, miss ratio 0.1657, byte miss ratio 0.1657
result/tencentBlock.ns4619.oracleGeneral.zst FIFO cache size     2175, 1742048 req, miss ratio 0.1362, byte miss ratio 0.1362
result/tencentBlock.ns4619.oracleGeneral.zst FIFO cache size     7250, 1742048 req, miss ratio 0.1046, byte miss ratio 0.1046
result/tencentBlock.ns4619.oracleGeneral.zst FIFO cache size    14500, 1742048 req, miss ratio 0.0885, byte miss ratio 0.0885
result/tencentBlock.ns4619.oracleGeneral.zst FIFO cache size    29001, 1742048 req, miss ratio 0.0633, byte miss ratio 0.0633
result/tencentBlock.ns4619.oracleGeneral.zst FIFO cache size    58002, 1742048 req, miss ratio 0.0468, byte miss ratio 0.0468
result/tencentBlock.ns4619.oracleGeneral.zst ARC cache size       72, 1742048 req, miss ratio 0.2199, byte miss ratio 0.2199
result/tencentBlock.ns4619.oracleGeneral.zst ARC cache size      217, 1742048 req, miss ratio 0.1625, byte miss ratio 0.1625
result/tencentBlock.ns4619.oracleGeneral.zst ARC cache size      725, 1742048 req, miss ratio 0.1329, byte miss ratio 0.1329
result/tencentBlock.ns4619.oracleGeneral.zst ARC cache size     2175, 1742048 req, miss ratio 0.1149, byte miss ratio 0.1149
result/tencentBlock.ns4619.oracleGeneral.zst ARC cache size     7250, 1742048 req, miss ratio 0.0947, byte miss ratio 0.0947
result/tencentBlock.ns4619.oracleGeneral.zst ARC cache size    14500, 1742048 req, miss ratio 0.0783, byte miss ratio 0.0783
result/tencentBlock.ns4619.oracleGeneral.zst ARC cache size    29001, 1742048 req, miss ratio 0.0537, byte miss ratio 0.0537
result/tencentBlock.ns4619.oracleGeneral.zst ARC cache size    58002, 1742048 req, miss ratio 0.0420, byte miss ratio 0.0420
