result/tencentBlock.ns14060.oracleGeneral.zst FIFO cache size      654, 1397141 req, miss ratio 0.7288, byte miss ratio 0.7288
result/tencentBlock.ns14060.oracleGeneral.zst FIFO cache size     1963, 1397141 req, miss ratio 0.7194, byte miss ratio 0.7194
result/tencentBlock.ns14060.oracleGeneral.zst FIFO cache size     6545, 1397141 req, miss ratio 0.7154, byte miss ratio 0.7154
result/tencentBlock.ns14060.oracleGeneral.zst FIFO cache size    19637, 1397141 req, miss ratio 0.6802, byte miss ratio 0.6802
result/tencentBlock.ns14060.oracleGeneral.zst FIFO cache size    65458, 1397141 req, miss ratio 0.6205, byte miss ratio 0.6205
result/tencentBlock.ns14060.oracleGeneral.zst FIFO cache size   130917, 1397141 req, miss ratio 0.5543, byte miss ratio 0.5543
result/tencentBlock.ns14060.oracleGeneral.zst FIFO cache size   261835, 1397141 req, miss ratio 0.5071, byte miss ratio 0.5071
result/tencentBlock.ns14060.oracleGeneral.zst FIFO cache size   523671, 1397141 req, miss ratio 0.4796, byte miss ratio 0.4796
result/tencentBlock.ns14060.oracleGeneral.zst S3FIFO-1 cache size      654, 1397141 req, miss ratio 0.7153, byte miss ratio 0.7153
result/tencentBlock.ns14060.oracleGeneral.zst S3FIFO-1 cache size     1963, 1397141 req, miss ratio 0.7129, byte miss ratio 0.7129
result/tencentBlock.ns14060.oracleGeneral.zst S3FIFO-1 cache size     6545, 1397141 req, miss ratio 0.7059, byte miss ratio 0.7059
result/tencentBlock.ns14060.oracleGeneral.zst S3FIFO-1 cache size    19637, 1397141 req, miss ratio 0.6333, byte miss ratio 0.6333
result/tencentBlock.ns14060.oracleGeneral.zst S3FIFO-1 cache size    65458, 1397141 req, miss ratio 0.4999, byte miss ratio 0.4999
result/tencentBlock.ns14060.oracleGeneral.zst S3FIFO-1 cache size   130917, 1397141 req, miss ratio 0.4767, byte miss ratio 0.4767
result/tencentBlock.ns14060.oracleGeneral.zst S3FIFO-1 cache size   261835, 1397141 req, miss ratio 0.4700, byte miss ratio 0.4700
result/tencentBlock.ns14060.oracleGeneral.zst S3FIFO-1 cache size   523671, 1397141 req, miss ratio 0.4688, byte miss ratio 0.4688
result/tencentBlock.ns14060.oracleGeneral.zst Clock cache size      654, 1397141 req, miss ratio 0.7160, byte miss ratio 0.7160
result/tencentBlock.ns14060.oracleGeneral.zst Clock cache size     1963, 1397141 req, miss ratio 0.7147, byte miss ratio 0.7147
result/tencentBlock.ns14060.oracleGeneral.zst Clock cache size     6545, 1397141 req, miss ratio 0.7139, byte miss ratio 0.7139
result/tencentBlock.ns14060.oracleGeneral.zst Clock cache size    19637, 1397141 req, miss ratio 0.6751, byte miss ratio 0.6751
result/tencentBlock.ns14060.oracleGeneral.zst Clock cache size    65458, 1397141 req, miss ratio 0.5887, byte miss ratio 0.5887
result/tencentBlock.ns14060.oracleGeneral.zst Clock cache size   130917, 1397141 req, miss ratio 0.4971, byte miss ratio 0.4971
result/tencentBlock.ns14060.oracleGeneral.zst Clock cache size   261835, 1397141 req, miss ratio 0.4712, byte miss ratio 0.4712
result/tencentBlock.ns14060.oracleGeneral.zst Clock cache size   523671, 1397141 req, miss ratio 0.4688, byte miss ratio 0.4688
result/tencentBlock.ns14060.oracleGeneral.zst LIRS cache size      654, 1397141 req, miss ratio 0.7272, byte miss ratio 0.7272
result/tencentBlock.ns14060.oracleGeneral.zst LIRS cache size     1963, 1397141 req, miss ratio 0.7166, byte miss ratio 0.7166
result/tencentBlock.ns14060.oracleGeneral.zst LIRS cache size     6545, 1397141 req, miss ratio 0.7030, byte miss ratio 0.7030
result/tencentBlock.ns14060.oracleGeneral.zst LIRS cache size    19637, 1397141 req, miss ratio 0.6320, byte miss ratio 0.6320
result/tencentBlock.ns14060.oracleGeneral.zst LIRS cache size    65458, 1397141 req, miss ratio 0.5126, byte miss ratio 0.5126
result/tencentBlock.ns14060.oracleGeneral.zst LIRS cache size   130917, 1397141 req, miss ratio 0.4848, byte miss ratio 0.4848
result/tencentBlock.ns14060.oracleGeneral.zst LIRS cache size   261835, 1397141 req, miss ratio 0.4742, byte miss ratio 0.4742
result/tencentBlock.ns14060.oracleGeneral.zst LIRS cache size   523671, 1397141 req, miss ratio 0.4706, byte miss ratio 0.4706
result/tencentBlock.ns14060.oracleGeneral.zst LeCaR cache size      654, 1397141 req, miss ratio 0.7158, byte miss ratio 0.7158
result/tencentBlock.ns14060.oracleGeneral.zst LeCaR cache size     1963, 1397141 req, miss ratio 0.7145, byte miss ratio 0.7145
result/tencentBlock.ns14060.oracleGeneral.zst LeCaR cache size     6545, 1397141 req, miss ratio 0.7120, byte miss ratio 0.7120
result/tencentBlock.ns14060.oracleGeneral.zst LeCaR cache size    19637, 1397141 req, miss ratio 0.6677, byte miss ratio 0.6677
result/tencentBlock.ns14060.oracleGeneral.zst LeCaR cache size    65458, 1397141 req, miss ratio 0.5881, byte miss ratio 0.5881
result/tencentBlock.ns14060.oracleGeneral.zst LeCaR cache size   130917, 1397141 req, miss ratio 0.4834, byte miss ratio 0.4834
result/tencentBlock.ns14060.oracleGeneral.zst LeCaR cache size   261835, 1397141 req, miss ratio 0.4707, byte miss ratio 0.4707
result/tencentBlock.ns14060.oracleGeneral.zst LeCaR cache size   523671, 1397141 req, miss ratio 0.4688, byte miss ratio 0.4688
result/tencentBlock.ns14060.oracleGeneral.zst ARC cache size      654, 1397141 req, miss ratio 0.7148, byte miss ratio 0.7148
result/tencentBlock.ns14060.oracleGeneral.zst ARC cache size     1963, 1397141 req, miss ratio 0.7142, byte miss ratio 0.7142
result/tencentBlock.ns14060.oracleGeneral.zst ARC cache size     6545, 1397141 req, miss ratio 0.7036, byte miss ratio 0.7036
