result/tencentBlock.ns9249.oracleGeneral.zst S3FIFO-1 cache size      271, 2834389 req, miss ratio 0.4501, byte miss ratio 0.4501
result/tencentBlock.ns9249.oracleGeneral.zst S3FIFO-1 cache size      814, 2834389 req, miss ratio 0.3894, byte miss ratio 0.3894
result/tencentBlock.ns9249.oracleGeneral.zst S3FIFO-1 cache size     2715, 2834389 req, miss ratio 0.2971, byte miss ratio 0.2971
result/tencentBlock.ns9249.oracleGeneral.zst S3FIFO-1 cache size     8145, 2834389 req, miss ratio 0.2704, byte miss ratio 0.2704
result/tencentBlock.ns9249.oracleGeneral.zst S3FIFO-1 cache size    27151, 2834389 req, miss ratio 0.2289, byte miss ratio 0.2289
result/tencentBlock.ns9249.oracleGeneral.zst S3FIFO-1 cache size    54303, 2834389 req, miss ratio 0.1962, byte miss ratio 0.1962
result/tencentBlock.ns9249.oracleGeneral.zst S3FIFO-1 cache size   108607, 2834389 req, miss ratio 0.1185, byte miss ratio 0.1185
result/tencentBlock.ns9249.oracleGeneral.zst S3FIFO-1 cache size   217215, 2834389 req, miss ratio 0.0969, byte miss ratio 0.0969
result/tencentBlock.ns9249.oracleGeneral.zst LRU cache size      271, 2834389 req, miss ratio 0.5668, byte miss ratio 0.5668
result/tencentBlock.ns9249.oracleGeneral.zst LRU cache size      814, 2834389 req, miss ratio 0.4131, byte miss ratio 0.4131
result/tencentBlock.ns9249.oracleGeneral.zst LRU cache size     2715, 2834389 req, miss ratio 0.3458, byte miss ratio 0.3458
result/tencentBlock.ns9249.oracleGeneral.zst LRU cache size     8145, 2834389 req, miss ratio 0.2873, byte miss ratio 0.2873
result/tencentBlock.ns9249.oracleGeneral.zst LRU cache size    27151, 2834389 req, miss ratio 0.2359, byte miss ratio 0.2359
result/tencentBlock.ns9249.oracleGeneral.zst LRU cache size    54303, 2834389 req, miss ratio 0.2007, byte miss ratio 0.2007
result/tencentBlock.ns9249.oracleGeneral.zst LRU cache size   108607, 2834389 req, miss ratio 0.1159, byte miss ratio 0.1159
result/tencentBlock.ns9249.oracleGeneral.zst LRU cache size   217215, 2834389 req, miss ratio 0.0961, byte miss ratio 0.0961
result/tencentBlock.ns9249.oracleGeneral.zst FIFO cache size      271, 2834389 req, miss ratio 0.6568, byte miss ratio 0.6568
result/tencentBlock.ns9249.oracleGeneral.zst FIFO cache size      814, 2834389 req, miss ratio 0.4796, byte miss ratio 0.4796
result/tencentBlock.ns9249.oracleGeneral.zst FIFO cache size     2715, 2834389 req, miss ratio 0.3788, byte miss ratio 0.3788
result/tencentBlock.ns9249.oracleGeneral.zst FIFO cache size     8145, 2834389 req, miss ratio 0.3172, byte miss ratio 0.3172
result/tencentBlock.ns9249.oracleGeneral.zst FIFO cache size    27151, 2834389 req, miss ratio 0.2554, byte miss ratio 0.2554
result/tencentBlock.ns9249.oracleGeneral.zst FIFO cache size    54303, 2834389 req, miss ratio 0.2179, byte miss ratio 0.2179
result/tencentBlock.ns9249.oracleGeneral.zst FIFO cache size   108607, 2834389 req, miss ratio 0.1417, byte miss ratio 0.1417
result/tencentBlock.ns9249.oracleGeneral.zst FIFO cache size   217215, 2834389 req, miss ratio 0.1067, byte miss ratio 0.1067
result/tencentBlock.ns9249.oracleGeneral.zst LHD cache size      271, 2834389 req, miss ratio 0.4626, byte miss ratio 0.4626
result/tencentBlock.ns9249.oracleGeneral.zst LHD cache size      814, 2834389 req, miss ratio 0.4098, byte miss ratio 0.4098
result/tencentBlock.ns9249.oracleGeneral.zst LHD cache size     2715, 2834389 req, miss ratio 0.3229, byte miss ratio 0.3229
result/tencentBlock.ns9249.oracleGeneral.zst LHD cache size     8145, 2834389 req, miss ratio 0.2772, byte miss ratio 0.2772
result/tencentBlock.ns9249.oracleGeneral.zst LHD cache size    27151, 2834389 req, miss ratio 0.2293, byte miss ratio 0.2293
result/tencentBlock.ns9249.oracleGeneral.zst LHD cache size    54303, 2834389 req, miss ratio 0.1818, byte miss ratio 0.1818
result/tencentBlock.ns9249.oracleGeneral.zst LHD cache size   108607, 2834389 req, miss ratio 0.1135, byte miss ratio 0.1135
