result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-1 cache size       91, 2607201 req, miss ratio 0.2462, byte miss ratio 0.2462
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-1 cache size      275, 2607201 req, miss ratio 0.1803, byte miss ratio 0.1803
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-1 cache size      919, 2607201 req, miss ratio 0.1558, byte miss ratio 0.1558
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-1 cache size     2759, 2607201 req, miss ratio 0.1443, byte miss ratio 0.1443
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-1 cache size     9197, 2607201 req, miss ratio 0.1170, byte miss ratio 0.1170
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-1 cache size    18395, 2607201 req, miss ratio 0.0872, byte miss ratio 0.0872
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-1 cache size    36790, 2607201 req, miss ratio 0.0422, byte miss ratio 0.0422
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-1 cache size    73581, 2607201 req, miss ratio 0.0362, byte miss ratio 0.0362
result/tencentBlock.ns19903.oracleGeneral.zst FIFO cache size       91, 2607201 req, miss ratio 0.3227, byte miss ratio 0.3227
result/tencentBlock.ns19903.oracleGeneral.zst FIFO cache size      275, 2607201 req, miss ratio 0.2320, byte miss ratio 0.2320
result/tencentBlock.ns19903.oracleGeneral.zst FIFO cache size      919, 2607201 req, miss ratio 0.1845, byte miss ratio 0.1845
result/tencentBlock.ns19903.oracleGeneral.zst FIFO cache size     2759, 2607201 req, miss ratio 0.1627, byte miss ratio 0.1627
result/tencentBlock.ns19903.oracleGeneral.zst FIFO cache size     9197, 2607201 req, miss ratio 0.1379, byte miss ratio 0.1379
result/tencentBlock.ns19903.oracleGeneral.zst FIFO cache size    18395, 2607201 req, miss ratio 0.0990, byte miss ratio 0.0990
result/tencentBlock.ns19903.oracleGeneral.zst FIFO cache size    36790, 2607201 req, miss ratio 0.0586, byte miss ratio 0.0586
result/tencentBlock.ns19903.oracleGeneral.zst FIFO cache size    73581, 2607201 req, miss ratio 0.0425, byte miss ratio 0.0425
result/tencentBlock.ns19903.oracleGeneral.zst LHD cache size       91, 2607201 req, miss ratio 0.2658, byte miss ratio 0.2658
result/tencentBlock.ns19903.oracleGeneral.zst LHD cache size      275, 2607201 req, miss ratio 0.1923, byte miss ratio 0.1923
result/tencentBlock.ns19903.oracleGeneral.zst LHD cache size      919, 2607201 req, miss ratio 0.1641, byte miss ratio 0.1641
result/tencentBlock.ns19903.oracleGeneral.zst LHD cache size     2759, 2607201 req, miss ratio 0.1508, byte miss ratio 0.1508
result/tencentBlock.ns19903.oracleGeneral.zst LHD cache size     9197, 2607201 req, miss ratio 0.1255, byte miss ratio 0.1255
result/tencentBlock.ns19903.oracleGeneral.zst LHD cache size    18395, 2607201 req, miss ratio 0.0850, byte miss ratio 0.0850
result/tencentBlock.ns19903.oracleGeneral.zst LHD cache size    36790, 2607201 req, miss ratio 0.0478, byte miss ratio 0.0478
result/tencentBlock.ns19903.oracleGeneral.zst LHD cache size    73581, 2607201 req, miss ratio 0.0363, byte miss ratio 0.0363
result/tencentBlock.ns19903.oracleGeneral.zst Clock cache size       91, 2607201 req, miss ratio 0.2620, byte miss ratio 0.2620
result/tencentBlock.ns19903.oracleGeneral.zst Clock cache size      275, 2607201 req, miss ratio 0.1963, byte miss ratio 0.1963
result/tencentBlock.ns19903.oracleGeneral.zst Clock cache size      919, 2607201 req, miss ratio 0.1655, byte miss ratio 0.1655
result/tencentBlock.ns19903.oracleGeneral.zst Clock cache size     2759, 2607201 req, miss ratio 0.1519, byte miss ratio 0.1519
result/tencentBlock.ns19903.oracleGeneral.zst Clock cache size     9197, 2607201 req, miss ratio 0.1410, byte miss ratio 0.1410
result/tencentBlock.ns19903.oracleGeneral.zst Clock cache size    18395, 2607201 req, miss ratio 0.0924, byte miss ratio 0.0924
result/tencentBlock.ns19903.oracleGeneral.zst Clock cache size    36790, 2607201 req, miss ratio 0.0482, byte miss ratio 0.0482
result/tencentBlock.ns19903.oracleGeneral.zst Clock cache size    73581, 2607201 req, miss ratio 0.0362, byte miss ratio 0.0362
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-d-1 cache size       91, 2607201 req, miss ratio 0.2415, byte miss ratio 0.2415
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-d-1 cache size      275, 2607201 req, miss ratio 0.1792, byte miss ratio 0.1792
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-d-1 cache size      919, 2607201 req, miss ratio 0.1557, byte miss ratio 0.1557
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-d-1 cache size     2759, 2607201 req, miss ratio 0.1444, byte miss ratio 0.1444
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-d-1 cache size     9197, 2607201 req, miss ratio 0.1164, byte miss ratio 0.1164
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-d-1 cache size    18395, 2607201 req, miss ratio 0.0875, byte miss ratio 0.0875
