result/tencentBlock.ns16864.oracleGeneral.zst LeCaR cache size  1759601, 5937784 req, miss ratio 0.3794, byte miss ratio 0.3794
result/tencentBlock.ns16864.oracleGeneral.zst ARC cache size     2199, 5937784 req, miss ratio 0.7168, byte miss ratio 0.7168
result/tencentBlock.ns16864.oracleGeneral.zst ARC cache size     6598, 5937784 req, miss ratio 0.7154, byte miss ratio 0.7154
result/tencentBlock.ns16864.oracleGeneral.zst ARC cache size    21995, 5937784 req, miss ratio 0.7047, byte miss ratio 0.7047
result/tencentBlock.ns16864.oracleGeneral.zst ARC cache size    65985, 5937784 req, miss ratio 0.6819, byte miss ratio 0.6819
result/tencentBlock.ns16864.oracleGeneral.zst ARC cache size   219950, 5937784 req, miss ratio 0.5972, byte miss ratio 0.5972
result/tencentBlock.ns16864.oracleGeneral.zst ARC cache size   439900, 5937784 req, miss ratio 0.4934, byte miss ratio 0.4934
result/tencentBlock.ns16864.oracleGeneral.zst ARC cache size   879800, 5937784 req, miss ratio 0.4311, byte miss ratio 0.4311
result/tencentBlock.ns16864.oracleGeneral.zst ARC cache size  1759601, 5937784 req, miss ratio 0.3796, byte miss ratio 0.3796
result/tencentBlock.ns16864.oracleGeneral.zst LHD cache size     2199, 5937784 req, miss ratio 0.7180, byte miss ratio 0.7180
result/tencentBlock.ns16864.oracleGeneral.zst LHD cache size     6598, 5937784 req, miss ratio 0.7150, byte miss ratio 0.7150
result/tencentBlock.ns16864.oracleGeneral.zst LHD cache size    21995, 5937784 req, miss ratio 0.7042, byte miss ratio 0.7042
result/tencentBlock.ns16864.oracleGeneral.zst LHD cache size    65985, 5937784 req, miss ratio 0.6788, byte miss ratio 0.6788
result/tencentBlock.ns16864.oracleGeneral.zst LHD cache size   219950, 5937784 req, miss ratio 0.6048, byte miss ratio 0.6048
result/tencentBlock.ns16864.oracleGeneral.zst LHD cache size   439900, 5937784 req, miss ratio 0.5141, byte miss ratio 0.5141
result/tencentBlock.ns16864.oracleGeneral.zst LHD cache size   879800, 5937784 req, miss ratio 0.4413, byte miss ratio 0.4413
result/tencentBlock.ns16864.oracleGeneral.zst LHD cache size  1759601, 5937784 req, miss ratio 0.3793, byte miss ratio 0.3793
result/tencentBlock.ns16864.oracleGeneral.zst LIRS cache size     2199, 5937784 req, miss ratio 0.7320, byte miss ratio 0.7320
result/tencentBlock.ns16864.oracleGeneral.zst LIRS cache size     6598, 5937784 req, miss ratio 0.7173, byte miss ratio 0.7173
result/tencentBlock.ns16864.oracleGeneral.zst LIRS cache size    21995, 5937784 req, miss ratio 0.7041, byte miss ratio 0.7041
result/tencentBlock.ns16864.oracleGeneral.zst LIRS cache size    65985, 5937784 req, miss ratio 0.6785, byte miss ratio 0.6785
result/tencentBlock.ns16864.oracleGeneral.zst LIRS cache size   219950, 5937784 req, miss ratio 0.5805, byte miss ratio 0.5805
result/tencentBlock.ns16864.oracleGeneral.zst LIRS cache size   439900, 5937784 req, miss ratio 0.4908, byte miss ratio 0.4908
result/tencentBlock.ns16864.oracleGeneral.zst LIRS cache size   879800, 5937784 req, miss ratio 0.4307, byte miss ratio 0.4307
result/tencentBlock.ns16864.oracleGeneral.zst LIRS cache size  1759601, 5937784 req, miss ratio 0.3787, byte miss ratio 0.3787
result/tencentBlock.ns16864.oracleGeneral.zst FIFO cache size     2199, 5937784 req, miss ratio 0.7269, byte miss ratio 0.7269
result/tencentBlock.ns16864.oracleGeneral.zst FIFO cache size     6598, 5937784 req, miss ratio 0.7200, byte miss ratio 0.7200
result/tencentBlock.ns16864.oracleGeneral.zst FIFO cache size    21995, 5937784 req, miss ratio 0.7122, byte miss ratio 0.7122
result/tencentBlock.ns16864.oracleGeneral.zst FIFO cache size    65985, 5937784 req, miss ratio 0.6971, byte miss ratio 0.6971
result/tencentBlock.ns16864.oracleGeneral.zst FIFO cache size   219950, 5937784 req, miss ratio 0.6241, byte miss ratio 0.6241
result/tencentBlock.ns16864.oracleGeneral.zst FIFO cache size   439900, 5937784 req, miss ratio 0.5547, byte miss ratio 0.5547
result/tencentBlock.ns16864.oracleGeneral.zst FIFO cache size   879800, 5937784 req, miss ratio 0.4797, byte miss ratio 0.4797
result/tencentBlock.ns16864.oracleGeneral.zst FIFO cache size  1759601, 5937784 req, miss ratio 0.3967, byte miss ratio 0.3967
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-d-1 cache size     2199, 5937784 req, miss ratio 0.7166, byte miss ratio 0.7166
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-d-1 cache size     6598, 5937784 req, miss ratio 0.7152, byte miss ratio 0.7152
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-d-1 cache size    21995, 5937784 req, miss ratio 0.7038, byte miss ratio 0.7038
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-d-1 cache size    65985, 5937784 req, miss ratio 0.6762, byte miss ratio 0.6762
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-d-1 cache size   219950, 5937784 req, miss ratio 0.5827, byte miss ratio 0.5827
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-d-1 cache size   439900, 5937784 req, miss ratio 0.4861, byte miss ratio 0.4861
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-d-1 cache size   879800, 5937784 req, miss ratio 0.4309, byte miss ratio 0.4309
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-d-1 cache size  1759601, 5937784 req, miss ratio 0.3796, byte miss ratio 0.3796
result/tencentBlock.ns16864.oracleGeneral.zst LRB cache size     2199, 5937784 req, miss ratio 0.7637, byte miss ratio 0.7637
result/tencentBlock.ns16864.oracleGeneral.zst LRB cache size     6598, 5937784 req, miss ratio 0.7289, byte miss ratio 0.7289
result/tencentBlock.ns16864.oracleGeneral.zst LRB cache size    21995, 5937784 req, miss ratio 0.6949, byte miss ratio 0.6949
result/tencentBlock.ns16864.oracleGeneral.zst LRB cache size    65985, 5937784 req, miss ratio 0.6571, byte miss ratio 0.6571
result/tencentBlock.ns16864.oracleGeneral.zst LRB cache size   219950, 5937784 req, miss ratio 0.5798, byte miss ratio 0.5798
result/tencentBlock.ns16864.oracleGeneral.zst LRB cache size   439900, 5937784 req, miss ratio 0.5037, byte miss ratio 0.5037
result/tencentBlock.ns16864.oracleGeneral.zst LRB cache size   879800, 5937784 req, miss ratio 0.4338, byte miss ratio 0.4338
result/tencentBlock.ns16864.oracleGeneral.zst LRB cache size  1759601, 5937784 req, miss ratio 0.3800, byte miss ratio 0.3800
