result/tencentBlock.ns14564.oracleGeneral.zst S3FIFO-1 cache size      130, 1372877 req, miss ratio 0.3685, byte miss ratio 0.3685
result/tencentBlock.ns14564.oracleGeneral.zst S3FIFO-1 cache size      390, 1372877 req, miss ratio 0.3458, byte miss ratio 0.3458
result/tencentBlock.ns14564.oracleGeneral.zst S3FIFO-1 cache size     1300, 1372877 req, miss ratio 0.3406, byte miss ratio 0.3406
result/tencentBlock.ns14564.oracleGeneral.zst S3FIFO-1 cache size     3901, 1372877 req, miss ratio 0.3401, byte miss ratio 0.3401
result/tencentBlock.ns14564.oracleGeneral.zst S3FIFO-1 cache size    13006, 1372877 req, miss ratio 0.3031, byte miss ratio 0.3031
result/tencentBlock.ns14564.oracleGeneral.zst S3FIFO-1 cache size    26012, 1372877 req, miss ratio 0.2558, byte miss ratio 0.2558
result/tencentBlock.ns14564.oracleGeneral.zst S3FIFO-1 cache size    52024, 1372877 req, miss ratio 0.1531, byte miss ratio 0.1531
result/tencentBlock.ns14564.oracleGeneral.zst S3FIFO-1 cache size   104049, 1372877 req, miss ratio 0.1051, byte miss ratio 0.1051
result/tencentBlock.ns14564.oracleGeneral.zst clock2 cache size      130, 1372877 req, miss ratio 0.3916, byte miss ratio 0.3916
result/tencentBlock.ns14564.oracleGeneral.zst clock2 cache size      390, 1372877 req, miss ratio 0.3558, byte miss ratio 0.3558
result/tencentBlock.ns14564.oracleGeneral.zst clock2 cache size     1300, 1372877 req, miss ratio 0.3434, byte miss ratio 0.3434
result/tencentBlock.ns14564.oracleGeneral.zst clock2 cache size     3901, 1372877 req, miss ratio 0.3404, byte miss ratio 0.3404
result/tencentBlock.ns14564.oracleGeneral.zst clock2 cache size    13006, 1372877 req, miss ratio 0.3383, byte miss ratio 0.3383
result/tencentBlock.ns14564.oracleGeneral.zst clock2 cache size    26012, 1372877 req, miss ratio 0.2796, byte miss ratio 0.2796
result/tencentBlock.ns14564.oracleGeneral.zst clock2 cache size    52024, 1372877 req, miss ratio 0.1893, byte miss ratio 0.1893
result/tencentBlock.ns14564.oracleGeneral.zst clock2 cache size   104049, 1372877 req, miss ratio 0.1047, byte miss ratio 0.1047
result/tencentBlock.ns14564.oracleGeneral.zst FIFO cache size      130, 1372877 req, miss ratio 0.4521, byte miss ratio 0.4521
result/tencentBlock.ns14564.oracleGeneral.zst FIFO cache size      390, 1372877 req, miss ratio 0.3856, byte miss ratio 0.3856
result/tencentBlock.ns14564.oracleGeneral.zst FIFO cache size     1300, 1372877 req, miss ratio 0.3561, byte miss ratio 0.3561
result/tencentBlock.ns14564.oracleGeneral.zst FIFO cache size     3901, 1372877 req, miss ratio 0.3460, byte miss ratio 0.3460
result/tencentBlock.ns14564.oracleGeneral.zst FIFO cache size    13006, 1372877 req, miss ratio 0.3026, byte miss ratio 0.3026
result/tencentBlock.ns14564.oracleGeneral.zst FIFO cache size    26012, 1372877 req, miss ratio 0.2594, byte miss ratio 0.2594
result/tencentBlock.ns14564.oracleGeneral.zst FIFO cache size    52024, 1372877 req, miss ratio 0.1837, byte miss ratio 0.1837
result/tencentBlock.ns14564.oracleGeneral.zst FIFO cache size   104049, 1372877 req, miss ratio 0.1165, byte miss ratio 0.1165
result/tencentBlock.ns14564.oracleGeneral.zst LeCaR cache size      130, 1372877 req, miss ratio 0.3795, byte miss ratio 0.3795
result/tencentBlock.ns14564.oracleGeneral.zst LeCaR cache size      390, 1372877 req, miss ratio 0.3526, byte miss ratio 0.3526
result/tencentBlock.ns14564.oracleGeneral.zst LeCaR cache size     1300, 1372877 req, miss ratio 0.3425, byte miss ratio 0.3425
result/tencentBlock.ns14564.oracleGeneral.zst LeCaR cache size     3901, 1372877 req, miss ratio 0.3404, byte miss ratio 0.3404
result/tencentBlock.ns14564.oracleGeneral.zst LeCaR cache size    13006, 1372877 req, miss ratio 0.2880, byte miss ratio 0.2880
result/tencentBlock.ns14564.oracleGeneral.zst LeCaR cache size    26012, 1372877 req, miss ratio 0.2439, byte miss ratio 0.2439
result/tencentBlock.ns14564.oracleGeneral.zst LeCaR cache size    52024, 1372877 req, miss ratio 0.1602, byte miss ratio 0.1602
result/tencentBlock.ns14564.oracleGeneral.zst LeCaR cache size   104049, 1372877 req, miss ratio 0.0991, byte miss ratio 0.0991
result/tencentBlock.ns14564.oracleGeneral.zst LHD cache size      130, 1372877 req, miss ratio 0.4786, byte miss ratio 0.4786
result/tencentBlock.ns14564.oracleGeneral.zst LHD cache size      390, 1372877 req, miss ratio 0.3537, byte miss ratio 0.3537
result/tencentBlock.ns14564.oracleGeneral.zst LHD cache size     1300, 1372877 req, miss ratio 0.3425, byte miss ratio 0.3425
result/tencentBlock.ns14564.oracleGeneral.zst LHD cache size     3901, 1372877 req, miss ratio 0.3400, byte miss ratio 0.3400
result/tencentBlock.ns14564.oracleGeneral.zst LHD cache size    13006, 1372877 req, miss ratio 0.2979, byte miss ratio 0.2979
result/tencentBlock.ns14564.oracleGeneral.zst LHD cache size    26012, 1372877 req, miss ratio 0.2468, byte miss ratio 0.2468
result/tencentBlock.ns14564.oracleGeneral.zst LHD cache size    52024, 1372877 req, miss ratio 0.1570, byte miss ratio 0.1570
result/tencentBlock.ns14564.oracleGeneral.zst LHD cache size   104049, 1372877 req, miss ratio 0.0997, byte miss ratio 0.0997
result/tencentBlock.ns14564.oracleGeneral.zst ARC cache size      130, 1372877 req, miss ratio 0.3677, byte miss ratio 0.3677
result/tencentBlock.ns14564.oracleGeneral.zst ARC cache size      390, 1372877 req, miss ratio 0.3489, byte miss ratio 0.3489
result/tencentBlock.ns14564.oracleGeneral.zst ARC cache size     1300, 1372877 req, miss ratio 0.3413, byte miss ratio 0.3413
result/tencentBlock.ns14564.oracleGeneral.zst ARC cache size     3901, 1372877 req, miss ratio 0.3403, byte miss ratio 0.3403
result/tencentBlock.ns14564.oracleGeneral.zst ARC cache size    13006, 1372877 req, miss ratio 0.3009, byte miss ratio 0.3009
result/tencentBlock.ns14564.oracleGeneral.zst ARC cache size    26012, 1372877 req, miss ratio 0.2395, byte miss ratio 0.2395
result/tencentBlock.ns14564.oracleGeneral.zst ARC cache size    52024, 1372877 req, miss ratio 0.1522, byte miss ratio 0.1522
result/tencentBlock.ns14564.oracleGeneral.zst ARC cache size   104049, 1372877 req, miss ratio 0.0992, byte miss ratio 0.0992
result/tencentBlock.ns14564.oracleGeneral.zst Clock cache size      130, 1372877 req, miss ratio 0.3829, byte miss ratio 0.3829
result/tencentBlock.ns14564.oracleGeneral.zst Clock cache size      390, 1372877 req, miss ratio 0.3539, byte miss ratio 0.3539
result/tencentBlock.ns14564.oracleGeneral.zst Clock cache size     1300, 1372877 req, miss ratio 0.3434, byte miss ratio 0.3434
result/tencentBlock.ns14564.oracleGeneral.zst Clock cache size     3901, 1372877 req, miss ratio 0.3405, byte miss ratio 0.3405
result/tencentBlock.ns14564.oracleGeneral.zst Clock cache size    13006, 1372877 req, miss ratio 0.3142, byte miss ratio 0.3142
result/tencentBlock.ns14564.oracleGeneral.zst Clock cache size    26012, 1372877 req, miss ratio 0.2644, byte miss ratio 0.2644
result/tencentBlock.ns14564.oracleGeneral.zst Clock cache size    52024, 1372877 req, miss ratio 0.1726, byte miss ratio 0.1726
result/tencentBlock.ns14564.oracleGeneral.zst Clock cache size   104049, 1372877 req, miss ratio 0.1039, byte miss ratio 0.1039
result/tencentBlock.ns14564.oracleGeneral.zst Cacheus cache size      130, 1372877 req, miss ratio 0.3731, byte miss ratio 0.3731
result/tencentBlock.ns14564.oracleGeneral.zst Cacheus cache size      390, 1372877 req, miss ratio 0.3501, byte miss ratio 0.3501
result/tencentBlock.ns14564.oracleGeneral.zst Cacheus cache size     1300, 1372877 req, miss ratio 0.3415, byte miss ratio 0.3415
result/tencentBlock.ns14564.oracleGeneral.zst Cacheus cache size     3901, 1372877 req, miss ratio 0.3402, byte miss ratio 0.3402
result/tencentBlock.ns14564.oracleGeneral.zst Cacheus cache size    13006, 1372877 req, miss ratio 0.3123, byte miss ratio 0.3123
result/tencentBlock.ns14564.oracleGeneral.zst Cacheus cache size    26012, 1372877 req, miss ratio 0.2736, byte miss ratio 0.2736
result/tencentBlock.ns14564.oracleGeneral.zst Cacheus cache size    52024, 1372877 req, miss ratio 0.1704, byte miss ratio 0.1704
result/tencentBlock.ns14564.oracleGeneral.zst Cacheus cache size   104049, 1372877 req, miss ratio 0.0991, byte miss ratio 0.0991
result/tencentBlock.ns14564.oracleGeneral.zst LRU cache size      130, 1372877 req, miss ratio 0.3806, byte miss ratio 0.3806
result/tencentBlock.ns14564.oracleGeneral.zst LRU cache size      390, 1372877 req, miss ratio 0.3533, byte miss ratio 0.3533
result/tencentBlock.ns14564.oracleGeneral.zst LRU cache size     1300, 1372877 req, miss ratio 0.3433, byte miss ratio 0.3433
result/tencentBlock.ns14564.oracleGeneral.zst LRU cache size     3901, 1372877 req, miss ratio 0.3405, byte miss ratio 0.3405
result/tencentBlock.ns14564.oracleGeneral.zst LRU cache size    13006, 1372877 req, miss ratio 0.2881, byte miss ratio 0.2881
result/tencentBlock.ns14564.oracleGeneral.zst LRU cache size    26012, 1372877 req, miss ratio 0.2461, byte miss ratio 0.2461
result/tencentBlock.ns14564.oracleGeneral.zst LRU cache size    52024, 1372877 req, miss ratio 0.1491, byte miss ratio 0.1491
