result/tencentBlock.ns21775.oracleGeneral.zst FIFO cache size      246, 1449656 req, miss ratio 0.5256, byte miss ratio 0.5256
result/tencentBlock.ns21775.oracleGeneral.zst FIFO cache size      740, 1449656 req, miss ratio 0.4846, byte miss ratio 0.4846
result/tencentBlock.ns21775.oracleGeneral.zst FIFO cache size     2468, 1449656 req, miss ratio 0.4689, byte miss ratio 0.4689
result/tencentBlock.ns21775.oracleGeneral.zst FIFO cache size     7404, 1449656 req, miss ratio 0.4638, byte miss ratio 0.4638
result/tencentBlock.ns21775.oracleGeneral.zst FIFO cache size    24680, 1449656 req, miss ratio 0.4286, byte miss ratio 0.4286
result/tencentBlock.ns21775.oracleGeneral.zst FIFO cache size    49361, 1449656 req, miss ratio 0.3625, byte miss ratio 0.3625
result/tencentBlock.ns21775.oracleGeneral.zst FIFO cache size    98722, 1449656 req, miss ratio 0.2520, byte miss ratio 0.2520
result/tencentBlock.ns21775.oracleGeneral.zst FIFO cache size   197444, 1449656 req, miss ratio 0.1904, byte miss ratio 0.1904
result/tencentBlock.ns21775.oracleGeneral.zst clock2 cache size      246, 1449656 req, miss ratio 0.4726, byte miss ratio 0.4726
result/tencentBlock.ns21775.oracleGeneral.zst clock2 cache size      740, 1449656 req, miss ratio 0.4637, byte miss ratio 0.4637
result/tencentBlock.ns21775.oracleGeneral.zst clock2 cache size     2468, 1449656 req, miss ratio 0.4625, byte miss ratio 0.4625
result/tencentBlock.ns21775.oracleGeneral.zst clock2 cache size     7404, 1449656 req, miss ratio 0.4613, byte miss ratio 0.4613
result/tencentBlock.ns21775.oracleGeneral.zst clock2 cache size    24680, 1449656 req, miss ratio 0.4282, byte miss ratio 0.4282
result/tencentBlock.ns21775.oracleGeneral.zst clock2 cache size    49361, 1449656 req, miss ratio 0.3914, byte miss ratio 0.3914
result/tencentBlock.ns21775.oracleGeneral.zst clock2 cache size    98722, 1449656 req, miss ratio 0.2491, byte miss ratio 0.2491
result/tencentBlock.ns21775.oracleGeneral.zst clock2 cache size   197444, 1449656 req, miss ratio 0.1720, byte miss ratio 0.1720
result/tencentBlock.ns21775.oracleGeneral.zst LIRS cache size      246, 1449656 req, miss ratio 0.5488, byte miss ratio 0.5488
result/tencentBlock.ns21775.oracleGeneral.zst LIRS cache size      740, 1449656 req, miss ratio 0.4915, byte miss ratio 0.4915
result/tencentBlock.ns21775.oracleGeneral.zst LIRS cache size     2468, 1449656 req, miss ratio 0.4641, byte miss ratio 0.4641
result/tencentBlock.ns21775.oracleGeneral.zst LIRS cache size     7404, 1449656 req, miss ratio 0.4585, byte miss ratio 0.4585
result/tencentBlock.ns21775.oracleGeneral.zst LIRS cache size    24680, 1449656 req, miss ratio 0.4031, byte miss ratio 0.4031
result/tencentBlock.ns21775.oracleGeneral.zst LIRS cache size    49361, 1449656 req, miss ratio 0.3230, byte miss ratio 0.3230
result/tencentBlock.ns21775.oracleGeneral.zst LIRS cache size    98722, 1449656 req, miss ratio 0.2112, byte miss ratio 0.2112
result/tencentBlock.ns21775.oracleGeneral.zst LIRS cache size   197444, 1449656 req, miss ratio 0.1720, byte miss ratio 0.1720
result/tencentBlock.ns21775.oracleGeneral.zst LeCaR cache size      246, 1449656 req, miss ratio 0.4718, byte miss ratio 0.4718
result/tencentBlock.ns21775.oracleGeneral.zst LeCaR cache size      740, 1449656 req, miss ratio 0.4639, byte miss ratio 0.4639
result/tencentBlock.ns21775.oracleGeneral.zst LeCaR cache size     2468, 1449656 req, miss ratio 0.4624, byte miss ratio 0.4624
result/tencentBlock.ns21775.oracleGeneral.zst LeCaR cache size     7404, 1449656 req, miss ratio 0.4613, byte miss ratio 0.4613
result/tencentBlock.ns21775.oracleGeneral.zst LeCaR cache size    24680, 1449656 req, miss ratio 0.4136, byte miss ratio 0.4136
result/tencentBlock.ns21775.oracleGeneral.zst LeCaR cache size    49361, 1449656 req, miss ratio 0.3723, byte miss ratio 0.3723
result/tencentBlock.ns21775.oracleGeneral.zst LeCaR cache size    98722, 1449656 req, miss ratio 0.2078, byte miss ratio 0.2078
result/tencentBlock.ns21775.oracleGeneral.zst LeCaR cache size   197444, 1449656 req, miss ratio 0.1722, byte miss ratio 0.1722
result/tencentBlock.ns21775.oracleGeneral.zst LRU cache size      246, 1449656 req, miss ratio 0.4741, byte miss ratio 0.4741
result/tencentBlock.ns21775.oracleGeneral.zst LRU cache size      740, 1449656 req, miss ratio 0.4643, byte miss ratio 0.4643
result/tencentBlock.ns21775.oracleGeneral.zst LRU cache size     2468, 1449656 req, miss ratio 0.4625, byte miss ratio 0.4625
result/tencentBlock.ns21775.oracleGeneral.zst LRU cache size     7404, 1449656 req, miss ratio 0.4614, byte miss ratio 0.4614
result/tencentBlock.ns21775.oracleGeneral.zst LRU cache size    24680, 1449656 req, miss ratio 0.4179, byte miss ratio 0.4179
result/tencentBlock.ns21775.oracleGeneral.zst LRU cache size    49361, 1449656 req, miss ratio 0.3734, byte miss ratio 0.3734
result/tencentBlock.ns21775.oracleGeneral.zst LRU cache size    98722, 1449656 req, miss ratio 0.2117, byte miss ratio 0.2117
result/tencentBlock.ns21775.oracleGeneral.zst LRU cache size   197444, 1449656 req, miss ratio 0.1720, byte miss ratio 0.1720
result/tencentBlock.ns21775.oracleGeneral.zst ARC cache size      246, 1449656 req, miss ratio 0.4653, byte miss ratio 0.4653
result/tencentBlock.ns21775.oracleGeneral.zst ARC cache size      740, 1449656 req, miss ratio 0.4631, byte miss ratio 0.4631
result/tencentBlock.ns21775.oracleGeneral.zst ARC cache size     2468, 1449656 req, miss ratio 0.4618, byte miss ratio 0.4618
result/tencentBlock.ns21775.oracleGeneral.zst ARC cache size     7404, 1449656 req, miss ratio 0.4613, byte miss ratio 0.4613
result/tencentBlock.ns21775.oracleGeneral.zst ARC cache size    24680, 1449656 req, miss ratio 0.4187, byte miss ratio 0.4187
result/tencentBlock.ns21775.oracleGeneral.zst ARC cache size    49361, 1449656 req, miss ratio 0.3456, byte miss ratio 0.3456
result/tencentBlock.ns21775.oracleGeneral.zst ARC cache size    98722, 1449656 req, miss ratio 0.2097, byte miss ratio 0.2097
result/tencentBlock.ns21775.oracleGeneral.zst ARC cache size   197444, 1449656 req, miss ratio 0.1719, byte miss ratio 0.1719
result/tencentBlock.ns21775.oracleGeneral.zst LHD cache size      246, 1449656 req, miss ratio 0.4730, byte miss ratio 0.4730
result/tencentBlock.ns21775.oracleGeneral.zst LHD cache size      740, 1449656 req, miss ratio 0.4642, byte miss ratio 0.4642
result/tencentBlock.ns21775.oracleGeneral.zst LHD cache size     2468, 1449656 req, miss ratio 0.4621, byte miss ratio 0.4621
result/tencentBlock.ns21775.oracleGeneral.zst LHD cache size     7404, 1449656 req, miss ratio 0.4580, byte miss ratio 0.4580
result/tencentBlock.ns21775.oracleGeneral.zst LHD cache size    24680, 1449656 req, miss ratio 0.4088, byte miss ratio 0.4088
result/tencentBlock.ns21775.oracleGeneral.zst LHD cache size    49361, 1449656 req, miss ratio 0.3485, byte miss ratio 0.3485
