result/tencentBlock.ns18369.oracleGeneral.zst ARC cache size      168, 1161046 req, miss ratio 0.4301, byte miss ratio 0.4301
result/tencentBlock.ns18369.oracleGeneral.zst ARC cache size      504, 1161046 req, miss ratio 0.4256, byte miss ratio 0.4256
result/tencentBlock.ns18369.oracleGeneral.zst ARC cache size     1682, 1161046 req, miss ratio 0.4220, byte miss ratio 0.4220
result/tencentBlock.ns18369.oracleGeneral.zst ARC cache size     5048, 1161046 req, miss ratio 0.4143, byte miss ratio 0.4143
result/tencentBlock.ns18369.oracleGeneral.zst ARC cache size    16828, 1161046 req, miss ratio 0.3597, byte miss ratio 0.3597
result/tencentBlock.ns18369.oracleGeneral.zst ARC cache size    33657, 1161046 req, miss ratio 0.2715, byte miss ratio 0.2715
result/tencentBlock.ns18369.oracleGeneral.zst ARC cache size    67315, 1161046 req, miss ratio 0.1652, byte miss ratio 0.1652
result/tencentBlock.ns18369.oracleGeneral.zst ARC cache size   134630, 1161046 req, miss ratio 0.1454, byte miss ratio 0.1454
result/tencentBlock.ns18369.oracleGeneral.zst Cacheus cache size      168, 1161046 req, miss ratio 0.4322, byte miss ratio 0.4322
result/tencentBlock.ns18369.oracleGeneral.zst Cacheus cache size      504, 1161046 req, miss ratio 0.4259, byte miss ratio 0.4259
result/tencentBlock.ns18369.oracleGeneral.zst Cacheus cache size     1682, 1161046 req, miss ratio 0.4217, byte miss ratio 0.4217
result/tencentBlock.ns18369.oracleGeneral.zst Cacheus cache size     5048, 1161046 req, miss ratio 0.4129, byte miss ratio 0.4129
result/tencentBlock.ns18369.oracleGeneral.zst Cacheus cache size    16828, 1161046 req, miss ratio 0.3625, byte miss ratio 0.3625
result/tencentBlock.ns18369.oracleGeneral.zst Cacheus cache size    33657, 1161046 req, miss ratio 0.2876, byte miss ratio 0.2876
result/tencentBlock.ns18369.oracleGeneral.zst Cacheus cache size    67315, 1161046 req, miss ratio 0.1665, byte miss ratio 0.1665
result/tencentBlock.ns18369.oracleGeneral.zst Cacheus cache size   134630, 1161046 req, miss ratio 0.1458, byte miss ratio 0.1458
result/tencentBlock.ns18369.oracleGeneral.zst LRU cache size      168, 1161046 req, miss ratio 0.4421, byte miss ratio 0.4421
result/tencentBlock.ns18369.oracleGeneral.zst LRU cache size      504, 1161046 req, miss ratio 0.4286, byte miss ratio 0.4286
result/tencentBlock.ns18369.oracleGeneral.zst LRU cache size     1682, 1161046 req, miss ratio 0.4235, byte miss ratio 0.4235
result/tencentBlock.ns18369.oracleGeneral.zst LRU cache size     5048, 1161046 req, miss ratio 0.4113, byte miss ratio 0.4113
result/tencentBlock.ns18369.oracleGeneral.zst LRU cache size    16828, 1161046 req, miss ratio 0.3580, byte miss ratio 0.3580
result/tencentBlock.ns18369.oracleGeneral.zst LRU cache size    33657, 1161046 req, miss ratio 0.2884, byte miss ratio 0.2884
result/tencentBlock.ns18369.oracleGeneral.zst LRU cache size    67315, 1161046 req, miss ratio 0.1679, byte miss ratio 0.1679
result/tencentBlock.ns18369.oracleGeneral.zst LRU cache size   134630, 1161046 req, miss ratio 0.1452, byte miss ratio 0.1452
result/tencentBlock.ns18369.oracleGeneral.zst FIFO cache size      168, 1161046 req, miss ratio 0.4971, byte miss ratio 0.4971
result/tencentBlock.ns18369.oracleGeneral.zst FIFO cache size      504, 1161046 req, miss ratio 0.4497, byte miss ratio 0.4497
result/tencentBlock.ns18369.oracleGeneral.zst FIFO cache size     1682, 1161046 req, miss ratio 0.4309, byte miss ratio 0.4309
result/tencentBlock.ns18369.oracleGeneral.zst FIFO cache size     5048, 1161046 req, miss ratio 0.4145, byte miss ratio 0.4145
result/tencentBlock.ns18369.oracleGeneral.zst FIFO cache size    16828, 1161046 req, miss ratio 0.3654, byte miss ratio 0.3654
result/tencentBlock.ns18369.oracleGeneral.zst FIFO cache size    33657, 1161046 req, miss ratio 0.3068, byte miss ratio 0.3068
result/tencentBlock.ns18369.oracleGeneral.zst FIFO cache size    67315, 1161046 req, miss ratio 0.2107, byte miss ratio 0.2107
result/tencentBlock.ns18369.oracleGeneral.zst FIFO cache size   134630, 1161046 req, miss ratio 0.1651, byte miss ratio 0.1651
result/tencentBlock.ns18369.oracleGeneral.zst clock2 cache size      168, 1161046 req, miss ratio 0.4406, byte miss ratio 0.4406
result/tencentBlock.ns18369.oracleGeneral.zst clock2 cache size      504, 1161046 req, miss ratio 0.4278, byte miss ratio 0.4278
result/tencentBlock.ns18369.oracleGeneral.zst clock2 cache size     1682, 1161046 req, miss ratio 0.4230, byte miss ratio 0.4230
result/tencentBlock.ns18369.oracleGeneral.zst clock2 cache size     5048, 1161046 req, miss ratio 0.4117, byte miss ratio 0.4117
