result/tencentBlock.ns15169.oracleGeneral.zst LRU cache size      358, 3652926 req, miss ratio 0.5354, byte miss ratio 0.5354
result/tencentBlock.ns15169.oracleGeneral.zst LRU cache size     1075, 3652926 req, miss ratio 0.4590, byte miss ratio 0.4590
result/tencentBlock.ns15169.oracleGeneral.zst LRU cache size     3583, 3652926 req, miss ratio 0.3746, byte miss ratio 0.3746
result/tencentBlock.ns15169.oracleGeneral.zst LRU cache size    10750, 3652926 req, miss ratio 0.3358, byte miss ratio 0.3358
result/tencentBlock.ns15169.oracleGeneral.zst LRU cache size    35834, 3652926 req, miss ratio 0.2866, byte miss ratio 0.2866
result/tencentBlock.ns15169.oracleGeneral.zst LRU cache size    71669, 3652926 req, miss ratio 0.2537, byte miss ratio 0.2537
result/tencentBlock.ns15169.oracleGeneral.zst LRU cache size   143338, 3652926 req, miss ratio 0.1315, byte miss ratio 0.1315
result/tencentBlock.ns15169.oracleGeneral.zst LRU cache size   286676, 3652926 req, miss ratio 0.0988, byte miss ratio 0.0988
result/tencentBlock.ns15169.oracleGeneral.zst LeCaR cache size      358, 3652926 req, miss ratio 0.5240, byte miss ratio 0.5240
result/tencentBlock.ns15169.oracleGeneral.zst LeCaR cache size     1075, 3652926 req, miss ratio 0.4579, byte miss ratio 0.4579
result/tencentBlock.ns15169.oracleGeneral.zst LeCaR cache size     3583, 3652926 req, miss ratio 0.3571, byte miss ratio 0.3571
result/tencentBlock.ns15169.oracleGeneral.zst LeCaR cache size    10750, 3652926 req, miss ratio 0.3334, byte miss ratio 0.3334
result/tencentBlock.ns15169.oracleGeneral.zst LeCaR cache size    35834, 3652926 req, miss ratio 0.2844, byte miss ratio 0.2844
result/tencentBlock.ns15169.oracleGeneral.zst LeCaR cache size    71669, 3652926 req, miss ratio 0.2514, byte miss ratio 0.2514
result/tencentBlock.ns15169.oracleGeneral.zst LeCaR cache size   143338, 3652926 req, miss ratio 0.1344, byte miss ratio 0.1344
result/tencentBlock.ns15169.oracleGeneral.zst LeCaR cache size   286676, 3652926 req, miss ratio 0.0989, byte miss ratio 0.0989
result/tencentBlock.ns15169.oracleGeneral.zst Clock cache size      358, 3652926 req, miss ratio 0.5290, byte miss ratio 0.5290
result/tencentBlock.ns15169.oracleGeneral.zst Clock cache size     1075, 3652926 req, miss ratio 0.4582, byte miss ratio 0.4582
result/tencentBlock.ns15169.oracleGeneral.zst Clock cache size     3583, 3652926 req, miss ratio 0.3697, byte miss ratio 0.3697
result/tencentBlock.ns15169.oracleGeneral.zst Clock cache size    10750, 3652926 req, miss ratio 0.3348, byte miss ratio 0.3348
result/tencentBlock.ns15169.oracleGeneral.zst Clock cache size    35834, 3652926 req, miss ratio 0.2888, byte miss ratio 0.2888
result/tencentBlock.ns15169.oracleGeneral.zst Clock cache size    71669, 3652926 req, miss ratio 0.2537, byte miss ratio 0.2537
result/tencentBlock.ns15169.oracleGeneral.zst Clock cache size   143338, 3652926 req, miss ratio 0.1403, byte miss ratio 0.1403
result/tencentBlock.ns15169.oracleGeneral.zst Clock cache size   286676, 3652926 req, miss ratio 0.1000, byte miss ratio 0.1000
result/tencentBlock.ns15169.oracleGeneral.zst ARC cache size      358, 3652926 req, miss ratio 0.5064, byte miss ratio 0.5064
