result/tencentBlock.ns5318.oracleGeneral.zst FIFO cache size       57, 17918875 req, miss ratio 0.7381, byte miss ratio 0.7381
result/tencentBlock.ns5318.oracleGeneral.zst FIFO cache size      171, 17918875 req, miss ratio 0.5141, byte miss ratio 0.5141
result/tencentBlock.ns5318.oracleGeneral.zst FIFO cache size      571, 17918875 req, miss ratio 0.2780, byte miss ratio 0.2780
result/tencentBlock.ns5318.oracleGeneral.zst FIFO cache size     1713, 17918875 req, miss ratio 0.1546, byte miss ratio 0.1546
result/tencentBlock.ns5318.oracleGeneral.zst FIFO cache size     5712, 17918875 req, miss ratio 0.0683, byte miss ratio 0.0683
result/tencentBlock.ns5318.oracleGeneral.zst FIFO cache size    11424, 17918875 req, miss ratio 0.0390, byte miss ratio 0.0390
result/tencentBlock.ns5318.oracleGeneral.zst FIFO cache size    22849, 17918875 req, miss ratio 0.0122, byte miss ratio 0.0122
result/tencentBlock.ns5318.oracleGeneral.zst FIFO cache size    45699, 17918875 req, miss ratio 0.0046, byte miss ratio 0.0046
result/tencentBlock.ns5318.oracleGeneral.zst LIRS cache size       57, 17918875 req, miss ratio 0.5717, byte miss ratio 0.5717
result/tencentBlock.ns5318.oracleGeneral.zst LIRS cache size      171, 17918875 req, miss ratio 0.2687, byte miss ratio 0.2687
result/tencentBlock.ns5318.oracleGeneral.zst LIRS cache size      571, 17918875 req, miss ratio 0.1757, byte miss ratio 0.1757
result/tencentBlock.ns5318.oracleGeneral.zst LIRS cache size     1713, 17918875 req, miss ratio 0.0747, byte miss ratio 0.0747
result/tencentBlock.ns5318.oracleGeneral.zst LIRS cache size     5712, 17918875 req, miss ratio 0.0508, byte miss ratio 0.0508
result/tencentBlock.ns5318.oracleGeneral.zst LIRS cache size    11424, 17918875 req, miss ratio 0.0322, byte miss ratio 0.0322
result/tencentBlock.ns5318.oracleGeneral.zst LIRS cache size    22849, 17918875 req, miss ratio 0.0063, byte miss ratio 0.0063
result/tencentBlock.ns5318.oracleGeneral.zst LIRS cache size    45699, 17918875 req, miss ratio 0.0032, byte miss ratio 0.0032
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-1 cache size       57, 17918875 req, miss ratio 0.5712, byte miss ratio 0.5712
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-1 cache size      171, 17918875 req, miss ratio 0.2882, byte miss ratio 0.2882
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-1 cache size      571, 17918875 req, miss ratio 0.1818, byte miss ratio 0.1818
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-1 cache size     1713, 17918875 req, miss ratio 0.0768, byte miss ratio 0.0768
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-1 cache size     5712, 17918875 req, miss ratio 0.0508, byte miss ratio 0.0508
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-1 cache size    11424, 17918875 req, miss ratio 0.0325, byte miss ratio 0.0325
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-1 cache size    22849, 17918875 req, miss ratio 0.0067, byte miss ratio 0.0067
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-1 cache size    45699, 17918875 req, miss ratio 0.0033, byte miss ratio 0.0033
result/tencentBlock.ns5318.oracleGeneral.zst ARC cache size       57, 17918875 req, miss ratio 0.5713, byte miss ratio 0.5713
result/tencentBlock.ns5318.oracleGeneral.zst ARC cache size      171, 17918875 req, miss ratio 0.2771, byte miss ratio 0.2771
result/tencentBlock.ns5318.oracleGeneral.zst ARC cache size      571, 17918875 req, miss ratio 0.1769, byte miss ratio 0.1769
result/tencentBlock.ns5318.oracleGeneral.zst ARC cache size     1713, 17918875 req, miss ratio 0.0753, byte miss ratio 0.0753
result/tencentBlock.ns5318.oracleGeneral.zst ARC cache size     5712, 17918875 req, miss ratio 0.0509, byte miss ratio 0.0509
result/tencentBlock.ns5318.oracleGeneral.zst ARC cache size    11424, 17918875 req, miss ratio 0.0329, byte miss ratio 0.0329
result/tencentBlock.ns5318.oracleGeneral.zst ARC cache size    22849, 17918875 req, miss ratio 0.0066, byte miss ratio 0.0066
result/tencentBlock.ns5318.oracleGeneral.zst ARC cache size    45699, 17918875 req, miss ratio 0.0033, byte miss ratio 0.0033
result/tencentBlock.ns5318.oracleGeneral.zst clock2 cache size       57, 17918875 req, miss ratio 0.6396, byte miss ratio 0.6396
result/tencentBlock.ns5318.oracleGeneral.zst clock2 cache size      171, 17918875 req, miss ratio 0.4267, byte miss ratio 0.4267
result/tencentBlock.ns5318.oracleGeneral.zst clock2 cache size      571, 17918875 req, miss ratio 0.2073, byte miss ratio 0.2073
result/tencentBlock.ns5318.oracleGeneral.zst clock2 cache size     1713, 17918875 req, miss ratio 0.1565, byte miss ratio 0.1565
result/tencentBlock.ns5318.oracleGeneral.zst clock2 cache size     5712, 17918875 req, miss ratio 0.0519, byte miss ratio 0.0519
result/tencentBlock.ns5318.oracleGeneral.zst clock2 cache size    11424, 17918875 req, miss ratio 0.0342, byte miss ratio 0.0342
result/tencentBlock.ns5318.oracleGeneral.zst clock2 cache size    22849, 17918875 req, miss ratio 0.0075, byte miss ratio 0.0075
result/tencentBlock.ns5318.oracleGeneral.zst clock2 cache size    45699, 17918875 req, miss ratio 0.0033, byte miss ratio 0.0033
result/tencentBlock.ns5318.oracleGeneral.zst Clock cache size       57, 17918875 req, miss ratio 0.6514, byte miss ratio 0.6514
result/tencentBlock.ns5318.oracleGeneral.zst Clock cache size      171, 17918875 req, miss ratio 0.4330, byte miss ratio 0.4330
result/tencentBlock.ns5318.oracleGeneral.zst Clock cache size      571, 17918875 req, miss ratio 0.2118, byte miss ratio 0.2118
result/tencentBlock.ns5318.oracleGeneral.zst Clock cache size     1713, 17918875 req, miss ratio 0.1491, byte miss ratio 0.1491
result/tencentBlock.ns5318.oracleGeneral.zst Clock cache size     5712, 17918875 req, miss ratio 0.0519, byte miss ratio 0.0519
result/tencentBlock.ns5318.oracleGeneral.zst Clock cache size    11424, 17918875 req, miss ratio 0.0331, byte miss ratio 0.0331
result/tencentBlock.ns5318.oracleGeneral.zst Clock cache size    22849, 17918875 req, miss ratio 0.0081, byte miss ratio 0.0081
result/tencentBlock.ns5318.oracleGeneral.zst Clock cache size    45699, 17918875 req, miss ratio 0.0033, byte miss ratio 0.0033
result/tencentBlock.ns5318.oracleGeneral.zst LHD cache size       57, 17918875 req, miss ratio 0.6113, byte miss ratio 0.6113
