result/tencentBlock.ns4986.oracleGeneral.zst LRU cache size      184, 3588518 req, miss ratio 0.2733, byte miss ratio 0.2733
result/tencentBlock.ns4986.oracleGeneral.zst LRU cache size      553, 3588518 req, miss ratio 0.2039, byte miss ratio 0.2039
result/tencentBlock.ns4986.oracleGeneral.zst LRU cache size     1844, 3588518 req, miss ratio 0.1683, byte miss ratio 0.1683
result/tencentBlock.ns4986.oracleGeneral.zst LRU cache size     5534, 3588518 req, miss ratio 0.1475, byte miss ratio 0.1475
result/tencentBlock.ns4986.oracleGeneral.zst LRU cache size    18446, 3588518 req, miss ratio 0.1284, byte miss ratio 0.1284
result/tencentBlock.ns4986.oracleGeneral.zst LRU cache size    36893, 3588518 req, miss ratio 0.1005, byte miss ratio 0.1005
result/tencentBlock.ns4986.oracleGeneral.zst LRU cache size    73786, 3588518 req, miss ratio 0.0702, byte miss ratio 0.0702
result/tencentBlock.ns4986.oracleGeneral.zst LRU cache size   147573, 3588518 req, miss ratio 0.0527, byte miss ratio 0.0527
result/tencentBlock.ns4986.oracleGeneral.zst S3FIFO-1 cache size      184, 3588518 req, miss ratio 0.2274, byte miss ratio 0.2274
result/tencentBlock.ns4986.oracleGeneral.zst S3FIFO-1 cache size      553, 3588518 req, miss ratio 0.1813, byte miss ratio 0.1813
result/tencentBlock.ns4986.oracleGeneral.zst S3FIFO-1 cache size     1844, 3588518 req, miss ratio 0.1533, byte miss ratio 0.1533
result/tencentBlock.ns4986.oracleGeneral.zst S3FIFO-1 cache size     5534, 3588518 req, miss ratio 0.1358, byte miss ratio 0.1358
result/tencentBlock.ns4986.oracleGeneral.zst S3FIFO-1 cache size    18446, 3588518 req, miss ratio 0.1087, byte miss ratio 0.1087
result/tencentBlock.ns4986.oracleGeneral.zst S3FIFO-1 cache size    36893, 3588518 req, miss ratio 0.0909, byte miss ratio 0.0909
result/tencentBlock.ns4986.oracleGeneral.zst S3FIFO-1 cache size    73786, 3588518 req, miss ratio 0.0681, byte miss ratio 0.0681
result/tencentBlock.ns4986.oracleGeneral.zst S3FIFO-1 cache size   147573, 3588518 req, miss ratio 0.0523, byte miss ratio 0.0523
result/tencentBlock.ns4986.oracleGeneral.zst LeCaR cache size      184, 3588518 req, miss ratio 0.2479, byte miss ratio 0.2479
result/tencentBlock.ns4986.oracleGeneral.zst LeCaR cache size      553, 3588518 req, miss ratio 0.1923, byte miss ratio 0.1923
result/tencentBlock.ns4986.oracleGeneral.zst LeCaR cache size     1844, 3588518 req, miss ratio 0.1655, byte miss ratio 0.1655
result/tencentBlock.ns4986.oracleGeneral.zst LeCaR cache size     5534, 3588518 req, miss ratio 0.1446, byte miss ratio 0.1446
result/tencentBlock.ns4986.oracleGeneral.zst LeCaR cache size    18446, 3588518 req, miss ratio 0.1232, byte miss ratio 0.1232
result/tencentBlock.ns4986.oracleGeneral.zst LeCaR cache size    36893, 3588518 req, miss ratio 0.0959, byte miss ratio 0.0959
result/tencentBlock.ns4986.oracleGeneral.zst LeCaR cache size    73786, 3588518 req, miss ratio 0.0689, byte miss ratio 0.0689
result/tencentBlock.ns4986.oracleGeneral.zst LeCaR cache size   147573, 3588518 req, miss ratio 0.0527, byte miss ratio 0.0527
result/tencentBlock.ns4986.oracleGeneral.zst ARC cache size      184, 3588518 req, miss ratio 0.2258, byte miss ratio 0.2258
result/tencentBlock.ns4986.oracleGeneral.zst ARC cache size      553, 3588518 req, miss ratio 0.1816, byte miss ratio 0.1816
result/tencentBlock.ns4986.oracleGeneral.zst ARC cache size     1844, 3588518 req, miss ratio 0.1539, byte miss ratio 0.1539
result/tencentBlock.ns4986.oracleGeneral.zst ARC cache size     5534, 3588518 req, miss ratio 0.1352, byte miss ratio 0.1352
result/tencentBlock.ns4986.oracleGeneral.zst ARC cache size    18446, 3588518 req, miss ratio 0.1126, byte miss ratio 0.1126
result/tencentBlock.ns4986.oracleGeneral.zst ARC cache size    36893, 3588518 req, miss ratio 0.0908, byte miss ratio 0.0908
result/tencentBlock.ns4986.oracleGeneral.zst ARC cache size    73786, 3588518 req, miss ratio 0.0683, byte miss ratio 0.0683
result/tencentBlock.ns4986.oracleGeneral.zst ARC cache size   147573, 3588518 req, miss ratio 0.0523, byte miss ratio 0.0523
result/tencentBlock.ns4986.oracleGeneral.zst Cacheus cache size      184, 3588518 req, miss ratio 0.2369, byte miss ratio 0.2369
result/tencentBlock.ns4986.oracleGeneral.zst Cacheus cache size      553, 3588518 req, miss ratio 0.1856, byte miss ratio 0.1856
result/tencentBlock.ns4986.oracleGeneral.zst Cacheus cache size     1844, 3588518 req, miss ratio 0.1581, byte miss ratio 0.1581
result/tencentBlock.ns4986.oracleGeneral.zst Cacheus cache size     5534, 3588518 req, miss ratio 0.1403, byte miss ratio 0.1403
result/tencentBlock.ns4986.oracleGeneral.zst Cacheus cache size    18446, 3588518 req, miss ratio 0.1164, byte miss ratio 0.1164
result/tencentBlock.ns4986.oracleGeneral.zst Cacheus cache size    36893, 3588518 req, miss ratio 0.0958, byte miss ratio 0.0958
result/tencentBlock.ns4986.oracleGeneral.zst Cacheus cache size    73786, 3588518 req, miss ratio 0.0695, byte miss ratio 0.0695
result/tencentBlock.ns4986.oracleGeneral.zst Cacheus cache size   147573, 3588518 req, miss ratio 0.0523, byte miss ratio 0.0523
result/tencentBlock.ns4986.oracleGeneral.zst Clock cache size      184, 3588518 req, miss ratio 0.2653, byte miss ratio 0.2653
result/tencentBlock.ns4986.oracleGeneral.zst Clock cache size      553, 3588518 req, miss ratio 0.1997, byte miss ratio 0.1997
result/tencentBlock.ns4986.oracleGeneral.zst Clock cache size     1844, 3588518 req, miss ratio 0.1676, byte miss ratio 0.1676
result/tencentBlock.ns4986.oracleGeneral.zst Clock cache size     5534, 3588518 req, miss ratio 0.1466, byte miss ratio 0.1466
result/tencentBlock.ns4986.oracleGeneral.zst Clock cache size    18446, 3588518 req, miss ratio 0.1268, byte miss ratio 0.1268
result/tencentBlock.ns4986.oracleGeneral.zst Clock cache size    36893, 3588518 req, miss ratio 0.0966, byte miss ratio 0.0966
result/tencentBlock.ns4986.oracleGeneral.zst Clock cache size    73786, 3588518 req, miss ratio 0.0693, byte miss ratio 0.0693
result/tencentBlock.ns4986.oracleGeneral.zst Clock cache size   147573, 3588518 req, miss ratio 0.0523, byte miss ratio 0.0523
result/tencentBlock.ns4986.oracleGeneral.zst LIRS cache size      184, 3588518 req, miss ratio 0.2306, byte miss ratio 0.2306
result/tencentBlock.ns4986.oracleGeneral.zst LIRS cache size      553, 3588518 req, miss ratio 0.1875, byte miss ratio 0.1875
result/tencentBlock.ns4986.oracleGeneral.zst LIRS cache size     1844, 3588518 req, miss ratio 0.1560, byte miss ratio 0.1560
result/tencentBlock.ns4986.oracleGeneral.zst LIRS cache size     5534, 3588518 req, miss ratio 0.1361, byte miss ratio 0.1361
result/tencentBlock.ns4986.oracleGeneral.zst LIRS cache size    18446, 3588518 req, miss ratio 0.1049, byte miss ratio 0.1049
result/tencentBlock.ns4986.oracleGeneral.zst LIRS cache size    36893, 3588518 req, miss ratio 0.0880, byte miss ratio 0.0880
result/tencentBlock.ns4986.oracleGeneral.zst LIRS cache size    73786, 3588518 req, miss ratio 0.0676, byte miss ratio 0.0676
result/tencentBlock.ns4986.oracleGeneral.zst LIRS cache size   147573, 3588518 req, miss ratio 0.0532, byte miss ratio 0.0532
result/tencentBlock.ns4986.oracleGeneral.zst clock2 cache size      184, 3588518 req, miss ratio 0.2600, byte miss ratio 0.2600
result/tencentBlock.ns4986.oracleGeneral.zst clock2 cache size      553, 3588518 req, miss ratio 0.1956, byte miss ratio 0.1956
result/tencentBlock.ns4986.oracleGeneral.zst clock2 cache size     1844, 3588518 req, miss ratio 0.1681, byte miss ratio 0.1681
result/tencentBlock.ns4986.oracleGeneral.zst clock2 cache size     5534, 3588518 req, miss ratio 0.1459, byte miss ratio 0.1459
result/tencentBlock.ns4986.oracleGeneral.zst clock2 cache size    18446, 3588518 req, miss ratio 0.1256, byte miss ratio 0.1256
result/tencentBlock.ns4986.oracleGeneral.zst clock2 cache size    36893, 3588518 req, miss ratio 0.0983, byte miss ratio 0.0983
result/tencentBlock.ns4986.oracleGeneral.zst clock2 cache size    73786, 3588518 req, miss ratio 0.0704, byte miss ratio 0.0704
result/tencentBlock.ns4986.oracleGeneral.zst clock2 cache size   147573, 3588518 req, miss ratio 0.0523, byte miss ratio 0.0523
result/tencentBlock.ns4986.oracleGeneral.zst LHD cache size      184, 3588518 req, miss ratio 0.2416, byte miss ratio 0.2416
result/tencentBlock.ns4986.oracleGeneral.zst LHD cache size      553, 3588518 req, miss ratio 0.1920, byte miss ratio 0.1920
result/tencentBlock.ns4986.oracleGeneral.zst LHD cache size     1844, 3588518 req, miss ratio 0.1633, byte miss ratio 0.1633
result/tencentBlock.ns4986.oracleGeneral.zst LHD cache size     5534, 3588518 req, miss ratio 0.1435, byte miss ratio 0.1435
result/tencentBlock.ns4986.oracleGeneral.zst LHD cache size    18446, 3588518 req, miss ratio 0.1232, byte miss ratio 0.1232
result/tencentBlock.ns4986.oracleGeneral.zst LHD cache size    36893, 3588518 req, miss ratio 0.0970, byte miss ratio 0.0970
result/tencentBlock.ns4986.oracleGeneral.zst LHD cache size    73786, 3588518 req, miss ratio 0.0706, byte miss ratio 0.0706
result/tencentBlock.ns4986.oracleGeneral.zst LHD cache size   147573, 3588518 req, miss ratio 0.0535, byte miss ratio 0.0535
result/tencentBlock.ns4986.oracleGeneral.zst FIFO cache size      184, 3588518 req, miss ratio 0.3263, byte miss ratio 0.3263
