result/tencentBlock.ns20443.oracleGeneral.zst LIRS cache size      212, 1431153 req, miss ratio 0.5057, byte miss ratio 0.5057
result/tencentBlock.ns20443.oracleGeneral.zst LIRS cache size      638, 1431153 req, miss ratio 0.4666, byte miss ratio 0.4666
result/tencentBlock.ns20443.oracleGeneral.zst LIRS cache size     2128, 1431153 req, miss ratio 0.4389, byte miss ratio 0.4389
result/tencentBlock.ns20443.oracleGeneral.zst LIRS cache size     6386, 1431153 req, miss ratio 0.4307, byte miss ratio 0.4307
result/tencentBlock.ns20443.oracleGeneral.zst LIRS cache size    21287, 1431153 req, miss ratio 0.3725, byte miss ratio 0.3725
result/tencentBlock.ns20443.oracleGeneral.zst LIRS cache size    42575, 1431153 req, miss ratio 0.3023, byte miss ratio 0.3023
result/tencentBlock.ns20443.oracleGeneral.zst LIRS cache size    85150, 1431153 req, miss ratio 0.1966, byte miss ratio 0.1966
result/tencentBlock.ns20443.oracleGeneral.zst LIRS cache size   170300, 1431153 req, miss ratio 0.1495, byte miss ratio 0.1495
result/tencentBlock.ns20443.oracleGeneral.zst Cacheus cache size      212, 1431153 req, miss ratio 0.4417, byte miss ratio 0.4417
result/tencentBlock.ns20443.oracleGeneral.zst Cacheus cache size      638, 1431153 req, miss ratio 0.4377, byte miss ratio 0.4377
result/tencentBlock.ns20443.oracleGeneral.zst Cacheus cache size     2128, 1431153 req, miss ratio 0.4355, byte miss ratio 0.4355
result/tencentBlock.ns20443.oracleGeneral.zst Cacheus cache size     6386, 1431153 req, miss ratio 0.4346, byte miss ratio 0.4346
result/tencentBlock.ns20443.oracleGeneral.zst Cacheus cache size    21287, 1431153 req, miss ratio 0.3878, byte miss ratio 0.3878
result/tencentBlock.ns20443.oracleGeneral.zst Cacheus cache size    42575, 1431153 req, miss ratio 0.3465, byte miss ratio 0.3465
result/tencentBlock.ns20443.oracleGeneral.zst Cacheus cache size    85150, 1431153 req, miss ratio 0.2150, byte miss ratio 0.2150
result/tencentBlock.ns20443.oracleGeneral.zst Cacheus cache size   170300, 1431153 req, miss ratio 0.1501, byte miss ratio 0.1501
result/tencentBlock.ns20443.oracleGeneral.zst LRU cache size      212, 1431153 req, miss ratio 0.4526, byte miss ratio 0.4526
result/tencentBlock.ns20443.oracleGeneral.zst LRU cache size      638, 1431153 req, miss ratio 0.4394, byte miss ratio 0.4394
result/tencentBlock.ns20443.oracleGeneral.zst LRU cache size     2128, 1431153 req, miss ratio 0.4367, byte miss ratio 0.4367
result/tencentBlock.ns20443.oracleGeneral.zst LRU cache size     6386, 1431153 req, miss ratio 0.4351, byte miss ratio 0.4351
result/tencentBlock.ns20443.oracleGeneral.zst LRU cache size    21287, 1431153 req, miss ratio 0.3790, byte miss ratio 0.3790
result/tencentBlock.ns20443.oracleGeneral.zst LRU cache size    42575, 1431153 req, miss ratio 0.3477, byte miss ratio 0.3477
result/tencentBlock.ns20443.oracleGeneral.zst LRU cache size    85150, 1431153 req, miss ratio 0.2052, byte miss ratio 0.2052
result/tencentBlock.ns20443.oracleGeneral.zst LRU cache size   170300, 1431153 req, miss ratio 0.1502, byte miss ratio 0.1502
result/tencentBlock.ns20443.oracleGeneral.zst FIFO cache size      212, 1431153 req, miss ratio 0.5153, byte miss ratio 0.5153
result/tencentBlock.ns20443.oracleGeneral.zst FIFO cache size      638, 1431153 req, miss ratio 0.4643, byte miss ratio 0.4643
result/tencentBlock.ns20443.oracleGeneral.zst FIFO cache size     2128, 1431153 req, miss ratio 0.4448, byte miss ratio 0.4448
result/tencentBlock.ns20443.oracleGeneral.zst FIFO cache size     6386, 1431153 req, miss ratio 0.4383, byte miss ratio 0.4383
result/tencentBlock.ns20443.oracleGeneral.zst FIFO cache size    21287, 1431153 req, miss ratio 0.3944, byte miss ratio 0.3944
result/tencentBlock.ns20443.oracleGeneral.zst FIFO cache size    42575, 1431153 req, miss ratio 0.3662, byte miss ratio 0.3662
result/tencentBlock.ns20443.oracleGeneral.zst FIFO cache size    85150, 1431153 req, miss ratio 0.2418, byte miss ratio 0.2418
result/tencentBlock.ns20443.oracleGeneral.zst FIFO cache size   170300, 1431153 req, miss ratio 0.1735, byte miss ratio 0.1735
result/tencentBlock.ns20443.oracleGeneral.zst S3FIFO-1 cache size      212, 1431153 req, miss ratio 0.4428, byte miss ratio 0.4428
