result/tencentBlock.ns16376.oracleGeneral.zst LHD cache size      486, 5019775 req, miss ratio 0.4893, byte miss ratio 0.4893
result/tencentBlock.ns16376.oracleGeneral.zst LHD cache size     1458, 5019775 req, miss ratio 0.4127, byte miss ratio 0.4127
result/tencentBlock.ns16376.oracleGeneral.zst LHD cache size     4861, 5019775 req, miss ratio 0.3601, byte miss ratio 0.3601
result/tencentBlock.ns16376.oracleGeneral.zst LHD cache size    14584, 5019775 req, miss ratio 0.2977, byte miss ratio 0.2977
result/tencentBlock.ns16376.oracleGeneral.zst LHD cache size    48614, 5019775 req, miss ratio 0.1934, byte miss ratio 0.1934
result/tencentBlock.ns16376.oracleGeneral.zst LHD cache size    97229, 5019775 req, miss ratio 0.1473, byte miss ratio 0.1473
result/tencentBlock.ns16376.oracleGeneral.zst LHD cache size   194459, 5019775 req, miss ratio 0.1152, byte miss ratio 0.1152
result/tencentBlock.ns16376.oracleGeneral.zst LHD cache size   388918, 5019775 req, miss ratio 0.0987, byte miss ratio 0.0987
result/tencentBlock.ns16376.oracleGeneral.zst clock2 cache size      486, 5019775 req, miss ratio 0.4848, byte miss ratio 0.4848
result/tencentBlock.ns16376.oracleGeneral.zst clock2 cache size     1458, 5019775 req, miss ratio 0.4145, byte miss ratio 0.4145
result/tencentBlock.ns16376.oracleGeneral.zst clock2 cache size     4861, 5019775 req, miss ratio 0.3634, byte miss ratio 0.3634
result/tencentBlock.ns16376.oracleGeneral.zst clock2 cache size    14584, 5019775 req, miss ratio 0.3243, byte miss ratio 0.3243
result/tencentBlock.ns16376.oracleGeneral.zst clock2 cache size    48614, 5019775 req, miss ratio 0.2170, byte miss ratio 0.2170
result/tencentBlock.ns16376.oracleGeneral.zst clock2 cache size    97229, 5019775 req, miss ratio 0.1553, byte miss ratio 0.1553
result/tencentBlock.ns16376.oracleGeneral.zst clock2 cache size   194459, 5019775 req, miss ratio 0.1229, byte miss ratio 0.1229
result/tencentBlock.ns16376.oracleGeneral.zst clock2 cache size   388918, 5019775 req, miss ratio 0.0984, byte miss ratio 0.0984
result/tencentBlock.ns16376.oracleGeneral.zst FIFO cache size      486, 5019775 req, miss ratio 0.5251, byte miss ratio 0.5251
result/tencentBlock.ns16376.oracleGeneral.zst FIFO cache size     1458, 5019775 req, miss ratio 0.4485, byte miss ratio 0.4485
result/tencentBlock.ns16376.oracleGeneral.zst FIFO cache size     4861, 5019775 req, miss ratio 0.3889, byte miss ratio 0.3889
result/tencentBlock.ns16376.oracleGeneral.zst FIFO cache size    14584, 5019775 req, miss ratio 0.3429, byte miss ratio 0.3429
result/tencentBlock.ns16376.oracleGeneral.zst FIFO cache size    48614, 5019775 req, miss ratio 0.2355, byte miss ratio 0.2355
result/tencentBlock.ns16376.oracleGeneral.zst FIFO cache size    97229, 5019775 req, miss ratio 0.1832, byte miss ratio 0.1832
result/tencentBlock.ns16376.oracleGeneral.zst FIFO cache size   194459, 5019775 req, miss ratio 0.1319, byte miss ratio 0.1319
result/tencentBlock.ns16376.oracleGeneral.zst FIFO cache size   388918, 5019775 req, miss ratio 0.1041, byte miss ratio 0.1041
result/tencentBlock.ns16376.oracleGeneral.zst LeCaR cache size      486, 5019775 req, miss ratio 0.4880, byte miss ratio 0.4880
result/tencentBlock.ns16376.oracleGeneral.zst LeCaR cache size     1458, 5019775 req, miss ratio 0.4169, byte miss ratio 0.4169
result/tencentBlock.ns16376.oracleGeneral.zst LeCaR cache size     4861, 5019775 req, miss ratio 0.3655, byte miss ratio 0.3655
result/tencentBlock.ns16376.oracleGeneral.zst LeCaR cache size    14584, 5019775 req, miss ratio 0.3250, byte miss ratio 0.3250
result/tencentBlock.ns16376.oracleGeneral.zst LeCaR cache size    48614, 5019775 req, miss ratio 0.2081, byte miss ratio 0.2081
result/tencentBlock.ns16376.oracleGeneral.zst LeCaR cache size    97229, 5019775 req, miss ratio 0.1540, byte miss ratio 0.1540
result/tencentBlock.ns16376.oracleGeneral.zst LeCaR cache size   194459, 5019775 req, miss ratio 0.1168, byte miss ratio 0.1168
result/tencentBlock.ns16376.oracleGeneral.zst LeCaR cache size   388918, 5019775 req, miss ratio 0.0975, byte miss ratio 0.0975
result/tencentBlock.ns16376.oracleGeneral.zst LRU cache size      486, 5019775 req, miss ratio 0.4932, byte miss ratio 0.4932
result/tencentBlock.ns16376.oracleGeneral.zst LRU cache size     1458, 5019775 req, miss ratio 0.4202, byte miss ratio 0.4202
result/tencentBlock.ns16376.oracleGeneral.zst LRU cache size     4861, 5019775 req, miss ratio 0.3684, byte miss ratio 0.3684
result/tencentBlock.ns16376.oracleGeneral.zst LRU cache size    14584, 5019775 req, miss ratio 0.3275, byte miss ratio 0.3275
result/tencentBlock.ns16376.oracleGeneral.zst LRU cache size    48614, 5019775 req, miss ratio 0.2086, byte miss ratio 0.2086
result/tencentBlock.ns16376.oracleGeneral.zst LRU cache size    97229, 5019775 req, miss ratio 0.1552, byte miss ratio 0.1552
result/tencentBlock.ns16376.oracleGeneral.zst LRU cache size   194459, 5019775 req, miss ratio 0.1185, byte miss ratio 0.1185
result/tencentBlock.ns16376.oracleGeneral.zst LRU cache size   388918, 5019775 req, miss ratio 0.0975, byte miss ratio 0.0975
result/tencentBlock.ns16376.oracleGeneral.zst ARC cache size      486, 5019775 req, miss ratio 0.4686, byte miss ratio 0.4686
result/tencentBlock.ns16376.oracleGeneral.zst ARC cache size     1458, 5019775 req, miss ratio 0.4073, byte miss ratio 0.4073
result/tencentBlock.ns16376.oracleGeneral.zst ARC cache size     4861, 5019775 req, miss ratio 0.3618, byte miss ratio 0.3618
result/tencentBlock.ns16376.oracleGeneral.zst ARC cache size    14584, 5019775 req, miss ratio 0.3053, byte miss ratio 0.3053
result/tencentBlock.ns16376.oracleGeneral.zst ARC cache size    48614, 5019775 req, miss ratio 0.2056, byte miss ratio 0.2056
result/tencentBlock.ns16376.oracleGeneral.zst ARC cache size    97229, 5019775 req, miss ratio 0.1567, byte miss ratio 0.1567
result/tencentBlock.ns16376.oracleGeneral.zst ARC cache size   194459, 5019775 req, miss ratio 0.1184, byte miss ratio 0.1184
result/tencentBlock.ns16376.oracleGeneral.zst ARC cache size   388918, 5019775 req, miss ratio 0.0987, byte miss ratio 0.0987
result/tencentBlock.ns16376.oracleGeneral.zst Clock cache size      486, 5019775 req, miss ratio 0.4919, byte miss ratio 0.4919
result/tencentBlock.ns16376.oracleGeneral.zst Clock cache size     1458, 5019775 req, miss ratio 0.4194, byte miss ratio 0.4194
result/tencentBlock.ns16376.oracleGeneral.zst Clock cache size     4861, 5019775 req, miss ratio 0.3678, byte miss ratio 0.3678
result/tencentBlock.ns16376.oracleGeneral.zst Clock cache size    14584, 5019775 req, miss ratio 0.3278, byte miss ratio 0.3278
result/tencentBlock.ns16376.oracleGeneral.zst Clock cache size    48614, 5019775 req, miss ratio 0.2167, byte miss ratio 0.2167
result/tencentBlock.ns16376.oracleGeneral.zst Clock cache size    97229, 5019775 req, miss ratio 0.1595, byte miss ratio 0.1595
result/tencentBlock.ns16376.oracleGeneral.zst Clock cache size   194459, 5019775 req, miss ratio 0.1242, byte miss ratio 0.1242
result/tencentBlock.ns16376.oracleGeneral.zst Clock cache size   388918, 5019775 req, miss ratio 0.0995, byte miss ratio 0.0995
result/tencentBlock.ns16376.oracleGeneral.zst S3FIFO-1 cache size      486, 5019775 req, miss ratio 0.4662, byte miss ratio 0.4662
result/tencentBlock.ns16376.oracleGeneral.zst S3FIFO-1 cache size     1458, 5019775 req, miss ratio 0.4037, byte miss ratio 0.4037
result/tencentBlock.ns16376.oracleGeneral.zst S3FIFO-1 cache size     4861, 5019775 req, miss ratio 0.3564, byte miss ratio 0.3564
result/tencentBlock.ns16376.oracleGeneral.zst S3FIFO-1 cache size    14584, 5019775 req, miss ratio 0.2993, byte miss ratio 0.2993
result/tencentBlock.ns16376.oracleGeneral.zst S3FIFO-1 cache size    48614, 5019775 req, miss ratio 0.2029, byte miss ratio 0.2029
result/tencentBlock.ns16376.oracleGeneral.zst S3FIFO-1 cache size    97229, 5019775 req, miss ratio 0.1513, byte miss ratio 0.1513
result/tencentBlock.ns16376.oracleGeneral.zst S3FIFO-1 cache size   194459, 5019775 req, miss ratio 0.1233, byte miss ratio 0.1233
result/tencentBlock.ns16376.oracleGeneral.zst S3FIFO-1 cache size   388918, 5019775 req, miss ratio 0.0996, byte miss ratio 0.0996
result/tencentBlock.ns16376.oracleGeneral.zst LIRS cache size      486, 5019775 req, miss ratio 0.4820, byte miss ratio 0.4820
result/tencentBlock.ns16376.oracleGeneral.zst LIRS cache size     1458, 5019775 req, miss ratio 0.4285, byte miss ratio 0.4285
result/tencentBlock.ns16376.oracleGeneral.zst LIRS cache size     4861, 5019775 req, miss ratio 0.3800, byte miss ratio 0.3800
result/tencentBlock.ns16376.oracleGeneral.zst LIRS cache size    14584, 5019775 req, miss ratio 0.3121, byte miss ratio 0.3121
result/tencentBlock.ns16376.oracleGeneral.zst LIRS cache size    48614, 5019775 req, miss ratio 0.2111, byte miss ratio 0.2111
result/tencentBlock.ns16376.oracleGeneral.zst LIRS cache size    97229, 5019775 req, miss ratio 0.1597, byte miss ratio 0.1597
result/tencentBlock.ns16376.oracleGeneral.zst LIRS cache size   194459, 5019775 req, miss ratio 0.1185, byte miss ratio 0.1185
result/tencentBlock.ns16376.oracleGeneral.zst LIRS cache size   388918, 5019775 req, miss ratio 0.0994, byte miss ratio 0.0994
result/tencentBlock.ns16376.oracleGeneral.zst Cacheus cache size      486, 5019775 req, miss ratio 0.4719, byte miss ratio 0.4719
