result/tencentBlock.ns17818.oracleGeneral.zst S3FIFO-1 cache size      422, 3171120 req, miss ratio 0.5165, byte miss ratio 0.5165
result/tencentBlock.ns17818.oracleGeneral.zst S3FIFO-1 cache size     1267, 3171120 req, miss ratio 0.4966, byte miss ratio 0.4966
result/tencentBlock.ns17818.oracleGeneral.zst S3FIFO-1 cache size     4223, 3171120 req, miss ratio 0.4849, byte miss ratio 0.4849
result/tencentBlock.ns17818.oracleGeneral.zst S3FIFO-1 cache size    12670, 3171120 req, miss ratio 0.4621, byte miss ratio 0.4621
result/tencentBlock.ns17818.oracleGeneral.zst S3FIFO-1 cache size    42234, 3171120 req, miss ratio 0.3877, byte miss ratio 0.3877
result/tencentBlock.ns17818.oracleGeneral.zst S3FIFO-1 cache size    84469, 3171120 req, miss ratio 0.3367, byte miss ratio 0.3367
result/tencentBlock.ns17818.oracleGeneral.zst S3FIFO-1 cache size   168938, 3171120 req, miss ratio 0.2178, byte miss ratio 0.2178
result/tencentBlock.ns17818.oracleGeneral.zst S3FIFO-1 cache size   337876, 3171120 req, miss ratio 0.1427, byte miss ratio 0.1427
result/tencentBlock.ns17818.oracleGeneral.zst LHD cache size      422, 3171120 req, miss ratio 0.5350, byte miss ratio 0.5350
result/tencentBlock.ns17818.oracleGeneral.zst LHD cache size     1267, 3171120 req, miss ratio 0.5047, byte miss ratio 0.5047
result/tencentBlock.ns17818.oracleGeneral.zst LHD cache size     4223, 3171120 req, miss ratio 0.4899, byte miss ratio 0.4899
result/tencentBlock.ns17818.oracleGeneral.zst LHD cache size    12670, 3171120 req, miss ratio 0.4707, byte miss ratio 0.4707
result/tencentBlock.ns17818.oracleGeneral.zst LHD cache size    42234, 3171120 req, miss ratio 0.4043, byte miss ratio 0.4043
result/tencentBlock.ns17818.oracleGeneral.zst LHD cache size    84469, 3171120 req, miss ratio 0.3321, byte miss ratio 0.3321
result/tencentBlock.ns17818.oracleGeneral.zst LHD cache size   168938, 3171120 req, miss ratio 0.2115, byte miss ratio 0.2115
result/tencentBlock.ns17818.oracleGeneral.zst LHD cache size   337876, 3171120 req, miss ratio 0.1380, byte miss ratio 0.1380
result/tencentBlock.ns17818.oracleGeneral.zst FIFO cache size      422, 3171120 req, miss ratio 0.6080, byte miss ratio 0.6080
result/tencentBlock.ns17818.oracleGeneral.zst FIFO cache size     1267, 3171120 req, miss ratio 0.5445, byte miss ratio 0.5445
result/tencentBlock.ns17818.oracleGeneral.zst FIFO cache size     4223, 3171120 req, miss ratio 0.5068, byte miss ratio 0.5068
result/tencentBlock.ns17818.oracleGeneral.zst FIFO cache size    12670, 3171120 req, miss ratio 0.4870, byte miss ratio 0.4870
result/tencentBlock.ns17818.oracleGeneral.zst FIFO cache size    42234, 3171120 req, miss ratio 0.4393, byte miss ratio 0.4393
result/tencentBlock.ns17818.oracleGeneral.zst FIFO cache size    84469, 3171120 req, miss ratio 0.3939, byte miss ratio 0.3939
result/tencentBlock.ns17818.oracleGeneral.zst FIFO cache size   168938, 3171120 req, miss ratio 0.2696, byte miss ratio 0.2696
result/tencentBlock.ns17818.oracleGeneral.zst FIFO cache size   337876, 3171120 req, miss ratio 0.1586, byte miss ratio 0.1586
result/tencentBlock.ns17818.oracleGeneral.zst clock2 cache size      422, 3171120 req, miss ratio 0.5347, byte miss ratio 0.5347
result/tencentBlock.ns17818.oracleGeneral.zst clock2 cache size     1267, 3171120 req, miss ratio 0.5131, byte miss ratio 0.5131
result/tencentBlock.ns17818.oracleGeneral.zst clock2 cache size     4223, 3171120 req, miss ratio 0.4913, byte miss ratio 0.4913
result/tencentBlock.ns17818.oracleGeneral.zst clock2 cache size    12670, 3171120 req, miss ratio 0.4795, byte miss ratio 0.4795
result/tencentBlock.ns17818.oracleGeneral.zst clock2 cache size    42234, 3171120 req, miss ratio 0.4409, byte miss ratio 0.4409
result/tencentBlock.ns17818.oracleGeneral.zst clock2 cache size    84469, 3171120 req, miss ratio 0.3715, byte miss ratio 0.3715
result/tencentBlock.ns17818.oracleGeneral.zst clock2 cache size   168938, 3171120 req, miss ratio 0.2552, byte miss ratio 0.2552
result/tencentBlock.ns17818.oracleGeneral.zst clock2 cache size   337876, 3171120 req, miss ratio 0.1428, byte miss ratio 0.1428
result/tencentBlock.ns17818.oracleGeneral.zst LeCaR cache size      422, 3171120 req, miss ratio 0.5344, byte miss ratio 0.5344
result/tencentBlock.ns17818.oracleGeneral.zst LeCaR cache size     1267, 3171120 req, miss ratio 0.5102, byte miss ratio 0.5102
result/tencentBlock.ns17818.oracleGeneral.zst LeCaR cache size     4223, 3171120 req, miss ratio 0.4910, byte miss ratio 0.4910
result/tencentBlock.ns17818.oracleGeneral.zst LeCaR cache size    12670, 3171120 req, miss ratio 0.4781, byte miss ratio 0.4781
result/tencentBlock.ns17818.oracleGeneral.zst LeCaR cache size    42234, 3171120 req, miss ratio 0.4252, byte miss ratio 0.4252
result/tencentBlock.ns17818.oracleGeneral.zst LeCaR cache size    84469, 3171120 req, miss ratio 0.3643, byte miss ratio 0.3643
result/tencentBlock.ns17818.oracleGeneral.zst LeCaR cache size   168938, 3171120 req, miss ratio 0.2139, byte miss ratio 0.2139
result/tencentBlock.ns17818.oracleGeneral.zst LeCaR cache size   337876, 3171120 req, miss ratio 0.1366, byte miss ratio 0.1366
result/tencentBlock.ns17818.oracleGeneral.zst ARC cache size      422, 3171120 req, miss ratio 0.5145, byte miss ratio 0.5145
result/tencentBlock.ns17818.oracleGeneral.zst ARC cache size     1267, 3171120 req, miss ratio 0.4978, byte miss ratio 0.4978
result/tencentBlock.ns17818.oracleGeneral.zst ARC cache size     4223, 3171120 req, miss ratio 0.4866, byte miss ratio 0.4866
result/tencentBlock.ns17818.oracleGeneral.zst ARC cache size    12670, 3171120 req, miss ratio 0.4668, byte miss ratio 0.4668
result/tencentBlock.ns17818.oracleGeneral.zst ARC cache size    42234, 3171120 req, miss ratio 0.3954, byte miss ratio 0.3954
result/tencentBlock.ns17818.oracleGeneral.zst ARC cache size    84469, 3171120 req, miss ratio 0.3378, byte miss ratio 0.3378
result/tencentBlock.ns17818.oracleGeneral.zst ARC cache size   168938, 3171120 req, miss ratio 0.2289, byte miss ratio 0.2289
result/tencentBlock.ns17818.oracleGeneral.zst ARC cache size   337876, 3171120 req, miss ratio 0.1427, byte miss ratio 0.1427
result/tencentBlock.ns17818.oracleGeneral.zst LRU cache size      422, 3171120 req, miss ratio 0.5407, byte miss ratio 0.5407
result/tencentBlock.ns17818.oracleGeneral.zst LRU cache size     1267, 3171120 req, miss ratio 0.5134, byte miss ratio 0.5134
result/tencentBlock.ns17818.oracleGeneral.zst LRU cache size     4223, 3171120 req, miss ratio 0.4919, byte miss ratio 0.4919
result/tencentBlock.ns17818.oracleGeneral.zst LRU cache size    12670, 3171120 req, miss ratio 0.4792, byte miss ratio 0.4792
result/tencentBlock.ns17818.oracleGeneral.zst LRU cache size    42234, 3171120 req, miss ratio 0.4277, byte miss ratio 0.4277
result/tencentBlock.ns17818.oracleGeneral.zst LRU cache size    84469, 3171120 req, miss ratio 0.3694, byte miss ratio 0.3694
result/tencentBlock.ns17818.oracleGeneral.zst LRU cache size   168938, 3171120 req, miss ratio 0.2362, byte miss ratio 0.2362
