result/tencentBlock.ns13657.oracleGeneral.zst clock2 cache size      160, 1447061 req, miss ratio 0.5407, byte miss ratio 0.5407
result/tencentBlock.ns13657.oracleGeneral.zst clock2 cache size      481, 1447061 req, miss ratio 0.5015, byte miss ratio 0.5015
result/tencentBlock.ns13657.oracleGeneral.zst clock2 cache size     1604, 1447061 req, miss ratio 0.4788, byte miss ratio 0.4788
result/tencentBlock.ns13657.oracleGeneral.zst clock2 cache size     4814, 1447061 req, miss ratio 0.4624, byte miss ratio 0.4624
result/tencentBlock.ns13657.oracleGeneral.zst clock2 cache size    16049, 1447061 req, miss ratio 0.4291, byte miss ratio 0.4291
result/tencentBlock.ns13657.oracleGeneral.zst clock2 cache size    32099, 1447061 req, miss ratio 0.3568, byte miss ratio 0.3568
result/tencentBlock.ns13657.oracleGeneral.zst clock2 cache size    64199, 1447061 req, miss ratio 0.2490, byte miss ratio 0.2490
result/tencentBlock.ns13657.oracleGeneral.zst clock2 cache size   128398, 1447061 req, miss ratio 0.1117, byte miss ratio 0.1117
result/tencentBlock.ns13657.oracleGeneral.zst LIRS cache size      160, 1447061 req, miss ratio 0.5022, byte miss ratio 0.5022
result/tencentBlock.ns13657.oracleGeneral.zst LIRS cache size      481, 1447061 req, miss ratio 0.4908, byte miss ratio 0.4908
result/tencentBlock.ns13657.oracleGeneral.zst LIRS cache size     1604, 1447061 req, miss ratio 0.4718, byte miss ratio 0.4718
result/tencentBlock.ns13657.oracleGeneral.zst LIRS cache size     4814, 1447061 req, miss ratio 0.4277, byte miss ratio 0.4277
result/tencentBlock.ns13657.oracleGeneral.zst LIRS cache size    16049, 1447061 req, miss ratio 0.3645, byte miss ratio 0.3645
result/tencentBlock.ns13657.oracleGeneral.zst LIRS cache size    32099, 1447061 req, miss ratio 0.2997, byte miss ratio 0.2997
result/tencentBlock.ns13657.oracleGeneral.zst LIRS cache size    64199, 1447061 req, miss ratio 0.1937, byte miss ratio 0.1937
result/tencentBlock.ns13657.oracleGeneral.zst LIRS cache size   128398, 1447061 req, miss ratio 0.1149, byte miss ratio 0.1149
result/tencentBlock.ns13657.oracleGeneral.zst Cacheus cache size      160, 1447061 req, miss ratio 0.5091, byte miss ratio 0.5091
result/tencentBlock.ns13657.oracleGeneral.zst Cacheus cache size      481, 1447061 req, miss ratio 0.4824, byte miss ratio 0.4824
result/tencentBlock.ns13657.oracleGeneral.zst Cacheus cache size     1604, 1447061 req, miss ratio 0.4710, byte miss ratio 0.4710
result/tencentBlock.ns13657.oracleGeneral.zst Cacheus cache size     4814, 1447061 req, miss ratio 0.4430, byte miss ratio 0.4430
result/tencentBlock.ns13657.oracleGeneral.zst Cacheus cache size    16049, 1447061 req, miss ratio 0.3911, byte miss ratio 0.3911
result/tencentBlock.ns13657.oracleGeneral.zst Cacheus cache size    32099, 1447061 req, miss ratio 0.3697, byte miss ratio 0.3697
result/tencentBlock.ns13657.oracleGeneral.zst Cacheus cache size    64199, 1447061 req, miss ratio 0.2191, byte miss ratio 0.2191
result/tencentBlock.ns13657.oracleGeneral.zst Cacheus cache size   128398, 1447061 req, miss ratio 0.1118, byte miss ratio 0.1118
result/tencentBlock.ns13657.oracleGeneral.zst FIFO cache size      160, 1447061 req, miss ratio 0.6605, byte miss ratio 0.6605
result/tencentBlock.ns13657.oracleGeneral.zst FIFO cache size      481, 1447061 req, miss ratio 0.5586, byte miss ratio 0.5586
result/tencentBlock.ns13657.oracleGeneral.zst FIFO cache size     1604, 1447061 req, miss ratio 0.5027, byte miss ratio 0.5027
result/tencentBlock.ns13657.oracleGeneral.zst FIFO cache size     4814, 1447061 req, miss ratio 0.4749, byte miss ratio 0.4749
result/tencentBlock.ns13657.oracleGeneral.zst FIFO cache size    16049, 1447061 req, miss ratio 0.4452, byte miss ratio 0.4452
result/tencentBlock.ns13657.oracleGeneral.zst FIFO cache size    32099, 1447061 req, miss ratio 0.3865, byte miss ratio 0.3865
result/tencentBlock.ns13657.oracleGeneral.zst FIFO cache size    64199, 1447061 req, miss ratio 0.2566, byte miss ratio 0.2566
