result/tencentBlock.ns6883.oracleGeneral.zst Clock cache size      196, 1196741 req, miss ratio 0.4839, byte miss ratio 0.4839
result/tencentBlock.ns6883.oracleGeneral.zst Clock cache size      589, 1196741 req, miss ratio 0.4726, byte miss ratio 0.4726
result/tencentBlock.ns6883.oracleGeneral.zst Clock cache size     1963, 1196741 req, miss ratio 0.4710, byte miss ratio 0.4710
result/tencentBlock.ns6883.oracleGeneral.zst Clock cache size     5890, 1196741 req, miss ratio 0.4709, byte miss ratio 0.4709
result/tencentBlock.ns6883.oracleGeneral.zst Clock cache size    19633, 1196741 req, miss ratio 0.4177, byte miss ratio 0.4177
result/tencentBlock.ns6883.oracleGeneral.zst Clock cache size    39267, 1196741 req, miss ratio 0.3584, byte miss ratio 0.3584
result/tencentBlock.ns6883.oracleGeneral.zst Clock cache size    78535, 1196741 req, miss ratio 0.2474, byte miss ratio 0.2474
result/tencentBlock.ns6883.oracleGeneral.zst Clock cache size   157071, 1196741 req, miss ratio 0.1701, byte miss ratio 0.1701
result/tencentBlock.ns6883.oracleGeneral.zst ARC cache size      196, 1196741 req, miss ratio 0.4744, byte miss ratio 0.4744
result/tencentBlock.ns6883.oracleGeneral.zst ARC cache size      589, 1196741 req, miss ratio 0.4715, byte miss ratio 0.4715
result/tencentBlock.ns6883.oracleGeneral.zst ARC cache size     1963, 1196741 req, miss ratio 0.4712, byte miss ratio 0.4712
result/tencentBlock.ns6883.oracleGeneral.zst ARC cache size     5890, 1196741 req, miss ratio 0.4711, byte miss ratio 0.4711
result/tencentBlock.ns6883.oracleGeneral.zst ARC cache size    19633, 1196741 req, miss ratio 0.4240, byte miss ratio 0.4240
result/tencentBlock.ns6883.oracleGeneral.zst ARC cache size    39267, 1196741 req, miss ratio 0.3370, byte miss ratio 0.3370
result/tencentBlock.ns6883.oracleGeneral.zst ARC cache size    78535, 1196741 req, miss ratio 0.2267, byte miss ratio 0.2267
result/tencentBlock.ns6883.oracleGeneral.zst ARC cache size   157071, 1196741 req, miss ratio 0.1701, byte miss ratio 0.1701
result/tencentBlock.ns6883.oracleGeneral.zst LIRS cache size      196, 1196741 req, miss ratio 0.5732, byte miss ratio 0.5732
result/tencentBlock.ns6883.oracleGeneral.zst LIRS cache size      589, 1196741 req, miss ratio 0.5154, byte miss ratio 0.5154
result/tencentBlock.ns6883.oracleGeneral.zst LIRS cache size     1963, 1196741 req, miss ratio 0.4745, byte miss ratio 0.4745
result/tencentBlock.ns6883.oracleGeneral.zst LIRS cache size     5890, 1196741 req, miss ratio 0.4706, byte miss ratio 0.4706
result/tencentBlock.ns6883.oracleGeneral.zst LIRS cache size    19633, 1196741 req, miss ratio 0.4035, byte miss ratio 0.4035
result/tencentBlock.ns6883.oracleGeneral.zst LIRS cache size    39267, 1196741 req, miss ratio 0.3311, byte miss ratio 0.3311
result/tencentBlock.ns6883.oracleGeneral.zst LIRS cache size    78535, 1196741 req, miss ratio 0.2193, byte miss ratio 0.2193
result/tencentBlock.ns6883.oracleGeneral.zst LIRS cache size   157071, 1196741 req, miss ratio 0.1685, byte miss ratio 0.1685
result/tencentBlock.ns6883.oracleGeneral.zst LRU cache size      196, 1196741 req, miss ratio 0.4837, byte miss ratio 0.4837
result/tencentBlock.ns6883.oracleGeneral.zst LRU cache size      589, 1196741 req, miss ratio 0.4724, byte miss ratio 0.4724
result/tencentBlock.ns6883.oracleGeneral.zst LRU cache size     1963, 1196741 req, miss ratio 0.4710, byte miss ratio 0.4710
result/tencentBlock.ns6883.oracleGeneral.zst LRU cache size     5890, 1196741 req, miss ratio 0.4709, byte miss ratio 0.4709
result/tencentBlock.ns6883.oracleGeneral.zst LRU cache size    19633, 1196741 req, miss ratio 0.4116, byte miss ratio 0.4116
result/tencentBlock.ns6883.oracleGeneral.zst LRU cache size    39267, 1196741 req, miss ratio 0.3466, byte miss ratio 0.3466
result/tencentBlock.ns6883.oracleGeneral.zst LRU cache size    78535, 1196741 req, miss ratio 0.2650, byte miss ratio 0.2650
result/tencentBlock.ns6883.oracleGeneral.zst LRU cache size   157071, 1196741 req, miss ratio 0.1688, byte miss ratio 0.1688
result/tencentBlock.ns6883.oracleGeneral.zst Cacheus cache size      196, 1196741 req, miss ratio 0.4780, byte miss ratio 0.4780
result/tencentBlock.ns6883.oracleGeneral.zst Cacheus cache size      589, 1196741 req, miss ratio 0.4714, byte miss ratio 0.4714
result/tencentBlock.ns6883.oracleGeneral.zst Cacheus cache size     1963, 1196741 req, miss ratio 0.4709, byte miss ratio 0.4709
result/tencentBlock.ns6883.oracleGeneral.zst Cacheus cache size     5890, 1196741 req, miss ratio 0.4708, byte miss ratio 0.4708
result/tencentBlock.ns6883.oracleGeneral.zst Cacheus cache size    19633, 1196741 req, miss ratio 0.4225, byte miss ratio 0.4225
result/tencentBlock.ns6883.oracleGeneral.zst Cacheus cache size    39267, 1196741 req, miss ratio 0.3412, byte miss ratio 0.3412
result/tencentBlock.ns6883.oracleGeneral.zst Cacheus cache size    78535, 1196741 req, miss ratio 0.2310, byte miss ratio 0.2310
result/tencentBlock.ns6883.oracleGeneral.zst Cacheus cache size   157071, 1196741 req, miss ratio 0.1698, byte miss ratio 0.1698
result/tencentBlock.ns6883.oracleGeneral.zst S3FIFO-1 cache size      196, 1196741 req, miss ratio 0.4792, byte miss ratio 0.4792
result/tencentBlock.ns6883.oracleGeneral.zst S3FIFO-1 cache size      589, 1196741 req, miss ratio 0.4715, byte miss ratio 0.4715
result/tencentBlock.ns6883.oracleGeneral.zst S3FIFO-1 cache size     1963, 1196741 req, miss ratio 0.4712, byte miss ratio 0.4712
result/tencentBlock.ns6883.oracleGeneral.zst S3FIFO-1 cache size     5890, 1196741 req, miss ratio 0.4708, byte miss ratio 0.4708
result/tencentBlock.ns6883.oracleGeneral.zst S3FIFO-1 cache size    19633, 1196741 req, miss ratio 0.4084, byte miss ratio 0.4084
result/tencentBlock.ns6883.oracleGeneral.zst S3FIFO-1 cache size    39267, 1196741 req, miss ratio 0.3320, byte miss ratio 0.3320
result/tencentBlock.ns6883.oracleGeneral.zst S3FIFO-1 cache size    78535, 1196741 req, miss ratio 0.2243, byte miss ratio 0.2243
result/tencentBlock.ns6883.oracleGeneral.zst S3FIFO-1 cache size   157071, 1196741 req, miss ratio 0.1701, byte miss ratio 0.1701
result/tencentBlock.ns6883.oracleGeneral.zst FIFO cache size      196, 1196741 req, miss ratio 0.5176, byte miss ratio 0.5176
result/tencentBlock.ns6883.oracleGeneral.zst FIFO cache size      589, 1196741 req, miss ratio 0.4867, byte miss ratio 0.4867
result/tencentBlock.ns6883.oracleGeneral.zst FIFO cache size     1963, 1196741 req, miss ratio 0.4761, byte miss ratio 0.4761
result/tencentBlock.ns6883.oracleGeneral.zst FIFO cache size     5890, 1196741 req, miss ratio 0.4726, byte miss ratio 0.4726
result/tencentBlock.ns6883.oracleGeneral.zst FIFO cache size    19633, 1196741 req, miss ratio 0.4234, byte miss ratio 0.4234
result/tencentBlock.ns6883.oracleGeneral.zst FIFO cache size    39267, 1196741 req, miss ratio 0.3677, byte miss ratio 0.3677
result/tencentBlock.ns6883.oracleGeneral.zst FIFO cache size    78535, 1196741 req, miss ratio 0.2612, byte miss ratio 0.2612
result/tencentBlock.ns6883.oracleGeneral.zst FIFO cache size   157071, 1196741 req, miss ratio 0.1904, byte miss ratio 0.1904
result/tencentBlock.ns6883.oracleGeneral.zst LHD cache size      196, 1196741 req, miss ratio 0.4864, byte miss ratio 0.4864
result/tencentBlock.ns6883.oracleGeneral.zst LHD cache size      589, 1196741 req, miss ratio 0.4725, byte miss ratio 0.4725
result/tencentBlock.ns6883.oracleGeneral.zst LHD cache size     1963, 1196741 req, miss ratio 0.4710, byte miss ratio 0.4710
result/tencentBlock.ns6883.oracleGeneral.zst LHD cache size     5890, 1196741 req, miss ratio 0.4693, byte miss ratio 0.4693
result/tencentBlock.ns6883.oracleGeneral.zst LHD cache size    19633, 1196741 req, miss ratio 0.4185, byte miss ratio 0.4185
result/tencentBlock.ns6883.oracleGeneral.zst LHD cache size    39267, 1196741 req, miss ratio 0.3503, byte miss ratio 0.3503
result/tencentBlock.ns6883.oracleGeneral.zst LHD cache size    78535, 1196741 req, miss ratio 0.2438, byte miss ratio 0.2438
result/tencentBlock.ns6883.oracleGeneral.zst LHD cache size   157071, 1196741 req, miss ratio 0.1699, byte miss ratio 0.1699
result/tencentBlock.ns6883.oracleGeneral.zst LeCaR cache size      196, 1196741 req, miss ratio 0.4828, byte miss ratio 0.4828
result/tencentBlock.ns6883.oracleGeneral.zst LeCaR cache size      589, 1196741 req, miss ratio 0.4723, byte miss ratio 0.4723
result/tencentBlock.ns6883.oracleGeneral.zst LeCaR cache size     1963, 1196741 req, miss ratio 0.4710, byte miss ratio 0.4710
result/tencentBlock.ns6883.oracleGeneral.zst LeCaR cache size     5890, 1196741 req, miss ratio 0.4709, byte miss ratio 0.4709
result/tencentBlock.ns6883.oracleGeneral.zst LeCaR cache size    19633, 1196741 req, miss ratio 0.4094, byte miss ratio 0.4094
result/tencentBlock.ns6883.oracleGeneral.zst LeCaR cache size    39267, 1196741 req, miss ratio 0.3435, byte miss ratio 0.3435
result/tencentBlock.ns6883.oracleGeneral.zst LeCaR cache size    78535, 1196741 req, miss ratio 0.2310, byte miss ratio 0.2310
result/tencentBlock.ns6883.oracleGeneral.zst LeCaR cache size   157071, 1196741 req, miss ratio 0.1690, byte miss ratio 0.1690
result/tencentBlock.ns6883.oracleGeneral.zst clock2 cache size      196, 1196741 req, miss ratio 0.4842, byte miss ratio 0.4842
result/tencentBlock.ns6883.oracleGeneral.zst clock2 cache size      589, 1196741 req, miss ratio 0.4743, byte miss ratio 0.4743
result/tencentBlock.ns6883.oracleGeneral.zst clock2 cache size     1963, 1196741 req, miss ratio 0.4710, byte miss ratio 0.4710
result/tencentBlock.ns6883.oracleGeneral.zst clock2 cache size     5890, 1196741 req, miss ratio 0.4709, byte miss ratio 0.4709
result/tencentBlock.ns6883.oracleGeneral.zst clock2 cache size    19633, 1196741 req, miss ratio 0.4564, byte miss ratio 0.4564
result/tencentBlock.ns6883.oracleGeneral.zst clock2 cache size    39267, 1196741 req, miss ratio 0.3826, byte miss ratio 0.3826
result/tencentBlock.ns6883.oracleGeneral.zst clock2 cache size    78535, 1196741 req, miss ratio 0.2406, byte miss ratio 0.2406
result/tencentBlock.ns6883.oracleGeneral.zst clock2 cache size   157071, 1196741 req, miss ratio 0.1701, byte miss ratio 0.1701
result/tencentBlock.ns6883.oracleGeneral.zst S3FIFO-d-1 cache size      196, 1196741 req, miss ratio 0.4746, byte miss ratio 0.4746
result/tencentBlock.ns6883.oracleGeneral.zst S3FIFO-d-1 cache size      589, 1196741 req, miss ratio 0.4715, byte miss ratio 0.4715
result/tencentBlock.ns6883.oracleGeneral.zst S3FIFO-d-1 cache size     1963, 1196741 req, miss ratio 0.4712, byte miss ratio 0.4712
result/tencentBlock.ns6883.oracleGeneral.zst S3FIFO-d-1 cache size     5890, 1196741 req, miss ratio 0.4708, byte miss ratio 0.4708
result/tencentBlock.ns6883.oracleGeneral.zst S3FIFO-d-1 cache size    19633, 1196741 req, miss ratio 0.4075, byte miss ratio 0.4075
result/tencentBlock.ns6883.oracleGeneral.zst S3FIFO-d-1 cache size    39267, 1196741 req, miss ratio 0.3324, byte miss ratio 0.3324
result/tencentBlock.ns6883.oracleGeneral.zst S3FIFO-d-1 cache size    78535, 1196741 req, miss ratio 0.2239, byte miss ratio 0.2239
result/tencentBlock.ns6883.oracleGeneral.zst S3FIFO-d-1 cache size   157071, 1196741 req, miss ratio 0.1701, byte miss ratio 0.1701
result/tencentBlock.ns6883.oracleGeneral.zst LRB cache size      196, 1196741 req, miss ratio 0.6258, byte miss ratio 0.6258
result/tencentBlock.ns6883.oracleGeneral.zst LRB cache size      589, 1196741 req, miss ratio 0.5390, byte miss ratio 0.5390
result/tencentBlock.ns6883.oracleGeneral.zst LRB cache size     1963, 1196741 req, miss ratio 0.4835, byte miss ratio 0.4835
result/tencentBlock.ns6883.oracleGeneral.zst LRB cache size     5890, 1196741 req, miss ratio 0.4517, byte miss ratio 0.4517
result/tencentBlock.ns6883.oracleGeneral.zst LRB cache size    19633, 1196741 req, miss ratio 0.3690, byte miss ratio 0.3690
result/tencentBlock.ns6883.oracleGeneral.zst LRB cache size    39267, 1196741 req, miss ratio 0.2883, byte miss ratio 0.2883
result/tencentBlock.ns6883.oracleGeneral.zst LRB cache size    78535, 1196741 req, miss ratio 0.2325, byte miss ratio 0.2325
result/tencentBlock.ns6883.oracleGeneral.zst LRB cache size   157071, 1196741 req, miss ratio 0.1688, byte miss ratio 0.1688
result/tencentBlock.ns6883.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      196, 1196741 req, miss ratio 0.4893, byte miss ratio 0.4893
result/tencentBlock.ns6883.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      589, 1196741 req, miss ratio 0.4765, byte miss ratio 0.4765
result/tencentBlock.ns6883.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1963, 1196741 req, miss ratio 0.4712, byte miss ratio 0.4712
result/tencentBlock.ns6883.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5890, 1196741 req, miss ratio 0.4703, byte miss ratio 0.4703
result/tencentBlock.ns6883.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    19633, 1196741 req, miss ratio 0.4522, byte miss ratio 0.4522
result/tencentBlock.ns6883.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    39267, 1196741 req, miss ratio 0.3798, byte miss ratio 0.3798
result/tencentBlock.ns6883.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    78535, 1196741 req, miss ratio 0.2705, byte miss ratio 0.2705
result/tencentBlock.ns6883.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   157071, 1196741 req, miss ratio 0.1829, byte miss ratio 0.1829
result/tencentBlock.ns6883.oracleGeneral.zst TwoQ cache size      196, 1196741 req, miss ratio 0.4826, byte miss ratio 0.4826
result/tencentBlock.ns6883.oracleGeneral.zst TwoQ cache size      589, 1196741 req, miss ratio 0.4743, byte miss ratio 0.4743
result/tencentBlock.ns6883.oracleGeneral.zst TwoQ cache size     1963, 1196741 req, miss ratio 0.4709, byte miss ratio 0.4709
result/tencentBlock.ns6883.oracleGeneral.zst TwoQ cache size     5890, 1196741 req, miss ratio 0.4707, byte miss ratio 0.4707
result/tencentBlock.ns6883.oracleGeneral.zst TwoQ cache size    19633, 1196741 req, miss ratio 0.3765, byte miss ratio 0.3765
