result/tencentBlock.ns3053.oracleGeneral.zst Cacheus cache size      309, 4939824 req, miss ratio 0.4566, byte miss ratio 0.4566
result/tencentBlock.ns3053.oracleGeneral.zst Cacheus cache size      928, 4939824 req, miss ratio 0.2874, byte miss ratio 0.2874
result/tencentBlock.ns3053.oracleGeneral.zst Cacheus cache size     3093, 4939824 req, miss ratio 0.2452, byte miss ratio 0.2452
result/tencentBlock.ns3053.oracleGeneral.zst Cacheus cache size     9281, 4939824 req, miss ratio 0.2406, byte miss ratio 0.2406
result/tencentBlock.ns3053.oracleGeneral.zst Cacheus cache size    30937, 4939824 req, miss ratio 0.1834, byte miss ratio 0.1834
result/tencentBlock.ns3053.oracleGeneral.zst Cacheus cache size    61874, 4939824 req, miss ratio 0.1028, byte miss ratio 0.1028
result/tencentBlock.ns3053.oracleGeneral.zst Cacheus cache size   123749, 4939824 req, miss ratio 0.0664, byte miss ratio 0.0664
result/tencentBlock.ns3053.oracleGeneral.zst Cacheus cache size   247498, 4939824 req, miss ratio 0.0627, byte miss ratio 0.0627
result/tencentBlock.ns3053.oracleGeneral.zst LIRS cache size      309, 4939824 req, miss ratio 0.4634, byte miss ratio 0.4634
result/tencentBlock.ns3053.oracleGeneral.zst LIRS cache size      928, 4939824 req, miss ratio 0.2699, byte miss ratio 0.2699
result/tencentBlock.ns3053.oracleGeneral.zst LIRS cache size     3093, 4939824 req, miss ratio 0.2456, byte miss ratio 0.2456
result/tencentBlock.ns3053.oracleGeneral.zst LIRS cache size     9281, 4939824 req, miss ratio 0.2407, byte miss ratio 0.2407
result/tencentBlock.ns3053.oracleGeneral.zst LIRS cache size    30937, 4939824 req, miss ratio 0.1622, byte miss ratio 0.1622
result/tencentBlock.ns3053.oracleGeneral.zst LIRS cache size    61874, 4939824 req, miss ratio 0.0971, byte miss ratio 0.0971
result/tencentBlock.ns3053.oracleGeneral.zst LIRS cache size   123749, 4939824 req, miss ratio 0.0659, byte miss ratio 0.0659
result/tencentBlock.ns3053.oracleGeneral.zst LIRS cache size   247498, 4939824 req, miss ratio 0.0628, byte miss ratio 0.0628
result/tencentBlock.ns3053.oracleGeneral.zst FIFO cache size      309, 4939824 req, miss ratio 0.5713, byte miss ratio 0.5713
result/tencentBlock.ns3053.oracleGeneral.zst FIFO cache size      928, 4939824 req, miss ratio 0.4075, byte miss ratio 0.4075
result/tencentBlock.ns3053.oracleGeneral.zst FIFO cache size     3093, 4939824 req, miss ratio 0.2948, byte miss ratio 0.2948
result/tencentBlock.ns3053.oracleGeneral.zst FIFO cache size     9281, 4939824 req, miss ratio 0.2611, byte miss ratio 0.2611
result/tencentBlock.ns3053.oracleGeneral.zst FIFO cache size    30937, 4939824 req, miss ratio 0.2023, byte miss ratio 0.2023
result/tencentBlock.ns3053.oracleGeneral.zst FIFO cache size    61874, 4939824 req, miss ratio 0.1382, byte miss ratio 0.1382
result/tencentBlock.ns3053.oracleGeneral.zst FIFO cache size   123749, 4939824 req, miss ratio 0.0914, byte miss ratio 0.0914
result/tencentBlock.ns3053.oracleGeneral.zst FIFO cache size   247498, 4939824 req, miss ratio 0.0722, byte miss ratio 0.0722
result/tencentBlock.ns3053.oracleGeneral.zst S3FIFO-1 cache size      309, 4939824 req, miss ratio 0.4594, byte miss ratio 0.4594
result/tencentBlock.ns3053.oracleGeneral.zst S3FIFO-1 cache size      928, 4939824 req, miss ratio 0.2779, byte miss ratio 0.2779
result/tencentBlock.ns3053.oracleGeneral.zst S3FIFO-1 cache size     3093, 4939824 req, miss ratio 0.2425, byte miss ratio 0.2425
result/tencentBlock.ns3053.oracleGeneral.zst S3FIFO-1 cache size     9281, 4939824 req, miss ratio 0.2398, byte miss ratio 0.2398
result/tencentBlock.ns3053.oracleGeneral.zst S3FIFO-1 cache size    30937, 4939824 req, miss ratio 0.1659, byte miss ratio 0.1659
result/tencentBlock.ns3053.oracleGeneral.zst S3FIFO-1 cache size    61874, 4939824 req, miss ratio 0.0946, byte miss ratio 0.0946
result/tencentBlock.ns3053.oracleGeneral.zst S3FIFO-1 cache size   123749, 4939824 req, miss ratio 0.0663, byte miss ratio 0.0663
result/tencentBlock.ns3053.oracleGeneral.zst S3FIFO-1 cache size   247498, 4939824 req, miss ratio 0.0627, byte miss ratio 0.0627
result/tencentBlock.ns3053.oracleGeneral.zst LeCaR cache size      309, 4939824 req, miss ratio 0.4978, byte miss ratio 0.4978
result/tencentBlock.ns3053.oracleGeneral.zst LeCaR cache size      928, 4939824 req, miss ratio 0.2919, byte miss ratio 0.2919
result/tencentBlock.ns3053.oracleGeneral.zst LeCaR cache size     3093, 4939824 req, miss ratio 0.2473, byte miss ratio 0.2473
