result/tencentBlock.ns16517.oracleGeneral.zst Clock cache size      529, 14013156 req, miss ratio 0.7358, byte miss ratio 0.7358
result/tencentBlock.ns16517.oracleGeneral.zst Clock cache size     1588, 14013156 req, miss ratio 0.5056, byte miss ratio 0.5056
result/tencentBlock.ns16517.oracleGeneral.zst Clock cache size     5296, 14013156 req, miss ratio 0.2947, byte miss ratio 0.2947
result/tencentBlock.ns16517.oracleGeneral.zst Clock cache size    15888, 14013156 req, miss ratio 0.1795, byte miss ratio 0.1795
result/tencentBlock.ns16517.oracleGeneral.zst Clock cache size    52961, 14013156 req, miss ratio 0.1563, byte miss ratio 0.1563
result/tencentBlock.ns16517.oracleGeneral.zst Clock cache size   105923, 14013156 req, miss ratio 0.1391, byte miss ratio 0.1391
result/tencentBlock.ns16517.oracleGeneral.zst Clock cache size   211847, 14013156 req, miss ratio 0.1082, byte miss ratio 0.1082
result/tencentBlock.ns16517.oracleGeneral.zst Clock cache size   423694, 14013156 req, miss ratio 0.0383, byte miss ratio 0.0383
result/tencentBlock.ns16517.oracleGeneral.zst Cacheus cache size      529, 14013156 req, miss ratio 0.7143, byte miss ratio 0.7143
result/tencentBlock.ns16517.oracleGeneral.zst Cacheus cache size     1588, 14013156 req, miss ratio 0.5114, byte miss ratio 0.5114
result/tencentBlock.ns16517.oracleGeneral.zst Cacheus cache size     5296, 14013156 req, miss ratio 0.2935, byte miss ratio 0.2935
result/tencentBlock.ns16517.oracleGeneral.zst Cacheus cache size    15888, 14013156 req, miss ratio 0.1755, byte miss ratio 0.1755
result/tencentBlock.ns16517.oracleGeneral.zst Cacheus cache size    52961, 14013156 req, miss ratio 0.1500, byte miss ratio 0.1500
result/tencentBlock.ns16517.oracleGeneral.zst Cacheus cache size   105923, 14013156 req, miss ratio 0.1335, byte miss ratio 0.1335
result/tencentBlock.ns16517.oracleGeneral.zst Cacheus cache size   211847, 14013156 req, miss ratio 0.0747, byte miss ratio 0.0747
result/tencentBlock.ns16517.oracleGeneral.zst Cacheus cache size   423694, 14013156 req, miss ratio 0.0380, byte miss ratio 0.0380
result/tencentBlock.ns16517.oracleGeneral.zst clock2 cache size      529, 14013156 req, miss ratio 0.7078, byte miss ratio 0.7078
result/tencentBlock.ns16517.oracleGeneral.zst clock2 cache size     1588, 14013156 req, miss ratio 0.4995, byte miss ratio 0.4995
result/tencentBlock.ns16517.oracleGeneral.zst clock2 cache size     5296, 14013156 req, miss ratio 0.2911, byte miss ratio 0.2911
result/tencentBlock.ns16517.oracleGeneral.zst clock2 cache size    15888, 14013156 req, miss ratio 0.1791, byte miss ratio 0.1791
result/tencentBlock.ns16517.oracleGeneral.zst clock2 cache size    52961, 14013156 req, miss ratio 0.1559, byte miss ratio 0.1559
result/tencentBlock.ns16517.oracleGeneral.zst clock2 cache size   105923, 14013156 req, miss ratio 0.1383, byte miss ratio 0.1383
result/tencentBlock.ns16517.oracleGeneral.zst clock2 cache size   211847, 14013156 req, miss ratio 0.1113, byte miss ratio 0.1113
result/tencentBlock.ns16517.oracleGeneral.zst clock2 cache size   423694, 14013156 req, miss ratio 0.0381, byte miss ratio 0.0381
result/tencentBlock.ns16517.oracleGeneral.zst LeCaR cache size      529, 14013156 req, miss ratio 0.6329, byte miss ratio 0.6329
result/tencentBlock.ns16517.oracleGeneral.zst LeCaR cache size     1588, 14013156 req, miss ratio 0.5013, byte miss ratio 0.5013
result/tencentBlock.ns16517.oracleGeneral.zst LeCaR cache size     5296, 14013156 req, miss ratio 0.2919, byte miss ratio 0.2919
result/tencentBlock.ns16517.oracleGeneral.zst LeCaR cache size    15888, 14013156 req, miss ratio 0.1780, byte miss ratio 0.1780
result/tencentBlock.ns16517.oracleGeneral.zst LeCaR cache size    52961, 14013156 req, miss ratio 0.1555, byte miss ratio 0.1555
result/tencentBlock.ns16517.oracleGeneral.zst LeCaR cache size   105923, 14013156 req, miss ratio 0.1388, byte miss ratio 0.1388
result/tencentBlock.ns16517.oracleGeneral.zst LeCaR cache size   211847, 14013156 req, miss ratio 0.0761, byte miss ratio 0.0761
result/tencentBlock.ns16517.oracleGeneral.zst LeCaR cache size   423694, 14013156 req, miss ratio 0.0380, byte miss ratio 0.0380
result/tencentBlock.ns16517.oracleGeneral.zst LRU cache size      529, 14013156 req, miss ratio 0.7506, byte miss ratio 0.7506
result/tencentBlock.ns16517.oracleGeneral.zst LRU cache size     1588, 14013156 req, miss ratio 0.5090, byte miss ratio 0.5090
result/tencentBlock.ns16517.oracleGeneral.zst LRU cache size     5296, 14013156 req, miss ratio 0.2976, byte miss ratio 0.2976
result/tencentBlock.ns16517.oracleGeneral.zst LRU cache size    15888, 14013156 req, miss ratio 0.1797, byte miss ratio 0.1797
result/tencentBlock.ns16517.oracleGeneral.zst LRU cache size    52961, 14013156 req, miss ratio 0.1563, byte miss ratio 0.1563
result/tencentBlock.ns16517.oracleGeneral.zst LRU cache size   105923, 14013156 req, miss ratio 0.1398, byte miss ratio 0.1398
result/tencentBlock.ns16517.oracleGeneral.zst LRU cache size   211847, 14013156 req, miss ratio 0.0797, byte miss ratio 0.0797
result/tencentBlock.ns16517.oracleGeneral.zst LRU cache size   423694, 14013156 req, miss ratio 0.0380, byte miss ratio 0.0380
result/tencentBlock.ns16517.oracleGeneral.zst S3FIFO-1 cache size      529, 14013156 req, miss ratio 0.6206, byte miss ratio 0.6206
result/tencentBlock.ns16517.oracleGeneral.zst S3FIFO-1 cache size     1588, 14013156 req, miss ratio 0.4566, byte miss ratio 0.4566
result/tencentBlock.ns16517.oracleGeneral.zst S3FIFO-1 cache size     5296, 14013156 req, miss ratio 0.2883, byte miss ratio 0.2883
result/tencentBlock.ns16517.oracleGeneral.zst S3FIFO-1 cache size    15888, 14013156 req, miss ratio 0.1724, byte miss ratio 0.1724
result/tencentBlock.ns16517.oracleGeneral.zst S3FIFO-1 cache size    52961, 14013156 req, miss ratio 0.1420, byte miss ratio 0.1420
result/tencentBlock.ns16517.oracleGeneral.zst S3FIFO-1 cache size   105923, 14013156 req, miss ratio 0.1200, byte miss ratio 0.1200
result/tencentBlock.ns16517.oracleGeneral.zst S3FIFO-1 cache size   211847, 14013156 req, miss ratio 0.0751, byte miss ratio 0.0751
result/tencentBlock.ns16517.oracleGeneral.zst S3FIFO-1 cache size   423694, 14013156 req, miss ratio 0.0382, byte miss ratio 0.0382
result/tencentBlock.ns16517.oracleGeneral.zst LHD cache size      529, 14013156 req, miss ratio 0.6798, byte miss ratio 0.6798
result/tencentBlock.ns16517.oracleGeneral.zst LHD cache size     1588, 14013156 req, miss ratio 0.4953, byte miss ratio 0.4953
result/tencentBlock.ns16517.oracleGeneral.zst LHD cache size     5296, 14013156 req, miss ratio 0.2940, byte miss ratio 0.2940
result/tencentBlock.ns16517.oracleGeneral.zst LHD cache size    15888, 14013156 req, miss ratio 0.1773, byte miss ratio 0.1773
result/tencentBlock.ns16517.oracleGeneral.zst LHD cache size    52961, 14013156 req, miss ratio 0.1492, byte miss ratio 0.1492
result/tencentBlock.ns16517.oracleGeneral.zst LHD cache size   105923, 14013156 req, miss ratio 0.1249, byte miss ratio 0.1249
