result/tencentBlock.ns2034.oracleGeneral.zst clock2 cache size      637, 1478854 req, miss ratio 0.5318, byte miss ratio 0.5318
result/tencentBlock.ns2034.oracleGeneral.zst clock2 cache size     2125, 1478854 req, miss ratio 0.5158, byte miss ratio 0.5158
result/tencentBlock.ns2034.oracleGeneral.zst clock2 cache size     6375, 1478854 req, miss ratio 0.4807, byte miss ratio 0.4807
result/tencentBlock.ns2034.oracleGeneral.zst clock2 cache size    21253, 1478854 req, miss ratio 0.4655, byte miss ratio 0.4655
result/tencentBlock.ns2034.oracleGeneral.zst clock2 cache size    42506, 1478854 req, miss ratio 0.4003, byte miss ratio 0.4003
result/tencentBlock.ns2034.oracleGeneral.zst clock2 cache size    85012, 1478854 req, miss ratio 0.2630, byte miss ratio 0.2630
result/tencentBlock.ns2034.oracleGeneral.zst clock2 cache size   170024, 1478854 req, miss ratio 0.1451, byte miss ratio 0.1451
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-1 cache size      212, 1478854 req, miss ratio 0.5384, byte miss ratio 0.5384
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-1 cache size      637, 1478854 req, miss ratio 0.5173, byte miss ratio 0.5173
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-1 cache size     2125, 1478854 req, miss ratio 0.4895, byte miss ratio 0.4895
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-1 cache size     6375, 1478854 req, miss ratio 0.4684, byte miss ratio 0.4684
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-1 cache size    21253, 1478854 req, miss ratio 0.4118, byte miss ratio 0.4118
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-1 cache size    42506, 1478854 req, miss ratio 0.3729, byte miss ratio 0.3729
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-1 cache size    85012, 1478854 req, miss ratio 0.2148, byte miss ratio 0.2148
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-1 cache size   170024, 1478854 req, miss ratio 0.1453, byte miss ratio 0.1453
result/tencentBlock.ns2034.oracleGeneral.zst LIRS cache size      212, 1478854 req, miss ratio 0.5857, byte miss ratio 0.5857
result/tencentBlock.ns2034.oracleGeneral.zst LIRS cache size      637, 1478854 req, miss ratio 0.5372, byte miss ratio 0.5372
result/tencentBlock.ns2034.oracleGeneral.zst LIRS cache size     2125, 1478854 req, miss ratio 0.5090, byte miss ratio 0.5090
result/tencentBlock.ns2034.oracleGeneral.zst LIRS cache size     6375, 1478854 req, miss ratio 0.4671, byte miss ratio 0.4671
result/tencentBlock.ns2034.oracleGeneral.zst LIRS cache size    21253, 1478854 req, miss ratio 0.4055, byte miss ratio 0.4055
result/tencentBlock.ns2034.oracleGeneral.zst LIRS cache size    42506, 1478854 req, miss ratio 0.3218, byte miss ratio 0.3218
result/tencentBlock.ns2034.oracleGeneral.zst LIRS cache size    85012, 1478854 req, miss ratio 0.2067, byte miss ratio 0.2067
result/tencentBlock.ns2034.oracleGeneral.zst LIRS cache size   170024, 1478854 req, miss ratio 0.1450, byte miss ratio 0.1450
result/tencentBlock.ns2034.oracleGeneral.zst Cacheus cache size      212, 1478854 req, miss ratio 0.5351, byte miss ratio 0.5351
result/tencentBlock.ns2034.oracleGeneral.zst Cacheus cache size      637, 1478854 req, miss ratio 0.5263, byte miss ratio 0.5263
result/tencentBlock.ns2034.oracleGeneral.zst Cacheus cache size     2125, 1478854 req, miss ratio 0.4927, byte miss ratio 0.4927
result/tencentBlock.ns2034.oracleGeneral.zst Cacheus cache size     6375, 1478854 req, miss ratio 0.4748, byte miss ratio 0.4748
result/tencentBlock.ns2034.oracleGeneral.zst Cacheus cache size    21253, 1478854 req, miss ratio 0.4272, byte miss ratio 0.4272
result/tencentBlock.ns2034.oracleGeneral.zst Cacheus cache size    42506, 1478854 req, miss ratio 0.3899, byte miss ratio 0.3899
result/tencentBlock.ns2034.oracleGeneral.zst Cacheus cache size    85012, 1478854 req, miss ratio 0.2190, byte miss ratio 0.2190
result/tencentBlock.ns2034.oracleGeneral.zst Cacheus cache size   170024, 1478854 req, miss ratio 0.1457, byte miss ratio 0.1457
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-d-1 cache size      212, 1478854 req, miss ratio 0.5343, byte miss ratio 0.5343
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-d-1 cache size      637, 1478854 req, miss ratio 0.5172, byte miss ratio 0.5172
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-d-1 cache size     2125, 1478854 req, miss ratio 0.4893, byte miss ratio 0.4893
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-d-1 cache size     6375, 1478854 req, miss ratio 0.4684, byte miss ratio 0.4684
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-d-1 cache size    21253, 1478854 req, miss ratio 0.4116, byte miss ratio 0.4116
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-d-1 cache size    42506, 1478854 req, miss ratio 0.3667, byte miss ratio 0.3667
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-d-1 cache size    85012, 1478854 req, miss ratio 0.2191, byte miss ratio 0.2191
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-d-1 cache size   170024, 1478854 req, miss ratio 0.1453, byte miss ratio 0.1453
result/tencentBlock.ns2034.oracleGeneral.zst LRB cache size      212, 1478854 req, miss ratio 0.5748, byte miss ratio 0.5748
result/tencentBlock.ns2034.oracleGeneral.zst LRB cache size      637, 1478854 req, miss ratio 0.5217, byte miss ratio 0.5217
