result/tencentBlock.ns4622.oracleGeneral.zst clock2 cache size      100, 1606117 req, miss ratio 0.3713, byte miss ratio 0.3713
result/tencentBlock.ns4622.oracleGeneral.zst clock2 cache size      300, 1606117 req, miss ratio 0.3167, byte miss ratio 0.3167
result/tencentBlock.ns4622.oracleGeneral.zst clock2 cache size     1000, 1606117 req, miss ratio 0.2820, byte miss ratio 0.2820
result/tencentBlock.ns4622.oracleGeneral.zst clock2 cache size     3002, 1606117 req, miss ratio 0.2701, byte miss ratio 0.2701
result/tencentBlock.ns4622.oracleGeneral.zst clock2 cache size    10007, 1606117 req, miss ratio 0.2497, byte miss ratio 0.2497
result/tencentBlock.ns4622.oracleGeneral.zst clock2 cache size    20014, 1606117 req, miss ratio 0.2339, byte miss ratio 0.2339
result/tencentBlock.ns4622.oracleGeneral.zst clock2 cache size    40029, 1606117 req, miss ratio 0.1128, byte miss ratio 0.1128
result/tencentBlock.ns4622.oracleGeneral.zst clock2 cache size    80059, 1606117 req, miss ratio 0.0653, byte miss ratio 0.0653
result/tencentBlock.ns4622.oracleGeneral.zst Cacheus cache size      100, 1606117 req, miss ratio 0.3318, byte miss ratio 0.3318
result/tencentBlock.ns4622.oracleGeneral.zst Cacheus cache size      300, 1606117 req, miss ratio 0.2934, byte miss ratio 0.2934
result/tencentBlock.ns4622.oracleGeneral.zst Cacheus cache size     1000, 1606117 req, miss ratio 0.2716, byte miss ratio 0.2716
result/tencentBlock.ns4622.oracleGeneral.zst Cacheus cache size     3002, 1606117 req, miss ratio 0.2610, byte miss ratio 0.2610
result/tencentBlock.ns4622.oracleGeneral.zst Cacheus cache size    10007, 1606117 req, miss ratio 0.2415, byte miss ratio 0.2415
result/tencentBlock.ns4622.oracleGeneral.zst Cacheus cache size    20014, 1606117 req, miss ratio 0.1989, byte miss ratio 0.1989
result/tencentBlock.ns4622.oracleGeneral.zst Cacheus cache size    40029, 1606117 req, miss ratio 0.1084, byte miss ratio 0.1084
result/tencentBlock.ns4622.oracleGeneral.zst Cacheus cache size    80059, 1606117 req, miss ratio 0.0658, byte miss ratio 0.0658
result/tencentBlock.ns4622.oracleGeneral.zst LeCaR cache size      100, 1606117 req, miss ratio 0.3637, byte miss ratio 0.3637
result/tencentBlock.ns4622.oracleGeneral.zst LeCaR cache size      300, 1606117 req, miss ratio 0.3123, byte miss ratio 0.3123
