result/tencentBlock.ns20080.oracleGeneral.zst Cacheus cache size      155, 1503831 req, miss ratio 0.5377, byte miss ratio 0.5377
result/tencentBlock.ns20080.oracleGeneral.zst Cacheus cache size      465, 1503831 req, miss ratio 0.4392, byte miss ratio 0.4392
result/tencentBlock.ns20080.oracleGeneral.zst Cacheus cache size     1552, 1503831 req, miss ratio 0.2981, byte miss ratio 0.2981
result/tencentBlock.ns20080.oracleGeneral.zst Cacheus cache size     4656, 1503831 req, miss ratio 0.2350, byte miss ratio 0.2350
result/tencentBlock.ns20080.oracleGeneral.zst Cacheus cache size    15522, 1503831 req, miss ratio 0.1952, byte miss ratio 0.1952
result/tencentBlock.ns20080.oracleGeneral.zst Cacheus cache size    31045, 1503831 req, miss ratio 0.1551, byte miss ratio 0.1551
result/tencentBlock.ns20080.oracleGeneral.zst Cacheus cache size    62090, 1503831 req, miss ratio 0.1254, byte miss ratio 0.1254
result/tencentBlock.ns20080.oracleGeneral.zst Cacheus cache size   124180, 1503831 req, miss ratio 0.1042, byte miss ratio 0.1042
result/tencentBlock.ns20080.oracleGeneral.zst LRU cache size      155, 1503831 req, miss ratio 0.6240, byte miss ratio 0.6240
result/tencentBlock.ns20080.oracleGeneral.zst LRU cache size      465, 1503831 req, miss ratio 0.4498, byte miss ratio 0.4498
result/tencentBlock.ns20080.oracleGeneral.zst LRU cache size     1552, 1503831 req, miss ratio 0.3312, byte miss ratio 0.3312
result/tencentBlock.ns20080.oracleGeneral.zst LRU cache size     4656, 1503831 req, miss ratio 0.2410, byte miss ratio 0.2410
result/tencentBlock.ns20080.oracleGeneral.zst LRU cache size    15522, 1503831 req, miss ratio 0.2010, byte miss ratio 0.2010
result/tencentBlock.ns20080.oracleGeneral.zst LRU cache size    31045, 1503831 req, miss ratio 0.1527, byte miss ratio 0.1527
result/tencentBlock.ns20080.oracleGeneral.zst LRU cache size    62090, 1503831 req, miss ratio 0.1187, byte miss ratio 0.1187
result/tencentBlock.ns20080.oracleGeneral.zst LRU cache size   124180, 1503831 req, miss ratio 0.1037, byte miss ratio 0.1037
result/tencentBlock.ns20080.oracleGeneral.zst LeCaR cache size      155, 1503831 req, miss ratio 0.5880, byte miss ratio 0.5880
result/tencentBlock.ns20080.oracleGeneral.zst LeCaR cache size      465, 1503831 req, miss ratio 0.4492, byte miss ratio 0.4492
result/tencentBlock.ns20080.oracleGeneral.zst LeCaR cache size     1552, 1503831 req, miss ratio 0.3097, byte miss ratio 0.3097
result/tencentBlock.ns20080.oracleGeneral.zst LeCaR cache size     4656, 1503831 req, miss ratio 0.2368, byte miss ratio 0.2368
result/tencentBlock.ns20080.oracleGeneral.zst LeCaR cache size    15522, 1503831 req, miss ratio 0.2002, byte miss ratio 0.2002
result/tencentBlock.ns20080.oracleGeneral.zst LeCaR cache size    31045, 1503831 req, miss ratio 0.1520, byte miss ratio 0.1520
result/tencentBlock.ns20080.oracleGeneral.zst LeCaR cache size    62090, 1503831 req, miss ratio 0.1177, byte miss ratio 0.1177
result/tencentBlock.ns20080.oracleGeneral.zst LeCaR cache size   124180, 1503831 req, miss ratio 0.1036, byte miss ratio 0.1036
result/tencentBlock.ns20080.oracleGeneral.zst clock2 cache size      155, 1503831 req, miss ratio 0.5899, byte miss ratio 0.5899
result/tencentBlock.ns20080.oracleGeneral.zst clock2 cache size      465, 1503831 req, miss ratio 0.4500, byte miss ratio 0.4500
result/tencentBlock.ns20080.oracleGeneral.zst clock2 cache size     1552, 1503831 req, miss ratio 0.3136, byte miss ratio 0.3136
result/tencentBlock.ns20080.oracleGeneral.zst clock2 cache size     4656, 1503831 req, miss ratio 0.2354, byte miss ratio 0.2354
result/tencentBlock.ns20080.oracleGeneral.zst clock2 cache size    15522, 1503831 req, miss ratio 0.2065, byte miss ratio 0.2065
result/tencentBlock.ns20080.oracleGeneral.zst clock2 cache size    31045, 1503831 req, miss ratio 0.1614, byte miss ratio 0.1614
result/tencentBlock.ns20080.oracleGeneral.zst clock2 cache size    62090, 1503831 req, miss ratio 0.1234, byte miss ratio 0.1234
result/tencentBlock.ns20080.oracleGeneral.zst clock2 cache size   124180, 1503831 req, miss ratio 0.1037, byte miss ratio 0.1037
result/tencentBlock.ns20080.oracleGeneral.zst LHD cache size      155, 1503831 req, miss ratio 0.5376, byte miss ratio 0.5376
result/tencentBlock.ns20080.oracleGeneral.zst LHD cache size      465, 1503831 req, miss ratio 0.4514, byte miss ratio 0.4514
result/tencentBlock.ns20080.oracleGeneral.zst LHD cache size     1552, 1503831 req, miss ratio 0.3111, byte miss ratio 0.3111
result/tencentBlock.ns20080.oracleGeneral.zst LHD cache size     4656, 1503831 req, miss ratio 0.2375, byte miss ratio 0.2375
result/tencentBlock.ns20080.oracleGeneral.zst LHD cache size    15522, 1503831 req, miss ratio 0.2001, byte miss ratio 0.2001
result/tencentBlock.ns20080.oracleGeneral.zst LHD cache size    31045, 1503831 req, miss ratio 0.1573, byte miss ratio 0.1573
result/tencentBlock.ns20080.oracleGeneral.zst LHD cache size    62090, 1503831 req, miss ratio 0.1183, byte miss ratio 0.1183
result/tencentBlock.ns20080.oracleGeneral.zst LHD cache size   124180, 1503831 req, miss ratio 0.1046, byte miss ratio 0.1046
result/tencentBlock.ns20080.oracleGeneral.zst ARC cache size      155, 1503831 req, miss ratio 0.5184, byte miss ratio 0.5184
result/tencentBlock.ns20080.oracleGeneral.zst ARC cache size      465, 1503831 req, miss ratio 0.4444, byte miss ratio 0.4444
result/tencentBlock.ns20080.oracleGeneral.zst ARC cache size     1552, 1503831 req, miss ratio 0.2741, byte miss ratio 0.2741
result/tencentBlock.ns20080.oracleGeneral.zst ARC cache size     4656, 1503831 req, miss ratio 0.2335, byte miss ratio 0.2335
result/tencentBlock.ns20080.oracleGeneral.zst ARC cache size    15522, 1503831 req, miss ratio 0.1943, byte miss ratio 0.1943
result/tencentBlock.ns20080.oracleGeneral.zst ARC cache size    31045, 1503831 req, miss ratio 0.1564, byte miss ratio 0.1564
result/tencentBlock.ns20080.oracleGeneral.zst ARC cache size    62090, 1503831 req, miss ratio 0.1180, byte miss ratio 0.1180
result/tencentBlock.ns20080.oracleGeneral.zst ARC cache size   124180, 1503831 req, miss ratio 0.1037, byte miss ratio 0.1037
result/tencentBlock.ns20080.oracleGeneral.zst FIFO cache size      155, 1503831 req, miss ratio 0.7166, byte miss ratio 0.7166
result/tencentBlock.ns20080.oracleGeneral.zst FIFO cache size      465, 1503831 req, miss ratio 0.5177, byte miss ratio 0.5177
result/tencentBlock.ns20080.oracleGeneral.zst FIFO cache size     1552, 1503831 req, miss ratio 0.3711, byte miss ratio 0.3711
result/tencentBlock.ns20080.oracleGeneral.zst FIFO cache size     4656, 1503831 req, miss ratio 0.2809, byte miss ratio 0.2809
result/tencentBlock.ns20080.oracleGeneral.zst FIFO cache size    15522, 1503831 req, miss ratio 0.2124, byte miss ratio 0.2124
result/tencentBlock.ns20080.oracleGeneral.zst FIFO cache size    31045, 1503831 req, miss ratio 0.1673, byte miss ratio 0.1673
result/tencentBlock.ns20080.oracleGeneral.zst FIFO cache size    62090, 1503831 req, miss ratio 0.1282, byte miss ratio 0.1282
result/tencentBlock.ns20080.oracleGeneral.zst FIFO cache size   124180, 1503831 req, miss ratio 0.1076, byte miss ratio 0.1076
result/tencentBlock.ns20080.oracleGeneral.zst S3FIFO-1 cache size      155, 1503831 req, miss ratio 0.5215, byte miss ratio 0.5215
result/tencentBlock.ns20080.oracleGeneral.zst S3FIFO-1 cache size      465, 1503831 req, miss ratio 0.4492, byte miss ratio 0.4492
result/tencentBlock.ns20080.oracleGeneral.zst S3FIFO-1 cache size     1552, 1503831 req, miss ratio 0.2531, byte miss ratio 0.2531
result/tencentBlock.ns20080.oracleGeneral.zst S3FIFO-1 cache size     4656, 1503831 req, miss ratio 0.2338, byte miss ratio 0.2338
result/tencentBlock.ns20080.oracleGeneral.zst S3FIFO-1 cache size    15522, 1503831 req, miss ratio 0.1931, byte miss ratio 0.1931
result/tencentBlock.ns20080.oracleGeneral.zst S3FIFO-1 cache size    31045, 1503831 req, miss ratio 0.1621, byte miss ratio 0.1621
result/tencentBlock.ns20080.oracleGeneral.zst S3FIFO-1 cache size    62090, 1503831 req, miss ratio 0.1218, byte miss ratio 0.1218
result/tencentBlock.ns20080.oracleGeneral.zst S3FIFO-1 cache size   124180, 1503831 req, miss ratio 0.1037, byte miss ratio 0.1037
result/tencentBlock.ns20080.oracleGeneral.zst Clock cache size      155, 1503831 req, miss ratio 0.5990, byte miss ratio 0.5990
result/tencentBlock.ns20080.oracleGeneral.zst Clock cache size      465, 1503831 req, miss ratio 0.4498, byte miss ratio 0.4498
result/tencentBlock.ns20080.oracleGeneral.zst Clock cache size     1552, 1503831 req, miss ratio 0.3238, byte miss ratio 0.3238
result/tencentBlock.ns20080.oracleGeneral.zst Clock cache size     4656, 1503831 req, miss ratio 0.2385, byte miss ratio 0.2385
result/tencentBlock.ns20080.oracleGeneral.zst Clock cache size    15522, 1503831 req, miss ratio 0.2047, byte miss ratio 0.2047
result/tencentBlock.ns20080.oracleGeneral.zst Clock cache size    31045, 1503831 req, miss ratio 0.1588, byte miss ratio 0.1588
result/tencentBlock.ns20080.oracleGeneral.zst Clock cache size    62090, 1503831 req, miss ratio 0.1213, byte miss ratio 0.1213
result/tencentBlock.ns20080.oracleGeneral.zst Clock cache size   124180, 1503831 req, miss ratio 0.1037, byte miss ratio 0.1037
result/tencentBlock.ns20080.oracleGeneral.zst LIRS cache size      155, 1503831 req, miss ratio 0.5256, byte miss ratio 0.5256
result/tencentBlock.ns20080.oracleGeneral.zst LIRS cache size      465, 1503831 req, miss ratio 0.4594, byte miss ratio 0.4594
result/tencentBlock.ns20080.oracleGeneral.zst LIRS cache size     1552, 1503831 req, miss ratio 0.2885, byte miss ratio 0.2885
result/tencentBlock.ns20080.oracleGeneral.zst LIRS cache size     4656, 1503831 req, miss ratio 0.2380, byte miss ratio 0.2380
