result/tencentBlock.ns5783.oracleGeneral.zst clock2 cache size      201, 2534574 req, miss ratio 0.5316, byte miss ratio 0.5316
result/tencentBlock.ns5783.oracleGeneral.zst clock2 cache size      603, 2534574 req, miss ratio 0.1836, byte miss ratio 0.1836
result/tencentBlock.ns5783.oracleGeneral.zst clock2 cache size     2011, 2534574 req, miss ratio 0.1813, byte miss ratio 0.1813
result/tencentBlock.ns5783.oracleGeneral.zst clock2 cache size     6035, 2534574 req, miss ratio 0.1803, byte miss ratio 0.1803
result/tencentBlock.ns5783.oracleGeneral.zst clock2 cache size    20119, 2534574 req, miss ratio 0.1574, byte miss ratio 0.1574
result/tencentBlock.ns5783.oracleGeneral.zst clock2 cache size    40239, 2534574 req, miss ratio 0.1336, byte miss ratio 0.1336
result/tencentBlock.ns5783.oracleGeneral.zst clock2 cache size    80478, 2534574 req, miss ratio 0.0916, byte miss ratio 0.0916
result/tencentBlock.ns5783.oracleGeneral.zst clock2 cache size   160956, 2534574 req, miss ratio 0.0796, byte miss ratio 0.0796
result/tencentBlock.ns5783.oracleGeneral.zst LHD cache size      201, 2534574 req, miss ratio 0.4074, byte miss ratio 0.4074
result/tencentBlock.ns5783.oracleGeneral.zst LHD cache size      603, 2534574 req, miss ratio 0.1844, byte miss ratio 0.1844
result/tencentBlock.ns5783.oracleGeneral.zst LHD cache size     2011, 2534574 req, miss ratio 0.1807, byte miss ratio 0.1807
result/tencentBlock.ns5783.oracleGeneral.zst LHD cache size     6035, 2534574 req, miss ratio 0.1742, byte miss ratio 0.1742
result/tencentBlock.ns5783.oracleGeneral.zst LHD cache size    20119, 2534574 req, miss ratio 0.1417, byte miss ratio 0.1417
result/tencentBlock.ns5783.oracleGeneral.zst LHD cache size    40239, 2534574 req, miss ratio 0.1053, byte miss ratio 0.1053
result/tencentBlock.ns5783.oracleGeneral.zst LHD cache size    80478, 2534574 req, miss ratio 0.0852, byte miss ratio 0.0852
result/tencentBlock.ns5783.oracleGeneral.zst LHD cache size   160956, 2534574 req, miss ratio 0.0798, byte miss ratio 0.0798
result/tencentBlock.ns5783.oracleGeneral.zst ARC cache size      201, 2534574 req, miss ratio 0.4654, byte miss ratio 0.4654
result/tencentBlock.ns5783.oracleGeneral.zst ARC cache size      603, 2534574 req, miss ratio 0.1823, byte miss ratio 0.1823
result/tencentBlock.ns5783.oracleGeneral.zst ARC cache size     2011, 2534574 req, miss ratio 0.1807, byte miss ratio 0.1807
result/tencentBlock.ns5783.oracleGeneral.zst ARC cache size     6035, 2534574 req, miss ratio 0.1796, byte miss ratio 0.1796
result/tencentBlock.ns5783.oracleGeneral.zst ARC cache size    20119, 2534574 req, miss ratio 0.1475, byte miss ratio 0.1475
result/tencentBlock.ns5783.oracleGeneral.zst ARC cache size    40239, 2534574 req, miss ratio 0.1158, byte miss ratio 0.1158
result/tencentBlock.ns5783.oracleGeneral.zst ARC cache size    80478, 2534574 req, miss ratio 0.0840, byte miss ratio 0.0840
result/tencentBlock.ns5783.oracleGeneral.zst ARC cache size   160956, 2534574 req, miss ratio 0.0796, byte miss ratio 0.0796
result/tencentBlock.ns5783.oracleGeneral.zst LRU cache size      201, 2534574 req, miss ratio 0.5834, byte miss ratio 0.5834
result/tencentBlock.ns5783.oracleGeneral.zst LRU cache size      603, 2534574 req, miss ratio 0.1841, byte miss ratio 0.1841
result/tencentBlock.ns5783.oracleGeneral.zst LRU cache size     2011, 2534574 req, miss ratio 0.1813, byte miss ratio 0.1813
result/tencentBlock.ns5783.oracleGeneral.zst LRU cache size     6035, 2534574 req, miss ratio 0.1803, byte miss ratio 0.1803
result/tencentBlock.ns5783.oracleGeneral.zst LRU cache size    20119, 2534574 req, miss ratio 0.1505, byte miss ratio 0.1505
result/tencentBlock.ns5783.oracleGeneral.zst LRU cache size    40239, 2534574 req, miss ratio 0.1155, byte miss ratio 0.1155
result/tencentBlock.ns5783.oracleGeneral.zst LRU cache size    80478, 2534574 req, miss ratio 0.0853, byte miss ratio 0.0853
result/tencentBlock.ns5783.oracleGeneral.zst LRU cache size   160956, 2534574 req, miss ratio 0.0795, byte miss ratio 0.0795
result/tencentBlock.ns5783.oracleGeneral.zst S3FIFO-1 cache size      201, 2534574 req, miss ratio 0.4373, byte miss ratio 0.4373
result/tencentBlock.ns5783.oracleGeneral.zst S3FIFO-1 cache size      603, 2534574 req, miss ratio 0.1820, byte miss ratio 0.1820
result/tencentBlock.ns5783.oracleGeneral.zst S3FIFO-1 cache size     2011, 2534574 req, miss ratio 0.1807, byte miss ratio 0.1807
result/tencentBlock.ns5783.oracleGeneral.zst S3FIFO-1 cache size     6035, 2534574 req, miss ratio 0.1793, byte miss ratio 0.1793
result/tencentBlock.ns5783.oracleGeneral.zst S3FIFO-1 cache size    20119, 2534574 req, miss ratio 0.1478, byte miss ratio 0.1478
result/tencentBlock.ns5783.oracleGeneral.zst S3FIFO-1 cache size    40239, 2534574 req, miss ratio 0.1134, byte miss ratio 0.1134
result/tencentBlock.ns5783.oracleGeneral.zst S3FIFO-1 cache size    80478, 2534574 req, miss ratio 0.0856, byte miss ratio 0.0856
result/tencentBlock.ns5783.oracleGeneral.zst S3FIFO-1 cache size   160956, 2534574 req, miss ratio 0.0796, byte miss ratio 0.0796
result/tencentBlock.ns5783.oracleGeneral.zst Cacheus cache size      201, 2534574 req, miss ratio 0.5746, byte miss ratio 0.5746
result/tencentBlock.ns5783.oracleGeneral.zst Cacheus cache size      603, 2534574 req, miss ratio 0.1826, byte miss ratio 0.1826
result/tencentBlock.ns5783.oracleGeneral.zst Cacheus cache size     2011, 2534574 req, miss ratio 0.1806, byte miss ratio 0.1806
