result/tencentBlock.ns4870.oracleGeneral.zst LeCaR cache size      963, 5745568 req, miss ratio 0.5836, byte miss ratio 0.5836
result/tencentBlock.ns4870.oracleGeneral.zst LeCaR cache size     2891, 5745568 req, miss ratio 0.5366, byte miss ratio 0.5366
result/tencentBlock.ns4870.oracleGeneral.zst LeCaR cache size     9638, 5745568 req, miss ratio 0.5050, byte miss ratio 0.5050
result/tencentBlock.ns4870.oracleGeneral.zst LeCaR cache size    28916, 5745568 req, miss ratio 0.4252, byte miss ratio 0.4252
result/tencentBlock.ns4870.oracleGeneral.zst LeCaR cache size    96388, 5745568 req, miss ratio 0.2624, byte miss ratio 0.2624
result/tencentBlock.ns4870.oracleGeneral.zst LeCaR cache size   192776, 5745568 req, miss ratio 0.2151, byte miss ratio 0.2151
result/tencentBlock.ns4870.oracleGeneral.zst LeCaR cache size   385552, 5745568 req, miss ratio 0.1851, byte miss ratio 0.1851
result/tencentBlock.ns4870.oracleGeneral.zst LeCaR cache size   771104, 5745568 req, miss ratio 0.1696, byte miss ratio 0.1696
result/tencentBlock.ns4870.oracleGeneral.zst S3FIFO-1 cache size      963, 5745568 req, miss ratio 0.5778, byte miss ratio 0.5778
result/tencentBlock.ns4870.oracleGeneral.zst S3FIFO-1 cache size     2891, 5745568 req, miss ratio 0.5166, byte miss ratio 0.5166
result/tencentBlock.ns4870.oracleGeneral.zst S3FIFO-1 cache size     9638, 5745568 req, miss ratio 0.4951, byte miss ratio 0.4951
result/tencentBlock.ns4870.oracleGeneral.zst S3FIFO-1 cache size    28916, 5745568 req, miss ratio 0.4087, byte miss ratio 0.4087
result/tencentBlock.ns4870.oracleGeneral.zst S3FIFO-1 cache size    96388, 5745568 req, miss ratio 0.2466, byte miss ratio 0.2466
result/tencentBlock.ns4870.oracleGeneral.zst S3FIFO-1 cache size   192776, 5745568 req, miss ratio 0.2111, byte miss ratio 0.2111
result/tencentBlock.ns4870.oracleGeneral.zst S3FIFO-1 cache size   385552, 5745568 req, miss ratio 0.1835, byte miss ratio 0.1835
result/tencentBlock.ns4870.oracleGeneral.zst S3FIFO-1 cache size   771104, 5745568 req, miss ratio 0.1691, byte miss ratio 0.1691
result/tencentBlock.ns4870.oracleGeneral.zst Cacheus cache size      963, 5745568 req, miss ratio 0.5749, byte miss ratio 0.5749
result/tencentBlock.ns4870.oracleGeneral.zst Cacheus cache size     2891, 5745568 req, miss ratio 0.5279, byte miss ratio 0.5279
result/tencentBlock.ns4870.oracleGeneral.zst Cacheus cache size     9638, 5745568 req, miss ratio 0.5001, byte miss ratio 0.5001
result/tencentBlock.ns4870.oracleGeneral.zst Cacheus cache size    28916, 5745568 req, miss ratio 0.4579, byte miss ratio 0.4579
result/tencentBlock.ns4870.oracleGeneral.zst Cacheus cache size    96388, 5745568 req, miss ratio 0.2642, byte miss ratio 0.2642
result/tencentBlock.ns4870.oracleGeneral.zst Cacheus cache size   192776, 5745568 req, miss ratio 0.2231, byte miss ratio 0.2231
result/tencentBlock.ns4870.oracleGeneral.zst Cacheus cache size   385552, 5745568 req, miss ratio 0.1943, byte miss ratio 0.1943
result/tencentBlock.ns4870.oracleGeneral.zst Cacheus cache size   771104, 5745568 req, miss ratio 0.1704, byte miss ratio 0.1704
result/tencentBlock.ns4870.oracleGeneral.zst Clock cache size      963, 5745568 req, miss ratio 0.5845, byte miss ratio 0.5845
result/tencentBlock.ns4870.oracleGeneral.zst Clock cache size     2891, 5745568 req, miss ratio 0.5415, byte miss ratio 0.5415
result/tencentBlock.ns4870.oracleGeneral.zst Clock cache size     9638, 5745568 req, miss ratio 0.5082, byte miss ratio 0.5082
result/tencentBlock.ns4870.oracleGeneral.zst Clock cache size    28916, 5745568 req, miss ratio 0.4652, byte miss ratio 0.4652
result/tencentBlock.ns4870.oracleGeneral.zst Clock cache size    96388, 5745568 req, miss ratio 0.2799, byte miss ratio 0.2799
result/tencentBlock.ns4870.oracleGeneral.zst Clock cache size   192776, 5745568 req, miss ratio 0.2209, byte miss ratio 0.2209
result/tencentBlock.ns4870.oracleGeneral.zst Clock cache size   385552, 5745568 req, miss ratio 0.1883, byte miss ratio 0.1883
result/tencentBlock.ns4870.oracleGeneral.zst Clock cache size   771104, 5745568 req, miss ratio 0.1691, byte miss ratio 0.1691
result/tencentBlock.ns4870.oracleGeneral.zst FIFO cache size      963, 5745568 req, miss ratio 0.6304, byte miss ratio 0.6304
result/tencentBlock.ns4870.oracleGeneral.zst FIFO cache size     2891, 5745568 req, miss ratio 0.5694, byte miss ratio 0.5694
result/tencentBlock.ns4870.oracleGeneral.zst FIFO cache size     9638, 5745568 req, miss ratio 0.5271, byte miss ratio 0.5271
result/tencentBlock.ns4870.oracleGeneral.zst FIFO cache size    28916, 5745568 req, miss ratio 0.4491, byte miss ratio 0.4491
result/tencentBlock.ns4870.oracleGeneral.zst FIFO cache size    96388, 5745568 req, miss ratio 0.3200, byte miss ratio 0.3200
result/tencentBlock.ns4870.oracleGeneral.zst FIFO cache size   192776, 5745568 req, miss ratio 0.2583, byte miss ratio 0.2583
result/tencentBlock.ns4870.oracleGeneral.zst FIFO cache size   385552, 5745568 req, miss ratio 0.2094, byte miss ratio 0.2094
result/tencentBlock.ns4870.oracleGeneral.zst FIFO cache size   771104, 5745568 req, miss ratio 0.1795, byte miss ratio 0.1795
result/tencentBlock.ns4870.oracleGeneral.zst LIRS cache size      963, 5745568 req, miss ratio 0.6301, byte miss ratio 0.6301
result/tencentBlock.ns4870.oracleGeneral.zst LIRS cache size     2891, 5745568 req, miss ratio 0.5461, byte miss ratio 0.5461
