result/tencentBlock.ns10760.oracleGeneral.zst LIRS cache size      202, 1610379 req, miss ratio 0.5038, byte miss ratio 0.5038
result/tencentBlock.ns10760.oracleGeneral.zst LIRS cache size      606, 1610379 req, miss ratio 0.4833, byte miss ratio 0.4833
result/tencentBlock.ns10760.oracleGeneral.zst LIRS cache size     2020, 1610379 req, miss ratio 0.4229, byte miss ratio 0.4229
result/tencentBlock.ns10760.oracleGeneral.zst LIRS cache size     6061, 1610379 req, miss ratio 0.3841, byte miss ratio 0.3841
result/tencentBlock.ns10760.oracleGeneral.zst LIRS cache size    20205, 1610379 req, miss ratio 0.3318, byte miss ratio 0.3318
result/tencentBlock.ns10760.oracleGeneral.zst LIRS cache size    40411, 1610379 req, miss ratio 0.2690, byte miss ratio 0.2690
result/tencentBlock.ns10760.oracleGeneral.zst LIRS cache size    80822, 1610379 req, miss ratio 0.1597, byte miss ratio 0.1597
result/tencentBlock.ns10760.oracleGeneral.zst LIRS cache size   161644, 1610379 req, miss ratio 0.1259, byte miss ratio 0.1259
result/tencentBlock.ns10760.oracleGeneral.zst LHD cache size      202, 1610379 req, miss ratio 0.4830, byte miss ratio 0.4830
result/tencentBlock.ns10760.oracleGeneral.zst LHD cache size      606, 1610379 req, miss ratio 0.4621, byte miss ratio 0.4621
result/tencentBlock.ns10760.oracleGeneral.zst LHD cache size     2020, 1610379 req, miss ratio 0.4371, byte miss ratio 0.4371
result/tencentBlock.ns10760.oracleGeneral.zst LHD cache size     6061, 1610379 req, miss ratio 0.4021, byte miss ratio 0.4021
result/tencentBlock.ns10760.oracleGeneral.zst LHD cache size    20205, 1610379 req, miss ratio 0.3592, byte miss ratio 0.3592
result/tencentBlock.ns10760.oracleGeneral.zst LHD cache size    40411, 1610379 req, miss ratio 0.2994, byte miss ratio 0.2994
result/tencentBlock.ns10760.oracleGeneral.zst LHD cache size    80822, 1610379 req, miss ratio 0.1729, byte miss ratio 0.1729
result/tencentBlock.ns10760.oracleGeneral.zst LHD cache size   161644, 1610379 req, miss ratio 0.1281, byte miss ratio 0.1281
result/tencentBlock.ns10760.oracleGeneral.zst ARC cache size      202, 1610379 req, miss ratio 0.4712, byte miss ratio 0.4712
result/tencentBlock.ns10760.oracleGeneral.zst ARC cache size      606, 1610379 req, miss ratio 0.4540, byte miss ratio 0.4540
result/tencentBlock.ns10760.oracleGeneral.zst ARC cache size     2020, 1610379 req, miss ratio 0.4149, byte miss ratio 0.4149
result/tencentBlock.ns10760.oracleGeneral.zst ARC cache size     6061, 1610379 req, miss ratio 0.3859, byte miss ratio 0.3859
result/tencentBlock.ns10760.oracleGeneral.zst ARC cache size    20205, 1610379 req, miss ratio 0.3417, byte miss ratio 0.3417
result/tencentBlock.ns10760.oracleGeneral.zst ARC cache size    40411, 1610379 req, miss ratio 0.2773, byte miss ratio 0.2773
result/tencentBlock.ns10760.oracleGeneral.zst ARC cache size    80822, 1610379 req, miss ratio 0.1724, byte miss ratio 0.1724
result/tencentBlock.ns10760.oracleGeneral.zst ARC cache size   161644, 1610379 req, miss ratio 0.1257, byte miss ratio 0.1257
result/tencentBlock.ns10760.oracleGeneral.zst LRU cache size      202, 1610379 req, miss ratio 0.4965, byte miss ratio 0.4965
result/tencentBlock.ns10760.oracleGeneral.zst LRU cache size      606, 1610379 req, miss ratio 0.4622, byte miss ratio 0.4622
result/tencentBlock.ns10760.oracleGeneral.zst LRU cache size     2020, 1610379 req, miss ratio 0.4408, byte miss ratio 0.4408
result/tencentBlock.ns10760.oracleGeneral.zst LRU cache size     6061, 1610379 req, miss ratio 0.4110, byte miss ratio 0.4110
result/tencentBlock.ns10760.oracleGeneral.zst LRU cache size    20205, 1610379 req, miss ratio 0.3825, byte miss ratio 0.3825
result/tencentBlock.ns10760.oracleGeneral.zst LRU cache size    40411, 1610379 req, miss ratio 0.3237, byte miss ratio 0.3237
result/tencentBlock.ns10760.oracleGeneral.zst LRU cache size    80822, 1610379 req, miss ratio 0.1903, byte miss ratio 0.1903
result/tencentBlock.ns10760.oracleGeneral.zst LRU cache size   161644, 1610379 req, miss ratio 0.1257, byte miss ratio 0.1257
result/tencentBlock.ns10760.oracleGeneral.zst S3FIFO-1 cache size      202, 1610379 req, miss ratio 0.4816, byte miss ratio 0.4816
result/tencentBlock.ns10760.oracleGeneral.zst S3FIFO-1 cache size      606, 1610379 req, miss ratio 0.4549, byte miss ratio 0.4549
result/tencentBlock.ns10760.oracleGeneral.zst S3FIFO-1 cache size     2020, 1610379 req, miss ratio 0.3965, byte miss ratio 0.3965
result/tencentBlock.ns10760.oracleGeneral.zst S3FIFO-1 cache size     6061, 1610379 req, miss ratio 0.3841, byte miss ratio 0.3841
