result/tencentBlock.ns18004.oracleGeneral.zst LRU cache size      110, 1354289 req, miss ratio 0.5562, byte miss ratio 0.5562
result/tencentBlock.ns18004.oracleGeneral.zst LRU cache size      331, 1354289 req, miss ratio 0.4414, byte miss ratio 0.4414
result/tencentBlock.ns18004.oracleGeneral.zst LRU cache size     1104, 1354289 req, miss ratio 0.4308, byte miss ratio 0.4308
result/tencentBlock.ns18004.oracleGeneral.zst LRU cache size     3312, 1354289 req, miss ratio 0.4273, byte miss ratio 0.4273
result/tencentBlock.ns18004.oracleGeneral.zst LRU cache size    11042, 1354289 req, miss ratio 0.4268, byte miss ratio 0.4268
result/tencentBlock.ns18004.oracleGeneral.zst LRU cache size    22084, 1354289 req, miss ratio 0.4233, byte miss ratio 0.4233
result/tencentBlock.ns18004.oracleGeneral.zst LRU cache size    44168, 1354289 req, miss ratio 0.3408, byte miss ratio 0.3408
result/tencentBlock.ns18004.oracleGeneral.zst LRU cache size    88336, 1354289 req, miss ratio 0.0885, byte miss ratio 0.0885
result/tencentBlock.ns18004.oracleGeneral.zst LHD cache size      110, 1354289 req, miss ratio 0.4599, byte miss ratio 0.4599
result/tencentBlock.ns18004.oracleGeneral.zst LHD cache size      331, 1354289 req, miss ratio 0.4393, byte miss ratio 0.4393
result/tencentBlock.ns18004.oracleGeneral.zst LHD cache size     1104, 1354289 req, miss ratio 0.4298, byte miss ratio 0.4298
result/tencentBlock.ns18004.oracleGeneral.zst LHD cache size     3312, 1354289 req, miss ratio 0.4272, byte miss ratio 0.4272
result/tencentBlock.ns18004.oracleGeneral.zst LHD cache size    11042, 1354289 req, miss ratio 0.4189, byte miss ratio 0.4189
result/tencentBlock.ns18004.oracleGeneral.zst LHD cache size    22084, 1354289 req, miss ratio 0.3938, byte miss ratio 0.3938
result/tencentBlock.ns18004.oracleGeneral.zst LHD cache size    44168, 1354289 req, miss ratio 0.3063, byte miss ratio 0.3063
result/tencentBlock.ns18004.oracleGeneral.zst LHD cache size    88336, 1354289 req, miss ratio 0.0966, byte miss ratio 0.0966
result/tencentBlock.ns18004.oracleGeneral.zst LIRS cache size      110, 1354289 req, miss ratio 0.4540, byte miss ratio 0.4540
result/tencentBlock.ns18004.oracleGeneral.zst LIRS cache size      331, 1354289 req, miss ratio 0.4436, byte miss ratio 0.4436
result/tencentBlock.ns18004.oracleGeneral.zst LIRS cache size     1104, 1354289 req, miss ratio 0.4318, byte miss ratio 0.4318
result/tencentBlock.ns18004.oracleGeneral.zst LIRS cache size     3312, 1354289 req, miss ratio 0.4175, byte miss ratio 0.4175
result/tencentBlock.ns18004.oracleGeneral.zst LIRS cache size    11042, 1354289 req, miss ratio 0.3851, byte miss ratio 0.3851
result/tencentBlock.ns18004.oracleGeneral.zst LIRS cache size    22084, 1354289 req, miss ratio 0.3271, byte miss ratio 0.3271
result/tencentBlock.ns18004.oracleGeneral.zst LIRS cache size    44168, 1354289 req, miss ratio 0.2986, byte miss ratio 0.2986
result/tencentBlock.ns18004.oracleGeneral.zst LIRS cache size    88336, 1354289 req, miss ratio 0.0880, byte miss ratio 0.0880
result/tencentBlock.ns18004.oracleGeneral.zst ARC cache size      110, 1354289 req, miss ratio 0.4420, byte miss ratio 0.4420
result/tencentBlock.ns18004.oracleGeneral.zst ARC cache size      331, 1354289 req, miss ratio 0.4303, byte miss ratio 0.4303
result/tencentBlock.ns18004.oracleGeneral.zst ARC cache size     1104, 1354289 req, miss ratio 0.4286, byte miss ratio 0.4286
result/tencentBlock.ns18004.oracleGeneral.zst ARC cache size     3312, 1354289 req, miss ratio 0.4187, byte miss ratio 0.4187
result/tencentBlock.ns18004.oracleGeneral.zst ARC cache size    11042, 1354289 req, miss ratio 0.4158, byte miss ratio 0.4158
result/tencentBlock.ns18004.oracleGeneral.zst ARC cache size    22084, 1354289 req, miss ratio 0.4092, byte miss ratio 0.4092
result/tencentBlock.ns18004.oracleGeneral.zst ARC cache size    44168, 1354289 req, miss ratio 0.3117, byte miss ratio 0.3117
result/tencentBlock.ns18004.oracleGeneral.zst ARC cache size    88336, 1354289 req, miss ratio 0.0885, byte miss ratio 0.0885
result/tencentBlock.ns18004.oracleGeneral.zst Cacheus cache size      110, 1354289 req, miss ratio 0.4581, byte miss ratio 0.4581
result/tencentBlock.ns18004.oracleGeneral.zst Cacheus cache size      331, 1354289 req, miss ratio 0.4306, byte miss ratio 0.4306
result/tencentBlock.ns18004.oracleGeneral.zst Cacheus cache size     1104, 1354289 req, miss ratio 0.4282, byte miss ratio 0.4282
result/tencentBlock.ns18004.oracleGeneral.zst Cacheus cache size     3312, 1354289 req, miss ratio 0.4268, byte miss ratio 0.4268
result/tencentBlock.ns18004.oracleGeneral.zst Cacheus cache size    11042, 1354289 req, miss ratio 0.4156, byte miss ratio 0.4156
result/tencentBlock.ns18004.oracleGeneral.zst Cacheus cache size    22084, 1354289 req, miss ratio 0.3425, byte miss ratio 0.3425
result/tencentBlock.ns18004.oracleGeneral.zst Cacheus cache size    44168, 1354289 req, miss ratio 0.2936, byte miss ratio 0.2936
result/tencentBlock.ns18004.oracleGeneral.zst Cacheus cache size    88336, 1354289 req, miss ratio 0.0890, byte miss ratio 0.0890
result/tencentBlock.ns18004.oracleGeneral.zst LeCaR cache size      110, 1354289 req, miss ratio 0.4620, byte miss ratio 0.4620
result/tencentBlock.ns18004.oracleGeneral.zst LeCaR cache size      331, 1354289 req, miss ratio 0.4364, byte miss ratio 0.4364
result/tencentBlock.ns18004.oracleGeneral.zst LeCaR cache size     1104, 1354289 req, miss ratio 0.4291, byte miss ratio 0.4291
result/tencentBlock.ns18004.oracleGeneral.zst LeCaR cache size     3312, 1354289 req, miss ratio 0.4272, byte miss ratio 0.4272
result/tencentBlock.ns18004.oracleGeneral.zst LeCaR cache size    11042, 1354289 req, miss ratio 0.4214, byte miss ratio 0.4214
result/tencentBlock.ns18004.oracleGeneral.zst LeCaR cache size    22084, 1354289 req, miss ratio 0.4229, byte miss ratio 0.4229
result/tencentBlock.ns18004.oracleGeneral.zst LeCaR cache size    44168, 1354289 req, miss ratio 0.3380, byte miss ratio 0.3380
result/tencentBlock.ns18004.oracleGeneral.zst LeCaR cache size    88336, 1354289 req, miss ratio 0.0876, byte miss ratio 0.0876
result/tencentBlock.ns18004.oracleGeneral.zst Clock cache size      110, 1354289 req, miss ratio 0.4855, byte miss ratio 0.4855
result/tencentBlock.ns18004.oracleGeneral.zst Clock cache size      331, 1354289 req, miss ratio 0.4394, byte miss ratio 0.4394
result/tencentBlock.ns18004.oracleGeneral.zst Clock cache size     1104, 1354289 req, miss ratio 0.4301, byte miss ratio 0.4301
result/tencentBlock.ns18004.oracleGeneral.zst Clock cache size     3312, 1354289 req, miss ratio 0.4272, byte miss ratio 0.4272
result/tencentBlock.ns18004.oracleGeneral.zst Clock cache size    11042, 1354289 req, miss ratio 0.4266, byte miss ratio 0.4266
result/tencentBlock.ns18004.oracleGeneral.zst Clock cache size    22084, 1354289 req, miss ratio 0.4248, byte miss ratio 0.4248
result/tencentBlock.ns18004.oracleGeneral.zst Clock cache size    44168, 1354289 req, miss ratio 0.3324, byte miss ratio 0.3324
result/tencentBlock.ns18004.oracleGeneral.zst Clock cache size    88336, 1354289 req, miss ratio 0.0926, byte miss ratio 0.0926
result/tencentBlock.ns18004.oracleGeneral.zst S3FIFO-1 cache size      110, 1354289 req, miss ratio 0.4454, byte miss ratio 0.4454
result/tencentBlock.ns18004.oracleGeneral.zst S3FIFO-1 cache size      331, 1354289 req, miss ratio 0.4305, byte miss ratio 0.4305
result/tencentBlock.ns18004.oracleGeneral.zst S3FIFO-1 cache size     1104, 1354289 req, miss ratio 0.4287, byte miss ratio 0.4287
result/tencentBlock.ns18004.oracleGeneral.zst S3FIFO-1 cache size     3312, 1354289 req, miss ratio 0.4228, byte miss ratio 0.4228
result/tencentBlock.ns18004.oracleGeneral.zst S3FIFO-1 cache size    11042, 1354289 req, miss ratio 0.4156, byte miss ratio 0.4156
result/tencentBlock.ns18004.oracleGeneral.zst S3FIFO-1 cache size    22084, 1354289 req, miss ratio 0.3441, byte miss ratio 0.3441
result/tencentBlock.ns18004.oracleGeneral.zst S3FIFO-1 cache size    44168, 1354289 req, miss ratio 0.3025, byte miss ratio 0.3025
result/tencentBlock.ns18004.oracleGeneral.zst S3FIFO-1 cache size    88336, 1354289 req, miss ratio 0.0905, byte miss ratio 0.0905
result/tencentBlock.ns18004.oracleGeneral.zst clock2 cache size      110, 1354289 req, miss ratio 0.4662, byte miss ratio 0.4662
result/tencentBlock.ns18004.oracleGeneral.zst clock2 cache size      331, 1354289 req, miss ratio 0.4378, byte miss ratio 0.4378
result/tencentBlock.ns18004.oracleGeneral.zst clock2 cache size     1104, 1354289 req, miss ratio 0.4297, byte miss ratio 0.4297
result/tencentBlock.ns18004.oracleGeneral.zst clock2 cache size     3312, 1354289 req, miss ratio 0.4272, byte miss ratio 0.4272
result/tencentBlock.ns18004.oracleGeneral.zst clock2 cache size    11042, 1354289 req, miss ratio 0.4266, byte miss ratio 0.4266
result/tencentBlock.ns18004.oracleGeneral.zst clock2 cache size    22084, 1354289 req, miss ratio 0.4188, byte miss ratio 0.4188
result/tencentBlock.ns18004.oracleGeneral.zst clock2 cache size    44168, 1354289 req, miss ratio 0.3297, byte miss ratio 0.3297
result/tencentBlock.ns18004.oracleGeneral.zst clock2 cache size    88336, 1354289 req, miss ratio 0.0921, byte miss ratio 0.0921
result/tencentBlock.ns18004.oracleGeneral.zst FIFO cache size      110, 1354289 req, miss ratio 0.6854, byte miss ratio 0.6854
result/tencentBlock.ns18004.oracleGeneral.zst FIFO cache size      331, 1354289 req, miss ratio 0.5137, byte miss ratio 0.5137
result/tencentBlock.ns18004.oracleGeneral.zst FIFO cache size     1104, 1354289 req, miss ratio 0.4558, byte miss ratio 0.4558
