result/tencentBlock.ns9803.oracleGeneral.zst ARC cache size      288, 4351007 req, miss ratio 0.4864, byte miss ratio 0.4864
result/tencentBlock.ns9803.oracleGeneral.zst ARC cache size      864, 4351007 req, miss ratio 0.4531, byte miss ratio 0.4531
result/tencentBlock.ns9803.oracleGeneral.zst ARC cache size     2880, 4351007 req, miss ratio 0.4203, byte miss ratio 0.4203
result/tencentBlock.ns9803.oracleGeneral.zst ARC cache size     8640, 4351007 req, miss ratio 0.3706, byte miss ratio 0.3706
result/tencentBlock.ns9803.oracleGeneral.zst ARC cache size    28802, 4351007 req, miss ratio 0.1561, byte miss ratio 0.1561
result/tencentBlock.ns9803.oracleGeneral.zst ARC cache size    57605, 4351007 req, miss ratio 0.1057, byte miss ratio 0.1057
result/tencentBlock.ns9803.oracleGeneral.zst ARC cache size   115210, 4351007 req, miss ratio 0.0796, byte miss ratio 0.0796
result/tencentBlock.ns9803.oracleGeneral.zst ARC cache size   230420, 4351007 req, miss ratio 0.0673, byte miss ratio 0.0673
result/tencentBlock.ns9803.oracleGeneral.zst LeCaR cache size      288, 4351007 req, miss ratio 0.4991, byte miss ratio 0.4991
result/tencentBlock.ns9803.oracleGeneral.zst LeCaR cache size      864, 4351007 req, miss ratio 0.4697, byte miss ratio 0.4697
result/tencentBlock.ns9803.oracleGeneral.zst LeCaR cache size     2880, 4351007 req, miss ratio 0.4392, byte miss ratio 0.4392
result/tencentBlock.ns9803.oracleGeneral.zst LeCaR cache size     8640, 4351007 req, miss ratio 0.4061, byte miss ratio 0.4061
result/tencentBlock.ns9803.oracleGeneral.zst LeCaR cache size    28802, 4351007 req, miss ratio 0.1754, byte miss ratio 0.1754
result/tencentBlock.ns9803.oracleGeneral.zst LeCaR cache size    57605, 4351007 req, miss ratio 0.1065, byte miss ratio 0.1065
result/tencentBlock.ns9803.oracleGeneral.zst LeCaR cache size   115210, 4351007 req, miss ratio 0.0796, byte miss ratio 0.0796
result/tencentBlock.ns9803.oracleGeneral.zst LeCaR cache size   230420, 4351007 req, miss ratio 0.0672, byte miss ratio 0.0672
result/tencentBlock.ns9803.oracleGeneral.zst LRU cache size      288, 4351007 req, miss ratio 0.5078, byte miss ratio 0.5078
result/tencentBlock.ns9803.oracleGeneral.zst LRU cache size      864, 4351007 req, miss ratio 0.4760, byte miss ratio 0.4760
result/tencentBlock.ns9803.oracleGeneral.zst LRU cache size     2880, 4351007 req, miss ratio 0.4452, byte miss ratio 0.4452
result/tencentBlock.ns9803.oracleGeneral.zst LRU cache size     8640, 4351007 req, miss ratio 0.4204, byte miss ratio 0.4204
result/tencentBlock.ns9803.oracleGeneral.zst LRU cache size    28802, 4351007 req, miss ratio 0.1899, byte miss ratio 0.1899
result/tencentBlock.ns9803.oracleGeneral.zst LRU cache size    57605, 4351007 req, miss ratio 0.1080, byte miss ratio 0.1080
result/tencentBlock.ns9803.oracleGeneral.zst LRU cache size   115210, 4351007 req, miss ratio 0.0800, byte miss ratio 0.0800
result/tencentBlock.ns9803.oracleGeneral.zst LRU cache size   230420, 4351007 req, miss ratio 0.0672, byte miss ratio 0.0672
result/tencentBlock.ns9803.oracleGeneral.zst clock2 cache size      288, 4351007 req, miss ratio 0.5016, byte miss ratio 0.5016
result/tencentBlock.ns9803.oracleGeneral.zst clock2 cache size      864, 4351007 req, miss ratio 0.4706, byte miss ratio 0.4706
result/tencentBlock.ns9803.oracleGeneral.zst clock2 cache size     2880, 4351007 req, miss ratio 0.4425, byte miss ratio 0.4425
result/tencentBlock.ns9803.oracleGeneral.zst clock2 cache size     8640, 4351007 req, miss ratio 0.4120, byte miss ratio 0.4120
result/tencentBlock.ns9803.oracleGeneral.zst clock2 cache size    28802, 4351007 req, miss ratio 0.1809, byte miss ratio 0.1809
result/tencentBlock.ns9803.oracleGeneral.zst clock2 cache size    57605, 4351007 req, miss ratio 0.1090, byte miss ratio 0.1090
result/tencentBlock.ns9803.oracleGeneral.zst clock2 cache size   115210, 4351007 req, miss ratio 0.0799, byte miss ratio 0.0799
result/tencentBlock.ns9803.oracleGeneral.zst clock2 cache size   230420, 4351007 req, miss ratio 0.0673, byte miss ratio 0.0673
result/tencentBlock.ns9803.oracleGeneral.zst LHD cache size      288, 4351007 req, miss ratio 0.5003, byte miss ratio 0.5003
result/tencentBlock.ns9803.oracleGeneral.zst LHD cache size      864, 4351007 req, miss ratio 0.4699, byte miss ratio 0.4699
result/tencentBlock.ns9803.oracleGeneral.zst LHD cache size     2880, 4351007 req, miss ratio 0.4379, byte miss ratio 0.4379
result/tencentBlock.ns9803.oracleGeneral.zst LHD cache size     8640, 4351007 req, miss ratio 0.3832, byte miss ratio 0.3832
result/tencentBlock.ns9803.oracleGeneral.zst LHD cache size    28802, 4351007 req, miss ratio 0.1599, byte miss ratio 0.1599
result/tencentBlock.ns9803.oracleGeneral.zst LHD cache size    57605, 4351007 req, miss ratio 0.1067, byte miss ratio 0.1067
result/tencentBlock.ns9803.oracleGeneral.zst LHD cache size   115210, 4351007 req, miss ratio 0.0803, byte miss ratio 0.0803
result/tencentBlock.ns9803.oracleGeneral.zst LHD cache size   230420, 4351007 req, miss ratio 0.0674, byte miss ratio 0.0674
result/tencentBlock.ns9803.oracleGeneral.zst Cacheus cache size      288, 4351007 req, miss ratio 0.4881, byte miss ratio 0.4881
result/tencentBlock.ns9803.oracleGeneral.zst Cacheus cache size      864, 4351007 req, miss ratio 0.4576, byte miss ratio 0.4576
result/tencentBlock.ns9803.oracleGeneral.zst Cacheus cache size     2880, 4351007 req, miss ratio 0.4258, byte miss ratio 0.4258
result/tencentBlock.ns9803.oracleGeneral.zst Cacheus cache size     8640, 4351007 req, miss ratio 0.3718, byte miss ratio 0.3718
result/tencentBlock.ns9803.oracleGeneral.zst Cacheus cache size    28802, 4351007 req, miss ratio 0.1795, byte miss ratio 0.1795
result/tencentBlock.ns9803.oracleGeneral.zst Cacheus cache size    57605, 4351007 req, miss ratio 0.1054, byte miss ratio 0.1054
result/tencentBlock.ns9803.oracleGeneral.zst Cacheus cache size   115210, 4351007 req, miss ratio 0.0824, byte miss ratio 0.0824
result/tencentBlock.ns9803.oracleGeneral.zst Cacheus cache size   230420, 4351007 req, miss ratio 0.0673, byte miss ratio 0.0673
result/tencentBlock.ns9803.oracleGeneral.zst FIFO cache size      288, 4351007 req, miss ratio 0.5398, byte miss ratio 0.5398
