result/tencentBlock.ns14879.oracleGeneral.zst ARC cache size      310, 2894512 req, miss ratio 0.5050, byte miss ratio 0.5050
result/tencentBlock.ns14879.oracleGeneral.zst ARC cache size      930, 2894512 req, miss ratio 0.3809, byte miss ratio 0.3809
result/tencentBlock.ns14879.oracleGeneral.zst ARC cache size     3100, 2894512 req, miss ratio 0.2684, byte miss ratio 0.2684
result/tencentBlock.ns14879.oracleGeneral.zst ARC cache size     9301, 2894512 req, miss ratio 0.2414, byte miss ratio 0.2414
result/tencentBlock.ns14879.oracleGeneral.zst ARC cache size    31003, 2894512 req, miss ratio 0.1836, byte miss ratio 0.1836
result/tencentBlock.ns14879.oracleGeneral.zst ARC cache size    62006, 2894512 req, miss ratio 0.1440, byte miss ratio 0.1440
result/tencentBlock.ns14879.oracleGeneral.zst ARC cache size   124013, 2894512 req, miss ratio 0.1208, byte miss ratio 0.1208
result/tencentBlock.ns14879.oracleGeneral.zst ARC cache size   248027, 2894512 req, miss ratio 0.1072, byte miss ratio 0.1072
result/tencentBlock.ns14879.oracleGeneral.zst Clock cache size      310, 2894512 req, miss ratio 0.5208, byte miss ratio 0.5208
result/tencentBlock.ns14879.oracleGeneral.zst Clock cache size      930, 2894512 req, miss ratio 0.4202, byte miss ratio 0.4202
result/tencentBlock.ns14879.oracleGeneral.zst Clock cache size     3100, 2894512 req, miss ratio 0.2869, byte miss ratio 0.2869
result/tencentBlock.ns14879.oracleGeneral.zst Clock cache size     9301, 2894512 req, miss ratio 0.2501, byte miss ratio 0.2501
result/tencentBlock.ns14879.oracleGeneral.zst Clock cache size    31003, 2894512 req, miss ratio 0.1877, byte miss ratio 0.1877
result/tencentBlock.ns14879.oracleGeneral.zst Clock cache size    62006, 2894512 req, miss ratio 0.1491, byte miss ratio 0.1491
result/tencentBlock.ns14879.oracleGeneral.zst Clock cache size   124013, 2894512 req, miss ratio 0.1216, byte miss ratio 0.1216
result/tencentBlock.ns14879.oracleGeneral.zst Clock cache size   248027, 2894512 req, miss ratio 0.1072, byte miss ratio 0.1072
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-1 cache size      310, 2894512 req, miss ratio 0.5179, byte miss ratio 0.5179
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-1 cache size      930, 2894512 req, miss ratio 0.3692, byte miss ratio 0.3692
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-1 cache size     3100, 2894512 req, miss ratio 0.2701, byte miss ratio 0.2701
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-1 cache size     9301, 2894512 req, miss ratio 0.2398, byte miss ratio 0.2398
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-1 cache size    31003, 2894512 req, miss ratio 0.1924, byte miss ratio 0.1924
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-1 cache size    62006, 2894512 req, miss ratio 0.1466, byte miss ratio 0.1466
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-1 cache size   124013, 2894512 req, miss ratio 0.1206, byte miss ratio 0.1206
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-1 cache size   248027, 2894512 req, miss ratio 0.1072, byte miss ratio 0.1072
result/tencentBlock.ns14879.oracleGeneral.zst FIFO cache size      310, 2894512 req, miss ratio 0.6062, byte miss ratio 0.6062
result/tencentBlock.ns14879.oracleGeneral.zst FIFO cache size      930, 2894512 req, miss ratio 0.4626, byte miss ratio 0.4626
result/tencentBlock.ns14879.oracleGeneral.zst FIFO cache size     3100, 2894512 req, miss ratio 0.3407, byte miss ratio 0.3407
result/tencentBlock.ns14879.oracleGeneral.zst FIFO cache size     9301, 2894512 req, miss ratio 0.2751, byte miss ratio 0.2751
result/tencentBlock.ns14879.oracleGeneral.zst FIFO cache size    31003, 2894512 req, miss ratio 0.1973, byte miss ratio 0.1973
result/tencentBlock.ns14879.oracleGeneral.zst FIFO cache size    62006, 2894512 req, miss ratio 0.1587, byte miss ratio 0.1587
result/tencentBlock.ns14879.oracleGeneral.zst FIFO cache size   124013, 2894512 req, miss ratio 0.1340, byte miss ratio 0.1340
result/tencentBlock.ns14879.oracleGeneral.zst FIFO cache size   248027, 2894512 req, miss ratio 0.1135, byte miss ratio 0.1135
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-d-1 cache size      310, 2894512 req, miss ratio 0.5057, byte miss ratio 0.5057
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-d-1 cache size      930, 2894512 req, miss ratio 0.3695, byte miss ratio 0.3695
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-d-1 cache size     3100, 2894512 req, miss ratio 0.2699, byte miss ratio 0.2699
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-d-1 cache size     9301, 2894512 req, miss ratio 0.2397, byte miss ratio 0.2397
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-d-1 cache size    31003, 2894512 req, miss ratio 0.1923, byte miss ratio 0.1923
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-d-1 cache size    62006, 2894512 req, miss ratio 0.1465, byte miss ratio 0.1465
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-d-1 cache size   124013, 2894512 req, miss ratio 0.1205, byte miss ratio 0.1205
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-d-1 cache size   248027, 2894512 req, miss ratio 0.1072, byte miss ratio 0.1072
result/tencentBlock.ns14879.oracleGeneral.zst LRB cache size      310, 2894512 req, miss ratio 0.5351, byte miss ratio 0.5351
result/tencentBlock.ns14879.oracleGeneral.zst LRB cache size      930, 2894512 req, miss ratio 0.3692, byte miss ratio 0.3692
result/tencentBlock.ns14879.oracleGeneral.zst LRB cache size     3100, 2894512 req, miss ratio 0.2845, byte miss ratio 0.2845
result/tencentBlock.ns14879.oracleGeneral.zst LRB cache size     9301, 2894512 req, miss ratio 0.2524, byte miss ratio 0.2524
result/tencentBlock.ns14879.oracleGeneral.zst LRB cache size    31003, 2894512 req, miss ratio 0.2008, byte miss ratio 0.2008
result/tencentBlock.ns14879.oracleGeneral.zst LRB cache size    62006, 2894512 req, miss ratio 0.1601, byte miss ratio 0.1601
result/tencentBlock.ns14879.oracleGeneral.zst LRB cache size   124013, 2894512 req, miss ratio 0.1235, byte miss ratio 0.1235
result/tencentBlock.ns14879.oracleGeneral.zst LRB cache size   248027, 2894512 req, miss ratio 0.1071, byte miss ratio 0.1071
result/tencentBlock.ns14879.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      310, 2894512 req, miss ratio 0.5553, byte miss ratio 0.5553
result/tencentBlock.ns14879.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      930, 2894512 req, miss ratio 0.4328, byte miss ratio 0.4328
result/tencentBlock.ns14879.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3100, 2894512 req, miss ratio 0.3017, byte miss ratio 0.3017
result/tencentBlock.ns14879.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9301, 2894512 req, miss ratio 0.2583, byte miss ratio 0.2583
result/tencentBlock.ns14879.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    31003, 2894512 req, miss ratio 0.2088, byte miss ratio 0.2088
