result/tencentBlock.ns20203.oracleGeneral.zst ARC cache size      150, 1192318 req, miss ratio 0.5065, byte miss ratio 0.5065
result/tencentBlock.ns20203.oracleGeneral.zst ARC cache size      452, 1192318 req, miss ratio 0.4983, byte miss ratio 0.4983
result/tencentBlock.ns20203.oracleGeneral.zst ARC cache size     1507, 1192318 req, miss ratio 0.4961, byte miss ratio 0.4961
result/tencentBlock.ns20203.oracleGeneral.zst ARC cache size     4523, 1192318 req, miss ratio 0.4950, byte miss ratio 0.4950
result/tencentBlock.ns20203.oracleGeneral.zst ARC cache size    15079, 1192318 req, miss ratio 0.4914, byte miss ratio 0.4914
result/tencentBlock.ns20203.oracleGeneral.zst ARC cache size    30158, 1192318 req, miss ratio 0.4130, byte miss ratio 0.4130
result/tencentBlock.ns20203.oracleGeneral.zst ARC cache size    60316, 1192318 req, miss ratio 0.3039, byte miss ratio 0.3039
result/tencentBlock.ns20203.oracleGeneral.zst ARC cache size   120633, 1192318 req, miss ratio 0.1363, byte miss ratio 0.1363
result/tencentBlock.ns20203.oracleGeneral.zst LIRS cache size      150, 1192318 req, miss ratio 0.5735, byte miss ratio 0.5735
result/tencentBlock.ns20203.oracleGeneral.zst LIRS cache size      452, 1192318 req, miss ratio 0.5559, byte miss ratio 0.5559
result/tencentBlock.ns20203.oracleGeneral.zst LIRS cache size     1507, 1192318 req, miss ratio 0.5008, byte miss ratio 0.5008
result/tencentBlock.ns20203.oracleGeneral.zst LIRS cache size     4523, 1192318 req, miss ratio 0.4963, byte miss ratio 0.4963
result/tencentBlock.ns20203.oracleGeneral.zst LIRS cache size    15079, 1192318 req, miss ratio 0.4796, byte miss ratio 0.4796
result/tencentBlock.ns20203.oracleGeneral.zst LIRS cache size    30158, 1192318 req, miss ratio 0.4151, byte miss ratio 0.4151
result/tencentBlock.ns20203.oracleGeneral.zst LIRS cache size    60316, 1192318 req, miss ratio 0.3219, byte miss ratio 0.3219
result/tencentBlock.ns20203.oracleGeneral.zst LIRS cache size   120633, 1192318 req, miss ratio 0.1357, byte miss ratio 0.1357
result/tencentBlock.ns20203.oracleGeneral.zst Cacheus cache size      150, 1192318 req, miss ratio 0.5082, byte miss ratio 0.5082
result/tencentBlock.ns20203.oracleGeneral.zst Cacheus cache size      452, 1192318 req, miss ratio 0.4988, byte miss ratio 0.4988
result/tencentBlock.ns20203.oracleGeneral.zst Cacheus cache size     1507, 1192318 req, miss ratio 0.4957, byte miss ratio 0.4957
result/tencentBlock.ns20203.oracleGeneral.zst Cacheus cache size     4523, 1192318 req, miss ratio 0.4949, byte miss ratio 0.4949
result/tencentBlock.ns20203.oracleGeneral.zst Cacheus cache size    15079, 1192318 req, miss ratio 0.4679, byte miss ratio 0.4679
result/tencentBlock.ns20203.oracleGeneral.zst Cacheus cache size    30158, 1192318 req, miss ratio 0.4398, byte miss ratio 0.4398
result/tencentBlock.ns20203.oracleGeneral.zst Cacheus cache size    60316, 1192318 req, miss ratio 0.3348, byte miss ratio 0.3348
result/tencentBlock.ns20203.oracleGeneral.zst Cacheus cache size   120633, 1192318 req, miss ratio 0.1365, byte miss ratio 0.1365
result/tencentBlock.ns20203.oracleGeneral.zst clock2 cache size      150, 1192318 req, miss ratio 0.5214, byte miss ratio 0.5214
result/tencentBlock.ns20203.oracleGeneral.zst clock2 cache size      452, 1192318 req, miss ratio 0.5025, byte miss ratio 0.5025
result/tencentBlock.ns20203.oracleGeneral.zst clock2 cache size     1507, 1192318 req, miss ratio 0.4970, byte miss ratio 0.4970
result/tencentBlock.ns20203.oracleGeneral.zst clock2 cache size     4523, 1192318 req, miss ratio 0.4953, byte miss ratio 0.4953
result/tencentBlock.ns20203.oracleGeneral.zst clock2 cache size    15079, 1192318 req, miss ratio 0.4946, byte miss ratio 0.4946
result/tencentBlock.ns20203.oracleGeneral.zst clock2 cache size    30158, 1192318 req, miss ratio 0.4298, byte miss ratio 0.4298
result/tencentBlock.ns20203.oracleGeneral.zst clock2 cache size    60316, 1192318 req, miss ratio 0.3692, byte miss ratio 0.3692
result/tencentBlock.ns20203.oracleGeneral.zst clock2 cache size   120633, 1192318 req, miss ratio 0.1382, byte miss ratio 0.1382
result/tencentBlock.ns20203.oracleGeneral.zst FIFO cache size      150, 1192318 req, miss ratio 0.5985, byte miss ratio 0.5985
result/tencentBlock.ns20203.oracleGeneral.zst FIFO cache size      452, 1192318 req, miss ratio 0.5331, byte miss ratio 0.5331
result/tencentBlock.ns20203.oracleGeneral.zst FIFO cache size     1507, 1192318 req, miss ratio 0.5086, byte miss ratio 0.5086
result/tencentBlock.ns20203.oracleGeneral.zst FIFO cache size     4523, 1192318 req, miss ratio 0.4999, byte miss ratio 0.4999
result/tencentBlock.ns20203.oracleGeneral.zst FIFO cache size    15079, 1192318 req, miss ratio 0.4963, byte miss ratio 0.4963
result/tencentBlock.ns20203.oracleGeneral.zst FIFO cache size    30158, 1192318 req, miss ratio 0.4466, byte miss ratio 0.4466
result/tencentBlock.ns20203.oracleGeneral.zst FIFO cache size    60316, 1192318 req, miss ratio 0.3082, byte miss ratio 0.3082
result/tencentBlock.ns20203.oracleGeneral.zst FIFO cache size   120633, 1192318 req, miss ratio 0.1837, byte miss ratio 0.1837
result/tencentBlock.ns20203.oracleGeneral.zst S3FIFO-1 cache size      150, 1192318 req, miss ratio 0.5091, byte miss ratio 0.5091
result/tencentBlock.ns20203.oracleGeneral.zst S3FIFO-1 cache size      452, 1192318 req, miss ratio 0.4988, byte miss ratio 0.4988
result/tencentBlock.ns20203.oracleGeneral.zst S3FIFO-1 cache size     1507, 1192318 req, miss ratio 0.4959, byte miss ratio 0.4959
