result/tencentBlock.ns9171.oracleGeneral.zst Clock cache size      312, 3539302 req, miss ratio 0.5236, byte miss ratio 0.5236
result/tencentBlock.ns9171.oracleGeneral.zst Clock cache size      936, 3539302 req, miss ratio 0.4035, byte miss ratio 0.4035
result/tencentBlock.ns9171.oracleGeneral.zst Clock cache size     3120, 3539302 req, miss ratio 0.2549, byte miss ratio 0.2549
result/tencentBlock.ns9171.oracleGeneral.zst Clock cache size     9362, 3539302 req, miss ratio 0.2191, byte miss ratio 0.2191
result/tencentBlock.ns9171.oracleGeneral.zst Clock cache size    31208, 3539302 req, miss ratio 0.1582, byte miss ratio 0.1582
result/tencentBlock.ns9171.oracleGeneral.zst Clock cache size    62416, 3539302 req, miss ratio 0.1231, byte miss ratio 0.1231
result/tencentBlock.ns9171.oracleGeneral.zst Clock cache size   124833, 3539302 req, miss ratio 0.0982, byte miss ratio 0.0982
result/tencentBlock.ns9171.oracleGeneral.zst Clock cache size   249667, 3539302 req, miss ratio 0.0885, byte miss ratio 0.0885
result/tencentBlock.ns9171.oracleGeneral.zst LIRS cache size      312, 3539302 req, miss ratio 0.5190, byte miss ratio 0.5190
result/tencentBlock.ns9171.oracleGeneral.zst LIRS cache size      936, 3539302 req, miss ratio 0.3704, byte miss ratio 0.3704
result/tencentBlock.ns9171.oracleGeneral.zst LIRS cache size     3120, 3539302 req, miss ratio 0.2568, byte miss ratio 0.2568
result/tencentBlock.ns9171.oracleGeneral.zst LIRS cache size     9362, 3539302 req, miss ratio 0.2133, byte miss ratio 0.2133
result/tencentBlock.ns9171.oracleGeneral.zst LIRS cache size    31208, 3539302 req, miss ratio 0.1679, byte miss ratio 0.1679
result/tencentBlock.ns9171.oracleGeneral.zst LIRS cache size    62416, 3539302 req, miss ratio 0.1342, byte miss ratio 0.1342
result/tencentBlock.ns9171.oracleGeneral.zst LIRS cache size   124833, 3539302 req, miss ratio 0.1052, byte miss ratio 0.1052
result/tencentBlock.ns9171.oracleGeneral.zst LIRS cache size   249667, 3539302 req, miss ratio 0.0912, byte miss ratio 0.0912
result/tencentBlock.ns9171.oracleGeneral.zst LRU cache size      312, 3539302 req, miss ratio 0.5291, byte miss ratio 0.5291
result/tencentBlock.ns9171.oracleGeneral.zst LRU cache size      936, 3539302 req, miss ratio 0.4075, byte miss ratio 0.4075
result/tencentBlock.ns9171.oracleGeneral.zst LRU cache size     3120, 3539302 req, miss ratio 0.2610, byte miss ratio 0.2610
result/tencentBlock.ns9171.oracleGeneral.zst LRU cache size     9362, 3539302 req, miss ratio 0.2195, byte miss ratio 0.2195
result/tencentBlock.ns9171.oracleGeneral.zst LRU cache size    31208, 3539302 req, miss ratio 0.1532, byte miss ratio 0.1532
result/tencentBlock.ns9171.oracleGeneral.zst LRU cache size    62416, 3539302 req, miss ratio 0.1188, byte miss ratio 0.1188
result/tencentBlock.ns9171.oracleGeneral.zst LRU cache size   124833, 3539302 req, miss ratio 0.0959, byte miss ratio 0.0959
result/tencentBlock.ns9171.oracleGeneral.zst LRU cache size   249667, 3539302 req, miss ratio 0.0882, byte miss ratio 0.0882
result/tencentBlock.ns9171.oracleGeneral.zst LHD cache size      312, 3539302 req, miss ratio 0.5150, byte miss ratio 0.5150
result/tencentBlock.ns9171.oracleGeneral.zst LHD cache size      936, 3539302 req, miss ratio 0.3947, byte miss ratio 0.3947
result/tencentBlock.ns9171.oracleGeneral.zst LHD cache size     3120, 3539302 req, miss ratio 0.2467, byte miss ratio 0.2467
result/tencentBlock.ns9171.oracleGeneral.zst LHD cache size     9362, 3539302 req, miss ratio 0.2133, byte miss ratio 0.2133
result/tencentBlock.ns9171.oracleGeneral.zst LHD cache size    31208, 3539302 req, miss ratio 0.1537, byte miss ratio 0.1537
result/tencentBlock.ns9171.oracleGeneral.zst LHD cache size    62416, 3539302 req, miss ratio 0.1144, byte miss ratio 0.1144
result/tencentBlock.ns9171.oracleGeneral.zst LHD cache size   124833, 3539302 req, miss ratio 0.0964, byte miss ratio 0.0964
result/tencentBlock.ns9171.oracleGeneral.zst LHD cache size   249667, 3539302 req, miss ratio 0.0884, byte miss ratio 0.0884
result/tencentBlock.ns9171.oracleGeneral.zst ARC cache size      312, 3539302 req, miss ratio 0.5050, byte miss ratio 0.5050
result/tencentBlock.ns9171.oracleGeneral.zst ARC cache size      936, 3539302 req, miss ratio 0.3620, byte miss ratio 0.3620
result/tencentBlock.ns9171.oracleGeneral.zst ARC cache size     3120, 3539302 req, miss ratio 0.2415, byte miss ratio 0.2415
result/tencentBlock.ns9171.oracleGeneral.zst ARC cache size     9362, 3539302 req, miss ratio 0.2116, byte miss ratio 0.2116
result/tencentBlock.ns9171.oracleGeneral.zst ARC cache size    31208, 3539302 req, miss ratio 0.1556, byte miss ratio 0.1556
result/tencentBlock.ns9171.oracleGeneral.zst ARC cache size    62416, 3539302 req, miss ratio 0.1229, byte miss ratio 0.1229
result/tencentBlock.ns9171.oracleGeneral.zst ARC cache size   124833, 3539302 req, miss ratio 0.0960, byte miss ratio 0.0960
result/tencentBlock.ns9171.oracleGeneral.zst ARC cache size   249667, 3539302 req, miss ratio 0.0885, byte miss ratio 0.0885
result/tencentBlock.ns9171.oracleGeneral.zst FIFO cache size      312, 3539302 req, miss ratio 0.6155, byte miss ratio 0.6155
result/tencentBlock.ns9171.oracleGeneral.zst FIFO cache size      936, 3539302 req, miss ratio 0.4507, byte miss ratio 0.4507
result/tencentBlock.ns9171.oracleGeneral.zst FIFO cache size     3120, 3539302 req, miss ratio 0.3131, byte miss ratio 0.3131
result/tencentBlock.ns9171.oracleGeneral.zst FIFO cache size     9362, 3539302 req, miss ratio 0.2432, byte miss ratio 0.2432
result/tencentBlock.ns9171.oracleGeneral.zst FIFO cache size    31208, 3539302 req, miss ratio 0.1647, byte miss ratio 0.1647
result/tencentBlock.ns9171.oracleGeneral.zst FIFO cache size    62416, 3539302 req, miss ratio 0.1284, byte miss ratio 0.1284
result/tencentBlock.ns9171.oracleGeneral.zst FIFO cache size   124833, 3539302 req, miss ratio 0.1085, byte miss ratio 0.1085
result/tencentBlock.ns9171.oracleGeneral.zst FIFO cache size   249667, 3539302 req, miss ratio 0.0931, byte miss ratio 0.0931
result/tencentBlock.ns9171.oracleGeneral.zst Cacheus cache size      312, 3539302 req, miss ratio 0.5043, byte miss ratio 0.5043
result/tencentBlock.ns9171.oracleGeneral.zst Cacheus cache size      936, 3539302 req, miss ratio 0.3765, byte miss ratio 0.3765
result/tencentBlock.ns9171.oracleGeneral.zst Cacheus cache size     3120, 3539302 req, miss ratio 0.2440, byte miss ratio 0.2440
result/tencentBlock.ns9171.oracleGeneral.zst Cacheus cache size     9362, 3539302 req, miss ratio 0.2179, byte miss ratio 0.2179
result/tencentBlock.ns9171.oracleGeneral.zst Cacheus cache size    31208, 3539302 req, miss ratio 0.1559, byte miss ratio 0.1559
result/tencentBlock.ns9171.oracleGeneral.zst Cacheus cache size    62416, 3539302 req, miss ratio 0.1259, byte miss ratio 0.1259
result/tencentBlock.ns9171.oracleGeneral.zst Cacheus cache size   124833, 3539302 req, miss ratio 0.0961, byte miss ratio 0.0961
result/tencentBlock.ns9171.oracleGeneral.zst Cacheus cache size   249667, 3539302 req, miss ratio 0.0885, byte miss ratio 0.0885
