result/tencentBlock.ns2363.oracleGeneral.zst Clock cache size      495, 5373101 req, miss ratio 0.4797, byte miss ratio 0.4797
result/tencentBlock.ns2363.oracleGeneral.zst Clock cache size     1486, 5373101 req, miss ratio 0.4010, byte miss ratio 0.4010
result/tencentBlock.ns2363.oracleGeneral.zst Clock cache size     4955, 5373101 req, miss ratio 0.3307, byte miss ratio 0.3307
result/tencentBlock.ns2363.oracleGeneral.zst Clock cache size    14865, 5373101 req, miss ratio 0.2697, byte miss ratio 0.2697
result/tencentBlock.ns2363.oracleGeneral.zst Clock cache size    49552, 5373101 req, miss ratio 0.2369, byte miss ratio 0.2369
result/tencentBlock.ns2363.oracleGeneral.zst Clock cache size    99105, 5373101 req, miss ratio 0.1826, byte miss ratio 0.1826
result/tencentBlock.ns2363.oracleGeneral.zst Clock cache size   198210, 5373101 req, miss ratio 0.1143, byte miss ratio 0.1143
result/tencentBlock.ns2363.oracleGeneral.zst Clock cache size   396420, 5373101 req, miss ratio 0.0933, byte miss ratio 0.0933
result/tencentBlock.ns2363.oracleGeneral.zst LIRS cache size      495, 5373101 req, miss ratio 0.4703, byte miss ratio 0.4703
result/tencentBlock.ns2363.oracleGeneral.zst LIRS cache size     1486, 5373101 req, miss ratio 0.4043, byte miss ratio 0.4043
result/tencentBlock.ns2363.oracleGeneral.zst LIRS cache size     4955, 5373101 req, miss ratio 0.3232, byte miss ratio 0.3232
result/tencentBlock.ns2363.oracleGeneral.zst LIRS cache size    14865, 5373101 req, miss ratio 0.2993, byte miss ratio 0.2993
result/tencentBlock.ns2363.oracleGeneral.zst LIRS cache size    49552, 5373101 req, miss ratio 0.2523, byte miss ratio 0.2523
result/tencentBlock.ns2363.oracleGeneral.zst LIRS cache size    99105, 5373101 req, miss ratio 0.1727, byte miss ratio 0.1727
result/tencentBlock.ns2363.oracleGeneral.zst LIRS cache size   198210, 5373101 req, miss ratio 0.1076, byte miss ratio 0.1076
result/tencentBlock.ns2363.oracleGeneral.zst LIRS cache size   396420, 5373101 req, miss ratio 0.0938, byte miss ratio 0.0938
result/tencentBlock.ns2363.oracleGeneral.zst clock2 cache size      495, 5373101 req, miss ratio 0.4855, byte miss ratio 0.4855
result/tencentBlock.ns2363.oracleGeneral.zst clock2 cache size     1486, 5373101 req, miss ratio 0.4027, byte miss ratio 0.4027
result/tencentBlock.ns2363.oracleGeneral.zst clock2 cache size     4955, 5373101 req, miss ratio 0.3322, byte miss ratio 0.3322
result/tencentBlock.ns2363.oracleGeneral.zst clock2 cache size    14865, 5373101 req, miss ratio 0.2706, byte miss ratio 0.2706
result/tencentBlock.ns2363.oracleGeneral.zst clock2 cache size    49552, 5373101 req, miss ratio 0.2421, byte miss ratio 0.2421
result/tencentBlock.ns2363.oracleGeneral.zst clock2 cache size    99105, 5373101 req, miss ratio 0.1971, byte miss ratio 0.1971
result/tencentBlock.ns2363.oracleGeneral.zst clock2 cache size   198210, 5373101 req, miss ratio 0.1172, byte miss ratio 0.1172
result/tencentBlock.ns2363.oracleGeneral.zst clock2 cache size   396420, 5373101 req, miss ratio 0.0933, byte miss ratio 0.0933
result/tencentBlock.ns2363.oracleGeneral.zst FIFO cache size      495, 5373101 req, miss ratio 0.5654, byte miss ratio 0.5654
result/tencentBlock.ns2363.oracleGeneral.zst FIFO cache size     1486, 5373101 req, miss ratio 0.4459, byte miss ratio 0.4459
