result/tencentBlock.ns2315.oracleGeneral.zst LeCaR cache size      316, 1943119 req, miss ratio 0.7620, byte miss ratio 0.7620
result/tencentBlock.ns2315.oracleGeneral.zst LeCaR cache size      949, 1943119 req, miss ratio 0.7550, byte miss ratio 0.7550
result/tencentBlock.ns2315.oracleGeneral.zst LeCaR cache size     3165, 1943119 req, miss ratio 0.7502, byte miss ratio 0.7502
result/tencentBlock.ns2315.oracleGeneral.zst LeCaR cache size     9496, 1943119 req, miss ratio 0.7457, byte miss ratio 0.7457
result/tencentBlock.ns2315.oracleGeneral.zst LeCaR cache size    31656, 1943119 req, miss ratio 0.7311, byte miss ratio 0.7311
result/tencentBlock.ns2315.oracleGeneral.zst LeCaR cache size    63312, 1943119 req, miss ratio 0.6973, byte miss ratio 0.6973
result/tencentBlock.ns2315.oracleGeneral.zst LeCaR cache size   126625, 1943119 req, miss ratio 0.5931, byte miss ratio 0.5931
result/tencentBlock.ns2315.oracleGeneral.zst LeCaR cache size   253251, 1943119 req, miss ratio 0.1710, byte miss ratio 0.1710
result/tencentBlock.ns2315.oracleGeneral.zst LHD cache size      316, 1943119 req, miss ratio 0.7628, byte miss ratio 0.7628
result/tencentBlock.ns2315.oracleGeneral.zst LHD cache size      949, 1943119 req, miss ratio 0.7559, byte miss ratio 0.7559
result/tencentBlock.ns2315.oracleGeneral.zst LHD cache size     3165, 1943119 req, miss ratio 0.7497, byte miss ratio 0.7497
result/tencentBlock.ns2315.oracleGeneral.zst LHD cache size     9496, 1943119 req, miss ratio 0.7450, byte miss ratio 0.7450
result/tencentBlock.ns2315.oracleGeneral.zst LHD cache size    31656, 1943119 req, miss ratio 0.7111, byte miss ratio 0.7111
result/tencentBlock.ns2315.oracleGeneral.zst LHD cache size    63312, 1943119 req, miss ratio 0.6470, byte miss ratio 0.6470
result/tencentBlock.ns2315.oracleGeneral.zst LHD cache size   126625, 1943119 req, miss ratio 0.4743, byte miss ratio 0.4743
result/tencentBlock.ns2315.oracleGeneral.zst LHD cache size   253251, 1943119 req, miss ratio 0.1728, byte miss ratio 0.1728
