result/tencentBlock.ns10633.oracleGeneral.zst LHD cache size      117, 2490464 req, miss ratio 0.1903, byte miss ratio 0.1903
result/tencentBlock.ns10633.oracleGeneral.zst LHD cache size      353, 2490464 req, miss ratio 0.1843, byte miss ratio 0.1843
result/tencentBlock.ns10633.oracleGeneral.zst LHD cache size     1177, 2490464 req, miss ratio 0.1838, byte miss ratio 0.1838
result/tencentBlock.ns10633.oracleGeneral.zst LHD cache size     3531, 2490464 req, miss ratio 0.1805, byte miss ratio 0.1805
result/tencentBlock.ns10633.oracleGeneral.zst LHD cache size    11770, 2490464 req, miss ratio 0.1675, byte miss ratio 0.1675
result/tencentBlock.ns10633.oracleGeneral.zst LHD cache size    23540, 2490464 req, miss ratio 0.1322, byte miss ratio 0.1322
result/tencentBlock.ns10633.oracleGeneral.zst LHD cache size    47081, 2490464 req, miss ratio 0.0850, byte miss ratio 0.0850
result/tencentBlock.ns10633.oracleGeneral.zst LHD cache size    94162, 2490464 req, miss ratio 0.0522, byte miss ratio 0.0522
result/tencentBlock.ns10633.oracleGeneral.zst FIFO cache size      117, 2490464 req, miss ratio 0.2738, byte miss ratio 0.2738
result/tencentBlock.ns10633.oracleGeneral.zst FIFO cache size      353, 2490464 req, miss ratio 0.2130, byte miss ratio 0.2130
result/tencentBlock.ns10633.oracleGeneral.zst FIFO cache size     1177, 2490464 req, miss ratio 0.1926, byte miss ratio 0.1926
result/tencentBlock.ns10633.oracleGeneral.zst FIFO cache size     3531, 2490464 req, miss ratio 0.1868, byte miss ratio 0.1868
result/tencentBlock.ns10633.oracleGeneral.zst FIFO cache size    11770, 2490464 req, miss ratio 0.1848, byte miss ratio 0.1848
result/tencentBlock.ns10633.oracleGeneral.zst FIFO cache size    23540, 2490464 req, miss ratio 0.1546, byte miss ratio 0.1546
result/tencentBlock.ns10633.oracleGeneral.zst FIFO cache size    47081, 2490464 req, miss ratio 0.1104, byte miss ratio 0.1104
result/tencentBlock.ns10633.oracleGeneral.zst FIFO cache size    94162, 2490464 req, miss ratio 0.0594, byte miss ratio 0.0594
result/tencentBlock.ns10633.oracleGeneral.zst clock2 cache size      117, 2490464 req, miss ratio 0.1991, byte miss ratio 0.1991
result/tencentBlock.ns10633.oracleGeneral.zst clock2 cache size      353, 2490464 req, miss ratio 0.1840, byte miss ratio 0.1840
result/tencentBlock.ns10633.oracleGeneral.zst clock2 cache size     1177, 2490464 req, miss ratio 0.1840, byte miss ratio 0.1840
result/tencentBlock.ns10633.oracleGeneral.zst clock2 cache size     3531, 2490464 req, miss ratio 0.1839, byte miss ratio 0.1839
result/tencentBlock.ns10633.oracleGeneral.zst clock2 cache size    11770, 2490464 req, miss ratio 0.1839, byte miss ratio 0.1839
result/tencentBlock.ns10633.oracleGeneral.zst clock2 cache size    23540, 2490464 req, miss ratio 0.1372, byte miss ratio 0.1372
result/tencentBlock.ns10633.oracleGeneral.zst clock2 cache size    47081, 2490464 req, miss ratio 0.0849, byte miss ratio 0.0849
result/tencentBlock.ns10633.oracleGeneral.zst clock2 cache size    94162, 2490464 req, miss ratio 0.0514, byte miss ratio 0.0514
result/tencentBlock.ns10633.oracleGeneral.zst LRU cache size      117, 2490464 req, miss ratio 0.2016, byte miss ratio 0.2016
result/tencentBlock.ns10633.oracleGeneral.zst LRU cache size      353, 2490464 req, miss ratio 0.1844, byte miss ratio 0.1844
result/tencentBlock.ns10633.oracleGeneral.zst LRU cache size     1177, 2490464 req, miss ratio 0.1840, byte miss ratio 0.1840
result/tencentBlock.ns10633.oracleGeneral.zst LRU cache size     3531, 2490464 req, miss ratio 0.1840, byte miss ratio 0.1840
result/tencentBlock.ns10633.oracleGeneral.zst LRU cache size    11770, 2490464 req, miss ratio 0.1839, byte miss ratio 0.1839
result/tencentBlock.ns10633.oracleGeneral.zst LRU cache size    23540, 2490464 req, miss ratio 0.1398, byte miss ratio 0.1398
result/tencentBlock.ns10633.oracleGeneral.zst LRU cache size    47081, 2490464 req, miss ratio 0.0943, byte miss ratio 0.0943
result/tencentBlock.ns10633.oracleGeneral.zst LRU cache size    94162, 2490464 req, miss ratio 0.0518, byte miss ratio 0.0518
result/tencentBlock.ns10633.oracleGeneral.zst Clock cache size      117, 2490464 req, miss ratio 0.2009, byte miss ratio 0.2009
result/tencentBlock.ns10633.oracleGeneral.zst Clock cache size      353, 2490464 req, miss ratio 0.1841, byte miss ratio 0.1841
result/tencentBlock.ns10633.oracleGeneral.zst Clock cache size     1177, 2490464 req, miss ratio 0.1840, byte miss ratio 0.1840
result/tencentBlock.ns10633.oracleGeneral.zst Clock cache size     3531, 2490464 req, miss ratio 0.1840, byte miss ratio 0.1840
result/tencentBlock.ns10633.oracleGeneral.zst Clock cache size    11770, 2490464 req, miss ratio 0.1839, byte miss ratio 0.1839
result/tencentBlock.ns10633.oracleGeneral.zst Clock cache size    23540, 2490464 req, miss ratio 0.1378, byte miss ratio 0.1378
result/tencentBlock.ns10633.oracleGeneral.zst Clock cache size    47081, 2490464 req, miss ratio 0.0892, byte miss ratio 0.0892
result/tencentBlock.ns10633.oracleGeneral.zst Clock cache size    94162, 2490464 req, miss ratio 0.0515, byte miss ratio 0.0515
result/tencentBlock.ns10633.oracleGeneral.zst Cacheus cache size      117, 2490464 req, miss ratio 0.1885, byte miss ratio 0.1885
result/tencentBlock.ns10633.oracleGeneral.zst Cacheus cache size      353, 2490464 req, miss ratio 0.1840, byte miss ratio 0.1840
result/tencentBlock.ns10633.oracleGeneral.zst Cacheus cache size     1177, 2490464 req, miss ratio 0.1829, byte miss ratio 0.1829
result/tencentBlock.ns10633.oracleGeneral.zst Cacheus cache size     3531, 2490464 req, miss ratio 0.1829, byte miss ratio 0.1829
result/tencentBlock.ns10633.oracleGeneral.zst Cacheus cache size    11770, 2490464 req, miss ratio 0.1375, byte miss ratio 0.1375
result/tencentBlock.ns10633.oracleGeneral.zst Cacheus cache size    23540, 2490464 req, miss ratio 0.1076, byte miss ratio 0.1076
result/tencentBlock.ns10633.oracleGeneral.zst Cacheus cache size    47081, 2490464 req, miss ratio 0.0887, byte miss ratio 0.0887
result/tencentBlock.ns10633.oracleGeneral.zst Cacheus cache size    94162, 2490464 req, miss ratio 0.0517, byte miss ratio 0.0517
result/tencentBlock.ns10633.oracleGeneral.zst ARC cache size      117, 2490464 req, miss ratio 0.1908, byte miss ratio 0.1908
result/tencentBlock.ns10633.oracleGeneral.zst ARC cache size      353, 2490464 req, miss ratio 0.1836, byte miss ratio 0.1836
result/tencentBlock.ns10633.oracleGeneral.zst ARC cache size     1177, 2490464 req, miss ratio 0.1829, byte miss ratio 0.1829
result/tencentBlock.ns10633.oracleGeneral.zst ARC cache size     3531, 2490464 req, miss ratio 0.1829, byte miss ratio 0.1829
result/tencentBlock.ns10633.oracleGeneral.zst ARC cache size    11770, 2490464 req, miss ratio 0.1829, byte miss ratio 0.1829
result/tencentBlock.ns10633.oracleGeneral.zst ARC cache size    23540, 2490464 req, miss ratio 0.1102, byte miss ratio 0.1102
result/tencentBlock.ns10633.oracleGeneral.zst ARC cache size    47081, 2490464 req, miss ratio 0.0814, byte miss ratio 0.0814
result/tencentBlock.ns10633.oracleGeneral.zst ARC cache size    94162, 2490464 req, miss ratio 0.0518, byte miss ratio 0.0518
result/tencentBlock.ns10633.oracleGeneral.zst LeCaR cache size      117, 2490464 req, miss ratio 0.2005, byte miss ratio 0.2005
result/tencentBlock.ns10633.oracleGeneral.zst LeCaR cache size      353, 2490464 req, miss ratio 0.1845, byte miss ratio 0.1845
result/tencentBlock.ns10633.oracleGeneral.zst LeCaR cache size     1177, 2490464 req, miss ratio 0.1840, byte miss ratio 0.1840
result/tencentBlock.ns10633.oracleGeneral.zst LeCaR cache size     3531, 2490464 req, miss ratio 0.1840, byte miss ratio 0.1840
result/tencentBlock.ns10633.oracleGeneral.zst LeCaR cache size    11770, 2490464 req, miss ratio 0.1839, byte miss ratio 0.1839
result/tencentBlock.ns10633.oracleGeneral.zst LeCaR cache size    23540, 2490464 req, miss ratio 0.1381, byte miss ratio 0.1381
result/tencentBlock.ns10633.oracleGeneral.zst LeCaR cache size    47081, 2490464 req, miss ratio 0.0900, byte miss ratio 0.0900
result/tencentBlock.ns10633.oracleGeneral.zst LeCaR cache size    94162, 2490464 req, miss ratio 0.0514, byte miss ratio 0.0514
result/tencentBlock.ns10633.oracleGeneral.zst LIRS cache size      117, 2490464 req, miss ratio 0.1906, byte miss ratio 0.1906
result/tencentBlock.ns10633.oracleGeneral.zst LIRS cache size      353, 2490464 req, miss ratio 0.1836, byte miss ratio 0.1836
result/tencentBlock.ns10633.oracleGeneral.zst LIRS cache size     1177, 2490464 req, miss ratio 0.1805, byte miss ratio 0.1805
result/tencentBlock.ns10633.oracleGeneral.zst LIRS cache size     3531, 2490464 req, miss ratio 0.1730, byte miss ratio 0.1730
result/tencentBlock.ns10633.oracleGeneral.zst LIRS cache size    11770, 2490464 req, miss ratio 0.1402, byte miss ratio 0.1402
