result/tencentBlock.ns19288.oracleGeneral.zst LeCaR cache size      309, 1432977 req, miss ratio 0.5508, byte miss ratio 0.5508
result/tencentBlock.ns19288.oracleGeneral.zst LeCaR cache size      928, 1432977 req, miss ratio 0.5426, byte miss ratio 0.5426
result/tencentBlock.ns19288.oracleGeneral.zst LeCaR cache size     3095, 1432977 req, miss ratio 0.5410, byte miss ratio 0.5410
result/tencentBlock.ns19288.oracleGeneral.zst LeCaR cache size     9287, 1432977 req, miss ratio 0.5400, byte miss ratio 0.5400
result/tencentBlock.ns19288.oracleGeneral.zst LeCaR cache size    30958, 1432977 req, miss ratio 0.4475, byte miss ratio 0.4475
result/tencentBlock.ns19288.oracleGeneral.zst LeCaR cache size    61917, 1432977 req, miss ratio 0.4077, byte miss ratio 0.4077
result/tencentBlock.ns19288.oracleGeneral.zst LeCaR cache size   123834, 1432977 req, miss ratio 0.2427, byte miss ratio 0.2427
result/tencentBlock.ns19288.oracleGeneral.zst LeCaR cache size   247668, 1432977 req, miss ratio 0.2165, byte miss ratio 0.2165
result/tencentBlock.ns19288.oracleGeneral.zst Clock cache size      309, 1432977 req, miss ratio 0.5523, byte miss ratio 0.5523
result/tencentBlock.ns19288.oracleGeneral.zst Clock cache size      928, 1432977 req, miss ratio 0.5427, byte miss ratio 0.5427
result/tencentBlock.ns19288.oracleGeneral.zst Clock cache size     3095, 1432977 req, miss ratio 0.5412, byte miss ratio 0.5412
result/tencentBlock.ns19288.oracleGeneral.zst Clock cache size     9287, 1432977 req, miss ratio 0.5400, byte miss ratio 0.5400
result/tencentBlock.ns19288.oracleGeneral.zst Clock cache size    30958, 1432977 req, miss ratio 0.4542, byte miss ratio 0.4542
result/tencentBlock.ns19288.oracleGeneral.zst Clock cache size    61917, 1432977 req, miss ratio 0.4155, byte miss ratio 0.4155
result/tencentBlock.ns19288.oracleGeneral.zst Clock cache size   123834, 1432977 req, miss ratio 0.2747, byte miss ratio 0.2747
result/tencentBlock.ns19288.oracleGeneral.zst Clock cache size   247668, 1432977 req, miss ratio 0.2171, byte miss ratio 0.2171
result/tencentBlock.ns19288.oracleGeneral.zst FIFO cache size      309, 1432977 req, miss ratio 0.5837, byte miss ratio 0.5837
result/tencentBlock.ns19288.oracleGeneral.zst FIFO cache size      928, 1432977 req, miss ratio 0.5566, byte miss ratio 0.5566
result/tencentBlock.ns19288.oracleGeneral.zst FIFO cache size     3095, 1432977 req, miss ratio 0.5456, byte miss ratio 0.5456
result/tencentBlock.ns19288.oracleGeneral.zst FIFO cache size     9287, 1432977 req, miss ratio 0.5418, byte miss ratio 0.5418
result/tencentBlock.ns19288.oracleGeneral.zst FIFO cache size    30958, 1432977 req, miss ratio 0.4864, byte miss ratio 0.4864
result/tencentBlock.ns19288.oracleGeneral.zst FIFO cache size    61917, 1432977 req, miss ratio 0.4167, byte miss ratio 0.4167
result/tencentBlock.ns19288.oracleGeneral.zst FIFO cache size   123834, 1432977 req, miss ratio 0.3113, byte miss ratio 0.3113
result/tencentBlock.ns19288.oracleGeneral.zst FIFO cache size   247668, 1432977 req, miss ratio 0.2379, byte miss ratio 0.2379
result/tencentBlock.ns19288.oracleGeneral.zst clock2 cache size      309, 1432977 req, miss ratio 0.5507, byte miss ratio 0.5507
result/tencentBlock.ns19288.oracleGeneral.zst clock2 cache size      928, 1432977 req, miss ratio 0.5428, byte miss ratio 0.5428
result/tencentBlock.ns19288.oracleGeneral.zst clock2 cache size     3095, 1432977 req, miss ratio 0.5412, byte miss ratio 0.5412
result/tencentBlock.ns19288.oracleGeneral.zst clock2 cache size     9287, 1432977 req, miss ratio 0.5400, byte miss ratio 0.5400
result/tencentBlock.ns19288.oracleGeneral.zst clock2 cache size    30958, 1432977 req, miss ratio 0.4542, byte miss ratio 0.4542
result/tencentBlock.ns19288.oracleGeneral.zst clock2 cache size    61917, 1432977 req, miss ratio 0.4196, byte miss ratio 0.4196
result/tencentBlock.ns19288.oracleGeneral.zst clock2 cache size   123834, 1432977 req, miss ratio 0.2949, byte miss ratio 0.2949
result/tencentBlock.ns19288.oracleGeneral.zst clock2 cache size   247668, 1432977 req, miss ratio 0.2171, byte miss ratio 0.2171
result/tencentBlock.ns19288.oracleGeneral.zst ARC cache size      309, 1432977 req, miss ratio 0.5444, byte miss ratio 0.5444
result/tencentBlock.ns19288.oracleGeneral.zst ARC cache size      928, 1432977 req, miss ratio 0.5421, byte miss ratio 0.5421
result/tencentBlock.ns19288.oracleGeneral.zst ARC cache size     3095, 1432977 req, miss ratio 0.5410, byte miss ratio 0.5410
result/tencentBlock.ns19288.oracleGeneral.zst ARC cache size     9287, 1432977 req, miss ratio 0.5401, byte miss ratio 0.5401
result/tencentBlock.ns19288.oracleGeneral.zst ARC cache size    30958, 1432977 req, miss ratio 0.4493, byte miss ratio 0.4493
result/tencentBlock.ns19288.oracleGeneral.zst ARC cache size    61917, 1432977 req, miss ratio 0.3885, byte miss ratio 0.3885
result/tencentBlock.ns19288.oracleGeneral.zst ARC cache size   123834, 1432977 req, miss ratio 0.2478, byte miss ratio 0.2478
result/tencentBlock.ns19288.oracleGeneral.zst ARC cache size   247668, 1432977 req, miss ratio 0.2171, byte miss ratio 0.2171
result/tencentBlock.ns19288.oracleGeneral.zst LRU cache size      309, 1432977 req, miss ratio 0.5525, byte miss ratio 0.5525
result/tencentBlock.ns19288.oracleGeneral.zst LRU cache size      928, 1432977 req, miss ratio 0.5427, byte miss ratio 0.5427
result/tencentBlock.ns19288.oracleGeneral.zst LRU cache size     3095, 1432977 req, miss ratio 0.5410, byte miss ratio 0.5410
result/tencentBlock.ns19288.oracleGeneral.zst LRU cache size     9287, 1432977 req, miss ratio 0.5401, byte miss ratio 0.5401
result/tencentBlock.ns19288.oracleGeneral.zst LRU cache size    30958, 1432977 req, miss ratio 0.4547, byte miss ratio 0.4547
result/tencentBlock.ns19288.oracleGeneral.zst LRU cache size    61917, 1432977 req, miss ratio 0.4098, byte miss ratio 0.4098
result/tencentBlock.ns19288.oracleGeneral.zst LRU cache size   123834, 1432977 req, miss ratio 0.2487, byte miss ratio 0.2487
result/tencentBlock.ns19288.oracleGeneral.zst LRU cache size   247668, 1432977 req, miss ratio 0.2165, byte miss ratio 0.2165
result/tencentBlock.ns19288.oracleGeneral.zst LHD cache size      309, 1432977 req, miss ratio 0.5497, byte miss ratio 0.5497
result/tencentBlock.ns19288.oracleGeneral.zst LHD cache size      928, 1432977 req, miss ratio 0.5427, byte miss ratio 0.5427
result/tencentBlock.ns19288.oracleGeneral.zst LHD cache size     3095, 1432977 req, miss ratio 0.5409, byte miss ratio 0.5409
result/tencentBlock.ns19288.oracleGeneral.zst LHD cache size     9287, 1432977 req, miss ratio 0.5314, byte miss ratio 0.5314
result/tencentBlock.ns19288.oracleGeneral.zst LHD cache size    30958, 1432977 req, miss ratio 0.4426, byte miss ratio 0.4426
result/tencentBlock.ns19288.oracleGeneral.zst LHD cache size    61917, 1432977 req, miss ratio 0.3835, byte miss ratio 0.3835
result/tencentBlock.ns19288.oracleGeneral.zst LHD cache size   123834, 1432977 req, miss ratio 0.2562, byte miss ratio 0.2562
result/tencentBlock.ns19288.oracleGeneral.zst LHD cache size   247668, 1432977 req, miss ratio 0.2171, byte miss ratio 0.2171
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO-1 cache size      309, 1432977 req, miss ratio 0.5457, byte miss ratio 0.5457
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO-1 cache size      928, 1432977 req, miss ratio 0.5419, byte miss ratio 0.5419
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO-1 cache size     3095, 1432977 req, miss ratio 0.5407, byte miss ratio 0.5407
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO-1 cache size     9287, 1432977 req, miss ratio 0.5395, byte miss ratio 0.5395
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO-1 cache size    30958, 1432977 req, miss ratio 0.4373, byte miss ratio 0.4373
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO-1 cache size    61917, 1432977 req, miss ratio 0.3763, byte miss ratio 0.3763
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO-1 cache size   123834, 1432977 req, miss ratio 0.2511, byte miss ratio 0.2511
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO-1 cache size   247668, 1432977 req, miss ratio 0.2171, byte miss ratio 0.2171
result/tencentBlock.ns19288.oracleGeneral.zst LIRS cache size      309, 1432977 req, miss ratio 0.6532, byte miss ratio 0.6532
result/tencentBlock.ns19288.oracleGeneral.zst LIRS cache size      928, 1432977 req, miss ratio 0.5577, byte miss ratio 0.5577
result/tencentBlock.ns19288.oracleGeneral.zst LIRS cache size     3095, 1432977 req, miss ratio 0.5429, byte miss ratio 0.5429
result/tencentBlock.ns19288.oracleGeneral.zst LIRS cache size     9287, 1432977 req, miss ratio 0.5281, byte miss ratio 0.5281
result/tencentBlock.ns19288.oracleGeneral.zst LIRS cache size    30958, 1432977 req, miss ratio 0.4386, byte miss ratio 0.4386
result/tencentBlock.ns19288.oracleGeneral.zst LIRS cache size    61917, 1432977 req, miss ratio 0.3848, byte miss ratio 0.3848
result/tencentBlock.ns19288.oracleGeneral.zst LIRS cache size   123834, 1432977 req, miss ratio 0.2390, byte miss ratio 0.2390
result/tencentBlock.ns19288.oracleGeneral.zst LIRS cache size   247668, 1432977 req, miss ratio 0.2166, byte miss ratio 0.2166
result/tencentBlock.ns19288.oracleGeneral.zst Cacheus cache size      309, 1432977 req, miss ratio 0.5444, byte miss ratio 0.5444
result/tencentBlock.ns19288.oracleGeneral.zst Cacheus cache size      928, 1432977 req, miss ratio 0.5421, byte miss ratio 0.5421
result/tencentBlock.ns19288.oracleGeneral.zst Cacheus cache size     3095, 1432977 req, miss ratio 0.5407, byte miss ratio 0.5407
result/tencentBlock.ns19288.oracleGeneral.zst Cacheus cache size     9287, 1432977 req, miss ratio 0.5398, byte miss ratio 0.5398
result/tencentBlock.ns19288.oracleGeneral.zst Cacheus cache size    30958, 1432977 req, miss ratio 0.4568, byte miss ratio 0.4568
result/tencentBlock.ns19288.oracleGeneral.zst Cacheus cache size    61917, 1432977 req, miss ratio 0.3975, byte miss ratio 0.3975
result/tencentBlock.ns19288.oracleGeneral.zst Cacheus cache size   123834, 1432977 req, miss ratio 0.2657, byte miss ratio 0.2657
result/tencentBlock.ns19288.oracleGeneral.zst Cacheus cache size   247668, 1432977 req, miss ratio 0.2171, byte miss ratio 0.2171
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO-d-1 cache size      309, 1432977 req, miss ratio 0.5445, byte miss ratio 0.5445
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO-d-1 cache size      928, 1432977 req, miss ratio 0.5419, byte miss ratio 0.5419
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO-d-1 cache size     3095, 1432977 req, miss ratio 0.5407, byte miss ratio 0.5407
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO-d-1 cache size     9287, 1432977 req, miss ratio 0.5395, byte miss ratio 0.5395
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO-d-1 cache size    30958, 1432977 req, miss ratio 0.4375, byte miss ratio 0.4375
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO-d-1 cache size    61917, 1432977 req, miss ratio 0.3755, byte miss ratio 0.3755
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO-d-1 cache size   123834, 1432977 req, miss ratio 0.2510, byte miss ratio 0.2510
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO-d-1 cache size   247668, 1432977 req, miss ratio 0.2171, byte miss ratio 0.2171
result/tencentBlock.ns19288.oracleGeneral.zst LRB cache size      309, 1432977 req, miss ratio 0.6529, byte miss ratio 0.6529
result/tencentBlock.ns19288.oracleGeneral.zst LRB cache size      928, 1432977 req, miss ratio 0.5814, byte miss ratio 0.5814
result/tencentBlock.ns19288.oracleGeneral.zst LRB cache size     3095, 1432977 req, miss ratio 0.5278, byte miss ratio 0.5278
result/tencentBlock.ns19288.oracleGeneral.zst LRB cache size     9287, 1432977 req, miss ratio 0.4905, byte miss ratio 0.4905
result/tencentBlock.ns19288.oracleGeneral.zst LRB cache size    30958, 1432977 req, miss ratio 0.3865, byte miss ratio 0.3865
result/tencentBlock.ns19288.oracleGeneral.zst LRB cache size    61917, 1432977 req, miss ratio 0.3052, byte miss ratio 0.3052
result/tencentBlock.ns19288.oracleGeneral.zst LRB cache size   123834, 1432977 req, miss ratio 0.2306, byte miss ratio 0.2306
result/tencentBlock.ns19288.oracleGeneral.zst LRB cache size   247668, 1432977 req, miss ratio 0.2165, byte miss ratio 0.2165
result/tencentBlock.ns19288.oracleGeneral.zst TwoQ cache size      309, 1432977 req, miss ratio 0.5482, byte miss ratio 0.5482
result/tencentBlock.ns19288.oracleGeneral.zst TwoQ cache size      928, 1432977 req, miss ratio 0.5422, byte miss ratio 0.5422
result/tencentBlock.ns19288.oracleGeneral.zst TwoQ cache size     3095, 1432977 req, miss ratio 0.5400, byte miss ratio 0.5400
result/tencentBlock.ns19288.oracleGeneral.zst TwoQ cache size     9287, 1432977 req, miss ratio 0.5392, byte miss ratio 0.5392
result/tencentBlock.ns19288.oracleGeneral.zst TwoQ cache size    30958, 1432977 req, miss ratio 0.4131, byte miss ratio 0.4131
result/tencentBlock.ns19288.oracleGeneral.zst TwoQ cache size    61917, 1432977 req, miss ratio 0.3486, byte miss ratio 0.3486
result/tencentBlock.ns19288.oracleGeneral.zst TwoQ cache size   123834, 1432977 req, miss ratio 0.2705, byte miss ratio 0.2705
result/tencentBlock.ns19288.oracleGeneral.zst TwoQ cache size   247668, 1432977 req, miss ratio 0.2379, byte miss ratio 0.2379
result/tencentBlock.ns19288.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      309, 1432977 req, miss ratio 0.5531, byte miss ratio 0.5531
result/tencentBlock.ns19288.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      928, 1432977 req, miss ratio 0.5438, byte miss ratio 0.5438
result/tencentBlock.ns19288.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3095, 1432977 req, miss ratio 0.5414, byte miss ratio 0.5414
result/tencentBlock.ns19288.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9287, 1432977 req, miss ratio 0.5384, byte miss ratio 0.5384
result/tencentBlock.ns19288.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    30958, 1432977 req, miss ratio 0.4857, byte miss ratio 0.4857
result/tencentBlock.ns19288.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    61917, 1432977 req, miss ratio 0.4385, byte miss ratio 0.4385
result/tencentBlock.ns19288.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   123834, 1432977 req, miss ratio 0.3288, byte miss ratio 0.3288
result/tencentBlock.ns19288.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   247668, 1432977 req, miss ratio 0.2300, byte miss ratio 0.2300
result/tencentBlock.ns19288.oracleGeneral.zst S4LRU(25:25:25:25) cache size      309, 1432977 req, miss ratio 0.5485, byte miss ratio 0.5485
result/tencentBlock.ns19288.oracleGeneral.zst S4LRU(25:25:25:25) cache size      928, 1432977 req, miss ratio 0.5459, byte miss ratio 0.5459
result/tencentBlock.ns19288.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3095, 1432977 req, miss ratio 0.5415, byte miss ratio 0.5415
result/tencentBlock.ns19288.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9287, 1432977 req, miss ratio 0.5373, byte miss ratio 0.5373
result/tencentBlock.ns19288.oracleGeneral.zst S4LRU(25:25:25:25) cache size    30958, 1432977 req, miss ratio 0.4779, byte miss ratio 0.4779
result/tencentBlock.ns19288.oracleGeneral.zst S4LRU(25:25:25:25) cache size    61917, 1432977 req, miss ratio 0.4126, byte miss ratio 0.4126
result/tencentBlock.ns19288.oracleGeneral.zst S4LRU(25:25:25:25) cache size   123834, 1432977 req, miss ratio 0.3092, byte miss ratio 0.3092
result/tencentBlock.ns19288.oracleGeneral.zst S4LRU(25:25:25:25) cache size   247668, 1432977 req, miss ratio 0.2171, byte miss ratio 0.2171
result/tencentBlock.ns19288.oracleGeneral.zst B-LRU cache size      309, 1432977 req, miss ratio 0.6608, byte miss ratio 0.6608
result/tencentBlock.ns19288.oracleGeneral.zst B-LRU cache size      928, 1432977 req, miss ratio 0.6547, byte miss ratio 0.6547
result/tencentBlock.ns19288.oracleGeneral.zst B-LRU cache size     3095, 1432977 req, miss ratio 0.6531, byte miss ratio 0.6531
result/tencentBlock.ns19288.oracleGeneral.zst B-LRU cache size     9287, 1432977 req, miss ratio 0.6478, byte miss ratio 0.6478
result/tencentBlock.ns19288.oracleGeneral.zst B-LRU cache size    30958, 1432977 req, miss ratio 0.5657, byte miss ratio 0.5657
result/tencentBlock.ns19288.oracleGeneral.zst B-LRU cache size    61917, 1432977 req, miss ratio 0.4806, byte miss ratio 0.4806
result/tencentBlock.ns19288.oracleGeneral.zst B-LRU cache size   123834, 1432977 req, miss ratio 0.3857, byte miss ratio 0.3857
result/tencentBlock.ns19288.oracleGeneral.zst B-LRU cache size   247668, 1432977 req, miss ratio 0.3782, byte miss ratio 0.3782
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO cache size      309, 1432977 req, miss ratio 0.5461, byte miss ratio 0.5461
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO cache size      928, 1432977 req, miss ratio 0.5432, byte miss ratio 0.5432
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO cache size     3095, 1432977 req, miss ratio 0.5405, byte miss ratio 0.5405
result/tencentBlock.ns19288.oracleGeneral.zst S3FIFO cache size     9287, 1432977 req, miss ratio 0.5393, byte miss ratio 0.5393
