result/tencentBlock.ns22313.oracleGeneral.zst FIFO cache size      234, 3354624 req, miss ratio 0.8129, byte miss ratio 0.8129
result/tencentBlock.ns22313.oracleGeneral.zst FIFO cache size      704, 3354624 req, miss ratio 0.7896, byte miss ratio 0.7896
result/tencentBlock.ns22313.oracleGeneral.zst FIFO cache size     2348, 3354624 req, miss ratio 0.7799, byte miss ratio 0.7799
result/tencentBlock.ns22313.oracleGeneral.zst FIFO cache size     7046, 3354624 req, miss ratio 0.6410, byte miss ratio 0.6410
result/tencentBlock.ns22313.oracleGeneral.zst FIFO cache size    23487, 3354624 req, miss ratio 0.4117, byte miss ratio 0.4117
result/tencentBlock.ns22313.oracleGeneral.zst FIFO cache size    46975, 3354624 req, miss ratio 0.2303, byte miss ratio 0.2303
result/tencentBlock.ns22313.oracleGeneral.zst FIFO cache size    93950, 3354624 req, miss ratio 0.1386, byte miss ratio 0.1386
result/tencentBlock.ns22313.oracleGeneral.zst FIFO cache size   187900, 3354624 req, miss ratio 0.0853, byte miss ratio 0.0853
result/tencentBlock.ns22313.oracleGeneral.zst clock2 cache size      234, 3354624 req, miss ratio 0.7854, byte miss ratio 0.7854
result/tencentBlock.ns22313.oracleGeneral.zst clock2 cache size      704, 3354624 req, miss ratio 0.7797, byte miss ratio 0.7797
result/tencentBlock.ns22313.oracleGeneral.zst clock2 cache size     2348, 3354624 req, miss ratio 0.7759, byte miss ratio 0.7759
result/tencentBlock.ns22313.oracleGeneral.zst clock2 cache size     7046, 3354624 req, miss ratio 0.6380, byte miss ratio 0.6380
result/tencentBlock.ns22313.oracleGeneral.zst clock2 cache size    23487, 3354624 req, miss ratio 0.1848, byte miss ratio 0.1848
result/tencentBlock.ns22313.oracleGeneral.zst clock2 cache size    46975, 3354624 req, miss ratio 0.1632, byte miss ratio 0.1632
result/tencentBlock.ns22313.oracleGeneral.zst clock2 cache size    93950, 3354624 req, miss ratio 0.1292, byte miss ratio 0.1292
result/tencentBlock.ns22313.oracleGeneral.zst clock2 cache size   187900, 3354624 req, miss ratio 0.0709, byte miss ratio 0.0709
result/tencentBlock.ns22313.oracleGeneral.zst LIRS cache size      234, 3354624 req, miss ratio 0.8023, byte miss ratio 0.8023
result/tencentBlock.ns22313.oracleGeneral.zst LIRS cache size      704, 3354624 req, miss ratio 0.7812, byte miss ratio 0.7812
result/tencentBlock.ns22313.oracleGeneral.zst LIRS cache size     2348, 3354624 req, miss ratio 0.7633, byte miss ratio 0.7633
result/tencentBlock.ns22313.oracleGeneral.zst LIRS cache size     7046, 3354624 req, miss ratio 0.4764, byte miss ratio 0.4764
result/tencentBlock.ns22313.oracleGeneral.zst LIRS cache size    23487, 3354624 req, miss ratio 0.1765, byte miss ratio 0.1765
result/tencentBlock.ns22313.oracleGeneral.zst LIRS cache size    46975, 3354624 req, miss ratio 0.1456, byte miss ratio 0.1456
result/tencentBlock.ns22313.oracleGeneral.zst LIRS cache size    93950, 3354624 req, miss ratio 0.0968, byte miss ratio 0.0968
result/tencentBlock.ns22313.oracleGeneral.zst LIRS cache size   187900, 3354624 req, miss ratio 0.0706, byte miss ratio 0.0706
result/tencentBlock.ns22313.oracleGeneral.zst LeCaR cache size      234, 3354624 req, miss ratio 0.7853, byte miss ratio 0.7853
result/tencentBlock.ns22313.oracleGeneral.zst LeCaR cache size      704, 3354624 req, miss ratio 0.7793, byte miss ratio 0.7793
result/tencentBlock.ns22313.oracleGeneral.zst LeCaR cache size     2348, 3354624 req, miss ratio 0.7744, byte miss ratio 0.7744
result/tencentBlock.ns22313.oracleGeneral.zst LeCaR cache size     7046, 3354624 req, miss ratio 0.5999, byte miss ratio 0.5999
result/tencentBlock.ns22313.oracleGeneral.zst LeCaR cache size    23487, 3354624 req, miss ratio 0.1848, byte miss ratio 0.1848
result/tencentBlock.ns22313.oracleGeneral.zst LeCaR cache size    46975, 3354624 req, miss ratio 0.1586, byte miss ratio 0.1586
result/tencentBlock.ns22313.oracleGeneral.zst LeCaR cache size    93950, 3354624 req, miss ratio 0.1013, byte miss ratio 0.1013
result/tencentBlock.ns22313.oracleGeneral.zst LeCaR cache size   187900, 3354624 req, miss ratio 0.0708, byte miss ratio 0.0708
result/tencentBlock.ns22313.oracleGeneral.zst ARC cache size      234, 3354624 req, miss ratio 0.7784, byte miss ratio 0.7784
result/tencentBlock.ns22313.oracleGeneral.zst ARC cache size      704, 3354624 req, miss ratio 0.7743, byte miss ratio 0.7743
result/tencentBlock.ns22313.oracleGeneral.zst ARC cache size     2348, 3354624 req, miss ratio 0.7621, byte miss ratio 0.7621
result/tencentBlock.ns22313.oracleGeneral.zst ARC cache size     7046, 3354624 req, miss ratio 0.4796, byte miss ratio 0.4796
result/tencentBlock.ns22313.oracleGeneral.zst ARC cache size    23487, 3354624 req, miss ratio 0.1781, byte miss ratio 0.1781
result/tencentBlock.ns22313.oracleGeneral.zst ARC cache size    46975, 3354624 req, miss ratio 0.1634, byte miss ratio 0.1634
result/tencentBlock.ns22313.oracleGeneral.zst ARC cache size    93950, 3354624 req, miss ratio 0.1059, byte miss ratio 0.1059
result/tencentBlock.ns22313.oracleGeneral.zst ARC cache size   187900, 3354624 req, miss ratio 0.0709, byte miss ratio 0.0709
result/tencentBlock.ns22313.oracleGeneral.zst S3FIFO-1 cache size      234, 3354624 req, miss ratio 0.7789, byte miss ratio 0.7789
result/tencentBlock.ns22313.oracleGeneral.zst S3FIFO-1 cache size      704, 3354624 req, miss ratio 0.7738, byte miss ratio 0.7738
result/tencentBlock.ns22313.oracleGeneral.zst S3FIFO-1 cache size     2348, 3354624 req, miss ratio 0.7615, byte miss ratio 0.7615
result/tencentBlock.ns22313.oracleGeneral.zst S3FIFO-1 cache size     7046, 3354624 req, miss ratio 0.4794, byte miss ratio 0.4794
result/tencentBlock.ns22313.oracleGeneral.zst S3FIFO-1 cache size    23487, 3354624 req, miss ratio 0.1766, byte miss ratio 0.1766
result/tencentBlock.ns22313.oracleGeneral.zst S3FIFO-1 cache size    46975, 3354624 req, miss ratio 0.1583, byte miss ratio 0.1583
result/tencentBlock.ns22313.oracleGeneral.zst S3FIFO-1 cache size    93950, 3354624 req, miss ratio 0.1009, byte miss ratio 0.1009
result/tencentBlock.ns22313.oracleGeneral.zst S3FIFO-1 cache size   187900, 3354624 req, miss ratio 0.0709, byte miss ratio 0.0709
result/tencentBlock.ns22313.oracleGeneral.zst LRU cache size      234, 3354624 req, miss ratio 0.7870, byte miss ratio 0.7870
result/tencentBlock.ns22313.oracleGeneral.zst LRU cache size      704, 3354624 req, miss ratio 0.7797, byte miss ratio 0.7797
result/tencentBlock.ns22313.oracleGeneral.zst LRU cache size     2348, 3354624 req, miss ratio 0.7764, byte miss ratio 0.7764
result/tencentBlock.ns22313.oracleGeneral.zst LRU cache size     7046, 3354624 req, miss ratio 0.6401, byte miss ratio 0.6401
result/tencentBlock.ns22313.oracleGeneral.zst LRU cache size    23487, 3354624 req, miss ratio 0.1954, byte miss ratio 0.1954
result/tencentBlock.ns22313.oracleGeneral.zst LRU cache size    46975, 3354624 req, miss ratio 0.1632, byte miss ratio 0.1632
result/tencentBlock.ns22313.oracleGeneral.zst LRU cache size    93950, 3354624 req, miss ratio 0.1022, byte miss ratio 0.1022
result/tencentBlock.ns22313.oracleGeneral.zst LRU cache size   187900, 3354624 req, miss ratio 0.0708, byte miss ratio 0.0708
result/tencentBlock.ns22313.oracleGeneral.zst Clock cache size      234, 3354624 req, miss ratio 0.7860, byte miss ratio 0.7860
result/tencentBlock.ns22313.oracleGeneral.zst Clock cache size      704, 3354624 req, miss ratio 0.7800, byte miss ratio 0.7800
result/tencentBlock.ns22313.oracleGeneral.zst Clock cache size     2348, 3354624 req, miss ratio 0.7762, byte miss ratio 0.7762
result/tencentBlock.ns22313.oracleGeneral.zst Clock cache size     7046, 3354624 req, miss ratio 0.6399, byte miss ratio 0.6399
result/tencentBlock.ns22313.oracleGeneral.zst Clock cache size    23487, 3354624 req, miss ratio 0.1903, byte miss ratio 0.1903
result/tencentBlock.ns22313.oracleGeneral.zst Clock cache size    46975, 3354624 req, miss ratio 0.1626, byte miss ratio 0.1626
result/tencentBlock.ns22313.oracleGeneral.zst Clock cache size    93950, 3354624 req, miss ratio 0.1061, byte miss ratio 0.1061
result/tencentBlock.ns22313.oracleGeneral.zst Clock cache size   187900, 3354624 req, miss ratio 0.0710, byte miss ratio 0.0710
result/tencentBlock.ns22313.oracleGeneral.zst LHD cache size      234, 3354624 req, miss ratio 0.7852, byte miss ratio 0.7852
result/tencentBlock.ns22313.oracleGeneral.zst LHD cache size      704, 3354624 req, miss ratio 0.7795, byte miss ratio 0.7795
result/tencentBlock.ns22313.oracleGeneral.zst LHD cache size     2348, 3354624 req, miss ratio 0.7541, byte miss ratio 0.7541
result/tencentBlock.ns22313.oracleGeneral.zst LHD cache size     7046, 3354624 req, miss ratio 0.6215, byte miss ratio 0.6215
result/tencentBlock.ns22313.oracleGeneral.zst LHD cache size    23487, 3354624 req, miss ratio 0.1960, byte miss ratio 0.1960
result/tencentBlock.ns22313.oracleGeneral.zst LHD cache size    46975, 3354624 req, miss ratio 0.1518, byte miss ratio 0.1518
result/tencentBlock.ns22313.oracleGeneral.zst LHD cache size    93950, 3354624 req, miss ratio 0.0968, byte miss ratio 0.0968
result/tencentBlock.ns22313.oracleGeneral.zst LHD cache size   187900, 3354624 req, miss ratio 0.0714, byte miss ratio 0.0714
result/tencentBlock.ns22313.oracleGeneral.zst Cacheus cache size      234, 3354624 req, miss ratio 0.7789, byte miss ratio 0.7789
result/tencentBlock.ns22313.oracleGeneral.zst Cacheus cache size      704, 3354624 req, miss ratio 0.7744, byte miss ratio 0.7744
result/tencentBlock.ns22313.oracleGeneral.zst Cacheus cache size     2348, 3354624 req, miss ratio 0.7674, byte miss ratio 0.7674
result/tencentBlock.ns22313.oracleGeneral.zst Cacheus cache size     7046, 3354624 req, miss ratio 0.5776, byte miss ratio 0.5776
result/tencentBlock.ns22313.oracleGeneral.zst Cacheus cache size    23487, 3354624 req, miss ratio 0.1879, byte miss ratio 0.1879
result/tencentBlock.ns22313.oracleGeneral.zst Cacheus cache size    46975, 3354624 req, miss ratio 0.1622, byte miss ratio 0.1622
result/tencentBlock.ns22313.oracleGeneral.zst Cacheus cache size    93950, 3354624 req, miss ratio 0.1029, byte miss ratio 0.1029
result/tencentBlock.ns22313.oracleGeneral.zst Cacheus cache size   187900, 3354624 req, miss ratio 0.0714, byte miss ratio 0.0714
result/tencentBlock.ns22313.oracleGeneral.zst S3FIFO-d-1 cache size      234, 3354624 req, miss ratio 0.7779, byte miss ratio 0.7779
result/tencentBlock.ns22313.oracleGeneral.zst S3FIFO-d-1 cache size      704, 3354624 req, miss ratio 0.7738, byte miss ratio 0.7738
result/tencentBlock.ns22313.oracleGeneral.zst S3FIFO-d-1 cache size     2348, 3354624 req, miss ratio 0.7615, byte miss ratio 0.7615
result/tencentBlock.ns22313.oracleGeneral.zst S3FIFO-d-1 cache size     7046, 3354624 req, miss ratio 0.4786, byte miss ratio 0.4786
result/tencentBlock.ns22313.oracleGeneral.zst S3FIFO-d-1 cache size    23487, 3354624 req, miss ratio 0.1764, byte miss ratio 0.1764
result/tencentBlock.ns22313.oracleGeneral.zst S3FIFO-d-1 cache size    46975, 3354624 req, miss ratio 0.1573, byte miss ratio 0.1573
result/tencentBlock.ns22313.oracleGeneral.zst S3FIFO-d-1 cache size    93950, 3354624 req, miss ratio 0.1021, byte miss ratio 0.1021
result/tencentBlock.ns22313.oracleGeneral.zst S3FIFO-d-1 cache size   187900, 3354624 req, miss ratio 0.0709, byte miss ratio 0.0709
result/tencentBlock.ns22313.oracleGeneral.zst LRB cache size      234, 3354624 req, miss ratio 0.8033, byte miss ratio 0.8033
result/tencentBlock.ns22313.oracleGeneral.zst LRB cache size      704, 3354624 req, miss ratio 0.7694, byte miss ratio 0.7694
result/tencentBlock.ns22313.oracleGeneral.zst LRB cache size     2348, 3354624 req, miss ratio 0.6846, byte miss ratio 0.6846
result/tencentBlock.ns22313.oracleGeneral.zst LRB cache size     7046, 3354624 req, miss ratio 0.4706, byte miss ratio 0.4706
result/tencentBlock.ns22313.oracleGeneral.zst LRB cache size    23487, 3354624 req, miss ratio 0.1733, byte miss ratio 0.1733
result/tencentBlock.ns22313.oracleGeneral.zst LRB cache size    46975, 3354624 req, miss ratio 0.1395, byte miss ratio 0.1395
result/tencentBlock.ns22313.oracleGeneral.zst LRB cache size    93950, 3354624 req, miss ratio 0.0919, byte miss ratio 0.0919
result/tencentBlock.ns22313.oracleGeneral.zst LRB cache size   187900, 3354624 req, miss ratio 0.0727, byte miss ratio 0.0727
result/tencentBlock.ns22313.oracleGeneral.zst S4LRU(25:25:25:25) cache size      234, 3354624 req, miss ratio 0.7802, byte miss ratio 0.7802
