result/tencentBlock.ns6099.oracleGeneral.zst FIFO cache size      161, 1567934 req, miss ratio 0.5398, byte miss ratio 0.5398
result/tencentBlock.ns6099.oracleGeneral.zst FIFO cache size      485, 1567934 req, miss ratio 0.4654, byte miss ratio 0.4654
result/tencentBlock.ns6099.oracleGeneral.zst FIFO cache size     1617, 1567934 req, miss ratio 0.4326, byte miss ratio 0.4326
result/tencentBlock.ns6099.oracleGeneral.zst FIFO cache size     4853, 1567934 req, miss ratio 0.4211, byte miss ratio 0.4211
result/tencentBlock.ns6099.oracleGeneral.zst FIFO cache size    16177, 1567934 req, miss ratio 0.3938, byte miss ratio 0.3938
result/tencentBlock.ns6099.oracleGeneral.zst FIFO cache size    32355, 1567934 req, miss ratio 0.3546, byte miss ratio 0.3546
result/tencentBlock.ns6099.oracleGeneral.zst FIFO cache size    64710, 1567934 req, miss ratio 0.2472, byte miss ratio 0.2472
result/tencentBlock.ns6099.oracleGeneral.zst FIFO cache size   129421, 1567934 req, miss ratio 0.1386, byte miss ratio 0.1386
result/tencentBlock.ns6099.oracleGeneral.zst LRU cache size      161, 1567934 req, miss ratio 0.4577, byte miss ratio 0.4577
result/tencentBlock.ns6099.oracleGeneral.zst LRU cache size      485, 1567934 req, miss ratio 0.4292, byte miss ratio 0.4292
result/tencentBlock.ns6099.oracleGeneral.zst LRU cache size     1617, 1567934 req, miss ratio 0.4181, byte miss ratio 0.4181
result/tencentBlock.ns6099.oracleGeneral.zst LRU cache size     4853, 1567934 req, miss ratio 0.4150, byte miss ratio 0.4150
result/tencentBlock.ns6099.oracleGeneral.zst LRU cache size    16177, 1567934 req, miss ratio 0.3958, byte miss ratio 0.3958
result/tencentBlock.ns6099.oracleGeneral.zst LRU cache size    32355, 1567934 req, miss ratio 0.3467, byte miss ratio 0.3467
result/tencentBlock.ns6099.oracleGeneral.zst LRU cache size    64710, 1567934 req, miss ratio 0.2128, byte miss ratio 0.2128
result/tencentBlock.ns6099.oracleGeneral.zst LRU cache size   129421, 1567934 req, miss ratio 0.1109, byte miss ratio 0.1109
result/tencentBlock.ns6099.oracleGeneral.zst clock2 cache size      161, 1567934 req, miss ratio 0.4616, byte miss ratio 0.4616
result/tencentBlock.ns6099.oracleGeneral.zst clock2 cache size      485, 1567934 req, miss ratio 0.4298, byte miss ratio 0.4298
result/tencentBlock.ns6099.oracleGeneral.zst clock2 cache size     1617, 1567934 req, miss ratio 0.4169, byte miss ratio 0.4169
result/tencentBlock.ns6099.oracleGeneral.zst clock2 cache size     4853, 1567934 req, miss ratio 0.4150, byte miss ratio 0.4150
result/tencentBlock.ns6099.oracleGeneral.zst clock2 cache size    16177, 1567934 req, miss ratio 0.4138, byte miss ratio 0.4138
result/tencentBlock.ns6099.oracleGeneral.zst clock2 cache size    32355, 1567934 req, miss ratio 0.3633, byte miss ratio 0.3633
result/tencentBlock.ns6099.oracleGeneral.zst clock2 cache size    64710, 1567934 req, miss ratio 0.2982, byte miss ratio 0.2982
result/tencentBlock.ns6099.oracleGeneral.zst clock2 cache size   129421, 1567934 req, miss ratio 0.1217, byte miss ratio 0.1217
result/tencentBlock.ns6099.oracleGeneral.zst S3FIFO-1 cache size      161, 1567934 req, miss ratio 0.4400, byte miss ratio 0.4400
result/tencentBlock.ns6099.oracleGeneral.zst S3FIFO-1 cache size      485, 1567934 req, miss ratio 0.4189, byte miss ratio 0.4189
result/tencentBlock.ns6099.oracleGeneral.zst S3FIFO-1 cache size     1617, 1567934 req, miss ratio 0.4159, byte miss ratio 0.4159
result/tencentBlock.ns6099.oracleGeneral.zst S3FIFO-1 cache size     4853, 1567934 req, miss ratio 0.4148, byte miss ratio 0.4148
result/tencentBlock.ns6099.oracleGeneral.zst S3FIFO-1 cache size    16177, 1567934 req, miss ratio 0.3787, byte miss ratio 0.3787
result/tencentBlock.ns6099.oracleGeneral.zst S3FIFO-1 cache size    32355, 1567934 req, miss ratio 0.3444, byte miss ratio 0.3444
result/tencentBlock.ns6099.oracleGeneral.zst S3FIFO-1 cache size    64710, 1567934 req, miss ratio 0.2271, byte miss ratio 0.2271
result/tencentBlock.ns6099.oracleGeneral.zst S3FIFO-1 cache size   129421, 1567934 req, miss ratio 0.1246, byte miss ratio 0.1246
result/tencentBlock.ns6099.oracleGeneral.zst Cacheus cache size      161, 1567934 req, miss ratio 0.4406, byte miss ratio 0.4406
result/tencentBlock.ns6099.oracleGeneral.zst Cacheus cache size      485, 1567934 req, miss ratio 0.4221, byte miss ratio 0.4221
result/tencentBlock.ns6099.oracleGeneral.zst Cacheus cache size     1617, 1567934 req, miss ratio 0.4155, byte miss ratio 0.4155
result/tencentBlock.ns6099.oracleGeneral.zst Cacheus cache size     4853, 1567934 req, miss ratio 0.4148, byte miss ratio 0.4148
result/tencentBlock.ns6099.oracleGeneral.zst Cacheus cache size    16177, 1567934 req, miss ratio 0.3876, byte miss ratio 0.3876
result/tencentBlock.ns6099.oracleGeneral.zst Cacheus cache size    32355, 1567934 req, miss ratio 0.3465, byte miss ratio 0.3465
result/tencentBlock.ns6099.oracleGeneral.zst Cacheus cache size    64710, 1567934 req, miss ratio 0.2482, byte miss ratio 0.2482
result/tencentBlock.ns6099.oracleGeneral.zst Cacheus cache size   129421, 1567934 req, miss ratio 0.1112, byte miss ratio 0.1112
result/tencentBlock.ns6099.oracleGeneral.zst LeCaR cache size      161, 1567934 req, miss ratio 0.4529, byte miss ratio 0.4529
result/tencentBlock.ns6099.oracleGeneral.zst LeCaR cache size      485, 1567934 req, miss ratio 0.4281, byte miss ratio 0.4281
result/tencentBlock.ns6099.oracleGeneral.zst LeCaR cache size     1617, 1567934 req, miss ratio 0.4166, byte miss ratio 0.4166
result/tencentBlock.ns6099.oracleGeneral.zst LeCaR cache size     4853, 1567934 req, miss ratio 0.4150, byte miss ratio 0.4150
result/tencentBlock.ns6099.oracleGeneral.zst LeCaR cache size    16177, 1567934 req, miss ratio 0.3940, byte miss ratio 0.3940
result/tencentBlock.ns6099.oracleGeneral.zst LeCaR cache size    32355, 1567934 req, miss ratio 0.3456, byte miss ratio 0.3456
result/tencentBlock.ns6099.oracleGeneral.zst LeCaR cache size    64710, 1567934 req, miss ratio 0.2246, byte miss ratio 0.2246
result/tencentBlock.ns6099.oracleGeneral.zst LeCaR cache size   129421, 1567934 req, miss ratio 0.1117, byte miss ratio 0.1117
result/tencentBlock.ns6099.oracleGeneral.zst LHD cache size      161, 1567934 req, miss ratio 0.4682, byte miss ratio 0.4682
result/tencentBlock.ns6099.oracleGeneral.zst LHD cache size      485, 1567934 req, miss ratio 0.4289, byte miss ratio 0.4289
result/tencentBlock.ns6099.oracleGeneral.zst LHD cache size     1617, 1567934 req, miss ratio 0.4167, byte miss ratio 0.4167
result/tencentBlock.ns6099.oracleGeneral.zst LHD cache size     4853, 1567934 req, miss ratio 0.4149, byte miss ratio 0.4149
result/tencentBlock.ns6099.oracleGeneral.zst LHD cache size    16177, 1567934 req, miss ratio 0.3865, byte miss ratio 0.3865
result/tencentBlock.ns6099.oracleGeneral.zst LHD cache size    32355, 1567934 req, miss ratio 0.3334, byte miss ratio 0.3334
result/tencentBlock.ns6099.oracleGeneral.zst LHD cache size    64710, 1567934 req, miss ratio 0.2210, byte miss ratio 0.2210
result/tencentBlock.ns6099.oracleGeneral.zst LHD cache size   129421, 1567934 req, miss ratio 0.1111, byte miss ratio 0.1111
result/tencentBlock.ns6099.oracleGeneral.zst Clock cache size      161, 1567934 req, miss ratio 0.4560, byte miss ratio 0.4560
result/tencentBlock.ns6099.oracleGeneral.zst Clock cache size      485, 1567934 req, miss ratio 0.4290, byte miss ratio 0.4290
result/tencentBlock.ns6099.oracleGeneral.zst Clock cache size     1617, 1567934 req, miss ratio 0.4176, byte miss ratio 0.4176
result/tencentBlock.ns6099.oracleGeneral.zst Clock cache size     4853, 1567934 req, miss ratio 0.4150, byte miss ratio 0.4150
result/tencentBlock.ns6099.oracleGeneral.zst Clock cache size    16177, 1567934 req, miss ratio 0.4112, byte miss ratio 0.4112
result/tencentBlock.ns6099.oracleGeneral.zst Clock cache size    32355, 1567934 req, miss ratio 0.3570, byte miss ratio 0.3570
result/tencentBlock.ns6099.oracleGeneral.zst Clock cache size    64710, 1567934 req, miss ratio 0.2852, byte miss ratio 0.2852
result/tencentBlock.ns6099.oracleGeneral.zst Clock cache size   129421, 1567934 req, miss ratio 0.1232, byte miss ratio 0.1232
result/tencentBlock.ns6099.oracleGeneral.zst ARC cache size      161, 1567934 req, miss ratio 0.4390, byte miss ratio 0.4390
result/tencentBlock.ns6099.oracleGeneral.zst ARC cache size      485, 1567934 req, miss ratio 0.4218, byte miss ratio 0.4218
result/tencentBlock.ns6099.oracleGeneral.zst ARC cache size     1617, 1567934 req, miss ratio 0.4161, byte miss ratio 0.4161
result/tencentBlock.ns6099.oracleGeneral.zst ARC cache size     4853, 1567934 req, miss ratio 0.4151, byte miss ratio 0.4151
result/tencentBlock.ns6099.oracleGeneral.zst ARC cache size    16177, 1567934 req, miss ratio 0.3900, byte miss ratio 0.3900
result/tencentBlock.ns6099.oracleGeneral.zst ARC cache size    32355, 1567934 req, miss ratio 0.3209, byte miss ratio 0.3209
result/tencentBlock.ns6099.oracleGeneral.zst ARC cache size    64710, 1567934 req, miss ratio 0.2220, byte miss ratio 0.2220
result/tencentBlock.ns6099.oracleGeneral.zst ARC cache size   129421, 1567934 req, miss ratio 0.1116, byte miss ratio 0.1116
