result/tencentBlock.ns12474.oracleGeneral.zst clock2 cache size      105, 1011614 req, miss ratio 0.6143, byte miss ratio 0.6143
result/tencentBlock.ns12474.oracleGeneral.zst clock2 cache size      317, 1011614 req, miss ratio 0.5921, byte miss ratio 0.5921
result/tencentBlock.ns12474.oracleGeneral.zst clock2 cache size     1059, 1011614 req, miss ratio 0.5863, byte miss ratio 0.5863
result/tencentBlock.ns12474.oracleGeneral.zst clock2 cache size     3178, 1011614 req, miss ratio 0.5840, byte miss ratio 0.5840
result/tencentBlock.ns12474.oracleGeneral.zst clock2 cache size    10595, 1011614 req, miss ratio 0.5813, byte miss ratio 0.5813
result/tencentBlock.ns12474.oracleGeneral.zst clock2 cache size    21190, 1011614 req, miss ratio 0.5418, byte miss ratio 0.5418
result/tencentBlock.ns12474.oracleGeneral.zst clock2 cache size    42381, 1011614 req, miss ratio 0.4304, byte miss ratio 0.4304
result/tencentBlock.ns12474.oracleGeneral.zst clock2 cache size    84763, 1011614 req, miss ratio 0.1182, byte miss ratio 0.1182
result/tencentBlock.ns12474.oracleGeneral.zst Clock cache size      105, 1011614 req, miss ratio 0.6172, byte miss ratio 0.6172
result/tencentBlock.ns12474.oracleGeneral.zst Clock cache size      317, 1011614 req, miss ratio 0.5936, byte miss ratio 0.5936
result/tencentBlock.ns12474.oracleGeneral.zst Clock cache size     1059, 1011614 req, miss ratio 0.5869, byte miss ratio 0.5869
result/tencentBlock.ns12474.oracleGeneral.zst Clock cache size     3178, 1011614 req, miss ratio 0.5841, byte miss ratio 0.5841
result/tencentBlock.ns12474.oracleGeneral.zst Clock cache size    10595, 1011614 req, miss ratio 0.5811, byte miss ratio 0.5811
result/tencentBlock.ns12474.oracleGeneral.zst Clock cache size    21190, 1011614 req, miss ratio 0.5277, byte miss ratio 0.5277
result/tencentBlock.ns12474.oracleGeneral.zst Clock cache size    42381, 1011614 req, miss ratio 0.4104, byte miss ratio 0.4104
result/tencentBlock.ns12474.oracleGeneral.zst Clock cache size    84763, 1011614 req, miss ratio 0.1177, byte miss ratio 0.1177
result/tencentBlock.ns12474.oracleGeneral.zst Cacheus cache size      105, 1011614 req, miss ratio 0.5935, byte miss ratio 0.5935
result/tencentBlock.ns12474.oracleGeneral.zst Cacheus cache size      317, 1011614 req, miss ratio 0.5857, byte miss ratio 0.5857
result/tencentBlock.ns12474.oracleGeneral.zst Cacheus cache size     1059, 1011614 req, miss ratio 0.5847, byte miss ratio 0.5847
result/tencentBlock.ns12474.oracleGeneral.zst Cacheus cache size     3178, 1011614 req, miss ratio 0.5839, byte miss ratio 0.5839
result/tencentBlock.ns12474.oracleGeneral.zst Cacheus cache size    10595, 1011614 req, miss ratio 0.5550, byte miss ratio 0.5550
result/tencentBlock.ns12474.oracleGeneral.zst Cacheus cache size    21190, 1011614 req, miss ratio 0.4745, byte miss ratio 0.4745
result/tencentBlock.ns12474.oracleGeneral.zst Cacheus cache size    42381, 1011614 req, miss ratio 0.4170, byte miss ratio 0.4170
result/tencentBlock.ns12474.oracleGeneral.zst Cacheus cache size    84763, 1011614 req, miss ratio 0.1152, byte miss ratio 0.1152
result/tencentBlock.ns12474.oracleGeneral.zst LeCaR cache size      105, 1011614 req, miss ratio 0.6103, byte miss ratio 0.6103
result/tencentBlock.ns12474.oracleGeneral.zst LeCaR cache size      317, 1011614 req, miss ratio 0.5884, byte miss ratio 0.5884
result/tencentBlock.ns12474.oracleGeneral.zst LeCaR cache size     1059, 1011614 req, miss ratio 0.5864, byte miss ratio 0.5864
result/tencentBlock.ns12474.oracleGeneral.zst LeCaR cache size     3178, 1011614 req, miss ratio 0.5841, byte miss ratio 0.5841
result/tencentBlock.ns12474.oracleGeneral.zst LeCaR cache size    10595, 1011614 req, miss ratio 0.5809, byte miss ratio 0.5809
result/tencentBlock.ns12474.oracleGeneral.zst LeCaR cache size    21190, 1011614 req, miss ratio 0.4835, byte miss ratio 0.4835
result/tencentBlock.ns12474.oracleGeneral.zst LeCaR cache size    42381, 1011614 req, miss ratio 0.4158, byte miss ratio 0.4158
result/tencentBlock.ns12474.oracleGeneral.zst LeCaR cache size    84763, 1011614 req, miss ratio 0.1096, byte miss ratio 0.1096
result/tencentBlock.ns12474.oracleGeneral.zst ARC cache size      105, 1011614 req, miss ratio 0.5957, byte miss ratio 0.5957
result/tencentBlock.ns12474.oracleGeneral.zst ARC cache size      317, 1011614 req, miss ratio 0.5865, byte miss ratio 0.5865
result/tencentBlock.ns12474.oracleGeneral.zst ARC cache size     1059, 1011614 req, miss ratio 0.5851, byte miss ratio 0.5851
result/tencentBlock.ns12474.oracleGeneral.zst ARC cache size     3178, 1011614 req, miss ratio 0.5843, byte miss ratio 0.5843
result/tencentBlock.ns12474.oracleGeneral.zst ARC cache size    10595, 1011614 req, miss ratio 0.5656, byte miss ratio 0.5656
result/tencentBlock.ns12474.oracleGeneral.zst ARC cache size    21190, 1011614 req, miss ratio 0.4705, byte miss ratio 0.4705
result/tencentBlock.ns12474.oracleGeneral.zst ARC cache size    42381, 1011614 req, miss ratio 0.3963, byte miss ratio 0.3963
result/tencentBlock.ns12474.oracleGeneral.zst ARC cache size    84763, 1011614 req, miss ratio 0.1100, byte miss ratio 0.1100
result/tencentBlock.ns12474.oracleGeneral.zst LIRS cache size      105, 1011614 req, miss ratio 0.6104, byte miss ratio 0.6104
result/tencentBlock.ns12474.oracleGeneral.zst LIRS cache size      317, 1011614 req, miss ratio 0.6031, byte miss ratio 0.6031
result/tencentBlock.ns12474.oracleGeneral.zst LIRS cache size     1059, 1011614 req, miss ratio 0.6007, byte miss ratio 0.6007
result/tencentBlock.ns12474.oracleGeneral.zst LIRS cache size     3178, 1011614 req, miss ratio 0.5896, byte miss ratio 0.5896
result/tencentBlock.ns12474.oracleGeneral.zst LIRS cache size    10595, 1011614 req, miss ratio 0.5341, byte miss ratio 0.5341
result/tencentBlock.ns12474.oracleGeneral.zst LIRS cache size    21190, 1011614 req, miss ratio 0.4471, byte miss ratio 0.4471
result/tencentBlock.ns12474.oracleGeneral.zst LIRS cache size    42381, 1011614 req, miss ratio 0.3258, byte miss ratio 0.3258
result/tencentBlock.ns12474.oracleGeneral.zst LIRS cache size    84763, 1011614 req, miss ratio 0.1145, byte miss ratio 0.1145
result/tencentBlock.ns12474.oracleGeneral.zst S3FIFO-1 cache size      105, 1011614 req, miss ratio 0.6100, byte miss ratio 0.6100
result/tencentBlock.ns12474.oracleGeneral.zst S3FIFO-1 cache size      317, 1011614 req, miss ratio 0.5940, byte miss ratio 0.5940
result/tencentBlock.ns12474.oracleGeneral.zst S3FIFO-1 cache size     1059, 1011614 req, miss ratio 0.5853, byte miss ratio 0.5853
result/tencentBlock.ns12474.oracleGeneral.zst S3FIFO-1 cache size     3178, 1011614 req, miss ratio 0.5842, byte miss ratio 0.5842
result/tencentBlock.ns12474.oracleGeneral.zst S3FIFO-1 cache size    10595, 1011614 req, miss ratio 0.5581, byte miss ratio 0.5581
result/tencentBlock.ns12474.oracleGeneral.zst S3FIFO-1 cache size    21190, 1011614 req, miss ratio 0.4631, byte miss ratio 0.4631
result/tencentBlock.ns12474.oracleGeneral.zst S3FIFO-1 cache size    42381, 1011614 req, miss ratio 0.3569, byte miss ratio 0.3569
result/tencentBlock.ns12474.oracleGeneral.zst S3FIFO-1 cache size    84763, 1011614 req, miss ratio 0.1168, byte miss ratio 0.1168
result/tencentBlock.ns12474.oracleGeneral.zst FIFO cache size      105, 1011614 req, miss ratio 0.7750, byte miss ratio 0.7750
result/tencentBlock.ns12474.oracleGeneral.zst FIFO cache size      317, 1011614 req, miss ratio 0.6498, byte miss ratio 0.6498
result/tencentBlock.ns12474.oracleGeneral.zst FIFO cache size     1059, 1011614 req, miss ratio 0.6065, byte miss ratio 0.6065
result/tencentBlock.ns12474.oracleGeneral.zst FIFO cache size     3178, 1011614 req, miss ratio 0.5922, byte miss ratio 0.5922
result/tencentBlock.ns12474.oracleGeneral.zst FIFO cache size    10595, 1011614 req, miss ratio 0.5834, byte miss ratio 0.5834
result/tencentBlock.ns12474.oracleGeneral.zst FIFO cache size    21190, 1011614 req, miss ratio 0.5040, byte miss ratio 0.5040
result/tencentBlock.ns12474.oracleGeneral.zst FIFO cache size    42381, 1011614 req, miss ratio 0.3553, byte miss ratio 0.3553
result/tencentBlock.ns12474.oracleGeneral.zst FIFO cache size    84763, 1011614 req, miss ratio 0.1523, byte miss ratio 0.1523
result/tencentBlock.ns12474.oracleGeneral.zst LHD cache size      105, 1011614 req, miss ratio 0.6071, byte miss ratio 0.6071
result/tencentBlock.ns12474.oracleGeneral.zst LHD cache size      317, 1011614 req, miss ratio 0.5921, byte miss ratio 0.5921
result/tencentBlock.ns12474.oracleGeneral.zst LHD cache size     1059, 1011614 req, miss ratio 0.5868, byte miss ratio 0.5868
result/tencentBlock.ns12474.oracleGeneral.zst LHD cache size     3178, 1011614 req, miss ratio 0.5841, byte miss ratio 0.5841
result/tencentBlock.ns12474.oracleGeneral.zst LHD cache size    10595, 1011614 req, miss ratio 0.5772, byte miss ratio 0.5772
result/tencentBlock.ns12474.oracleGeneral.zst LHD cache size    21190, 1011614 req, miss ratio 0.5112, byte miss ratio 0.5112
result/tencentBlock.ns12474.oracleGeneral.zst LHD cache size    42381, 1011614 req, miss ratio 0.3891, byte miss ratio 0.3891
result/tencentBlock.ns12474.oracleGeneral.zst LHD cache size    84763, 1011614 req, miss ratio 0.1201, byte miss ratio 0.1201
result/tencentBlock.ns12474.oracleGeneral.zst LRU cache size      105, 1011614 req, miss ratio 0.6267, byte miss ratio 0.6267
result/tencentBlock.ns12474.oracleGeneral.zst LRU cache size      317, 1011614 req, miss ratio 0.5963, byte miss ratio 0.5963
result/tencentBlock.ns12474.oracleGeneral.zst LRU cache size     1059, 1011614 req, miss ratio 0.5872, byte miss ratio 0.5872
result/tencentBlock.ns12474.oracleGeneral.zst LRU cache size     3178, 1011614 req, miss ratio 0.5843, byte miss ratio 0.5843
result/tencentBlock.ns12474.oracleGeneral.zst LRU cache size    10595, 1011614 req, miss ratio 0.5811, byte miss ratio 0.5811
result/tencentBlock.ns12474.oracleGeneral.zst LRU cache size    21190, 1011614 req, miss ratio 0.4836, byte miss ratio 0.4836
result/tencentBlock.ns12474.oracleGeneral.zst LRU cache size    42381, 1011614 req, miss ratio 0.4159, byte miss ratio 0.4159
result/tencentBlock.ns12474.oracleGeneral.zst LRU cache size    84763, 1011614 req, miss ratio 0.1157, byte miss ratio 0.1157
result/tencentBlock.ns12474.oracleGeneral.zst S3FIFO-d-1 cache size      105, 1011614 req, miss ratio 0.5989, byte miss ratio 0.5989
result/tencentBlock.ns12474.oracleGeneral.zst S3FIFO-d-1 cache size      317, 1011614 req, miss ratio 0.5871, byte miss ratio 0.5871
result/tencentBlock.ns12474.oracleGeneral.zst S3FIFO-d-1 cache size     1059, 1011614 req, miss ratio 0.5853, byte miss ratio 0.5853
result/tencentBlock.ns12474.oracleGeneral.zst S3FIFO-d-1 cache size     3178, 1011614 req, miss ratio 0.5842, byte miss ratio 0.5842
