result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-1 cache size  1779501, 45020916 req, miss ratio 0.0513, byte miss ratio 0.0513
result/tencentBlock.ns4116.oracleGeneral.zst Clock cache size     2224, 45020916 req, miss ratio 0.7527, byte miss ratio 0.7527
result/tencentBlock.ns4116.oracleGeneral.zst Clock cache size     6673, 45020916 req, miss ratio 0.6408, byte miss ratio 0.6408
result/tencentBlock.ns4116.oracleGeneral.zst Clock cache size    22243, 45020916 req, miss ratio 0.5224, byte miss ratio 0.5224
result/tencentBlock.ns4116.oracleGeneral.zst Clock cache size    66731, 45020916 req, miss ratio 0.4019, byte miss ratio 0.4019
result/tencentBlock.ns4116.oracleGeneral.zst Clock cache size   222437, 45020916 req, miss ratio 0.2180, byte miss ratio 0.2180
result/tencentBlock.ns4116.oracleGeneral.zst Clock cache size   444875, 45020916 req, miss ratio 0.1304, byte miss ratio 0.1304
result/tencentBlock.ns4116.oracleGeneral.zst Clock cache size   889750, 45020916 req, miss ratio 0.0698, byte miss ratio 0.0698
result/tencentBlock.ns4116.oracleGeneral.zst Clock cache size  1779501, 45020916 req, miss ratio 0.0512, byte miss ratio 0.0512
result/tencentBlock.ns4116.oracleGeneral.zst LeCaR cache size     2224, 45020916 req, miss ratio 0.7508, byte miss ratio 0.7508
result/tencentBlock.ns4116.oracleGeneral.zst LeCaR cache size     6673, 45020916 req, miss ratio 0.6378, byte miss ratio 0.6378
result/tencentBlock.ns4116.oracleGeneral.zst LeCaR cache size    22243, 45020916 req, miss ratio 0.5184, byte miss ratio 0.5184
result/tencentBlock.ns4116.oracleGeneral.zst LeCaR cache size    66731, 45020916 req, miss ratio 0.3947, byte miss ratio 0.3947
result/tencentBlock.ns4116.oracleGeneral.zst LeCaR cache size   222437, 45020916 req, miss ratio 0.2104, byte miss ratio 0.2104
result/tencentBlock.ns4116.oracleGeneral.zst LeCaR cache size   444875, 45020916 req, miss ratio 0.1269, byte miss ratio 0.1269
result/tencentBlock.ns4116.oracleGeneral.zst LeCaR cache size   889750, 45020916 req, miss ratio 0.0683, byte miss ratio 0.0683
result/tencentBlock.ns4116.oracleGeneral.zst LeCaR cache size  1779501, 45020916 req, miss ratio 0.0503, byte miss ratio 0.0503
result/tencentBlock.ns4116.oracleGeneral.zst clock2 cache size     2224, 45020916 req, miss ratio 0.7495, byte miss ratio 0.7495
result/tencentBlock.ns4116.oracleGeneral.zst clock2 cache size     6673, 45020916 req, miss ratio 0.6383, byte miss ratio 0.6383
result/tencentBlock.ns4116.oracleGeneral.zst clock2 cache size    22243, 45020916 req, miss ratio 0.5146, byte miss ratio 0.5146
result/tencentBlock.ns4116.oracleGeneral.zst clock2 cache size    66731, 45020916 req, miss ratio 0.3946, byte miss ratio 0.3946
result/tencentBlock.ns4116.oracleGeneral.zst clock2 cache size   222437, 45020916 req, miss ratio 0.2084, byte miss ratio 0.2084
result/tencentBlock.ns4116.oracleGeneral.zst clock2 cache size   444875, 45020916 req, miss ratio 0.1211, byte miss ratio 0.1211
result/tencentBlock.ns4116.oracleGeneral.zst clock2 cache size   889750, 45020916 req, miss ratio 0.0683, byte miss ratio 0.0683
result/tencentBlock.ns4116.oracleGeneral.zst clock2 cache size  1779501, 45020916 req, miss ratio 0.0506, byte miss ratio 0.0506
result/tencentBlock.ns4116.oracleGeneral.zst LHD cache size     2224, 45020916 req, miss ratio 0.7452, byte miss ratio 0.7452
result/tencentBlock.ns4116.oracleGeneral.zst LHD cache size     6673, 45020916 req, miss ratio 0.6278, byte miss ratio 0.6278
result/tencentBlock.ns4116.oracleGeneral.zst LHD cache size    22243, 45020916 req, miss ratio 0.4999, byte miss ratio 0.4999
result/tencentBlock.ns4116.oracleGeneral.zst LHD cache size    66731, 45020916 req, miss ratio 0.3727, byte miss ratio 0.3727
result/tencentBlock.ns4116.oracleGeneral.zst LHD cache size   222437, 45020916 req, miss ratio 0.1959, byte miss ratio 0.1959
result/tencentBlock.ns4116.oracleGeneral.zst LHD cache size   444875, 45020916 req, miss ratio 0.1136, byte miss ratio 0.1136
result/tencentBlock.ns4116.oracleGeneral.zst LHD cache size   889750, 45020916 req, miss ratio 0.0700, byte miss ratio 0.0700
result/tencentBlock.ns4116.oracleGeneral.zst LHD cache size  1779501, 45020916 req, miss ratio 0.0514, byte miss ratio 0.0514
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d-1 cache size     2224, 45020916 req, miss ratio 0.7459, byte miss ratio 0.7459
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d-1 cache size     6673, 45020916 req, miss ratio 0.6333, byte miss ratio 0.6333
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d-1 cache size    22243, 45020916 req, miss ratio 0.5053, byte miss ratio 0.5053
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d-1 cache size    66731, 45020916 req, miss ratio 0.3928, byte miss ratio 0.3928
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d-1 cache size   222437, 45020916 req, miss ratio 0.2117, byte miss ratio 0.2117
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d-1 cache size   444875, 45020916 req, miss ratio 0.1228, byte miss ratio 0.1228
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d-1 cache size   889750, 45020916 req, miss ratio 0.0695, byte miss ratio 0.0695
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d-1 cache size  1779501, 45020916 req, miss ratio 0.0514, byte miss ratio 0.0514
result/tencentBlock.ns4116.oracleGeneral.zst LRB cache size     2224, 45020916 req, miss ratio 0.7482, byte miss ratio 0.7482
result/tencentBlock.ns4116.oracleGeneral.zst LRB cache size     6673, 45020916 req, miss ratio 0.6438, byte miss ratio 0.6438
result/tencentBlock.ns4116.oracleGeneral.zst LRB cache size    22243, 45020916 req, miss ratio 0.5156, byte miss ratio 0.5156
result/tencentBlock.ns4116.oracleGeneral.zst LRB cache size    66731, 45020916 req, miss ratio 0.3644, byte miss ratio 0.3644
result/tencentBlock.ns4116.oracleGeneral.zst LRB cache size   222437, 45020916 req, miss ratio 0.1854, byte miss ratio 0.1854
result/tencentBlock.ns4116.oracleGeneral.zst LRB cache size   444875, 45020916 req, miss ratio 0.1097, byte miss ratio 0.1097
result/tencentBlock.ns4116.oracleGeneral.zst LRB cache size   889750, 45020916 req, miss ratio 0.0726, byte miss ratio 0.0726
result/tencentBlock.ns4116.oracleGeneral.zst LRB cache size  1779501, 45020916 req, miss ratio 0.0512, byte miss ratio 0.0512
result/tencentBlock.ns4116.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2224, 45020916 req, miss ratio 0.7629, byte miss ratio 0.7629
result/tencentBlock.ns4116.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6673, 45020916 req, miss ratio 0.6605, byte miss ratio 0.6605
result/tencentBlock.ns4116.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    22243, 45020916 req, miss ratio 0.5340, byte miss ratio 0.5340
result/tencentBlock.ns4116.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    66731, 45020916 req, miss ratio 0.4102, byte miss ratio 0.4102
result/tencentBlock.ns4116.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   222437, 45020916 req, miss ratio 0.2314, byte miss ratio 0.2314
result/tencentBlock.ns4116.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   444875, 45020916 req, miss ratio 0.1374, byte miss ratio 0.1374
result/tencentBlock.ns4116.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   889750, 45020916 req, miss ratio 0.0782, byte miss ratio 0.0782
result/tencentBlock.ns4116.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1779501, 45020916 req, miss ratio 0.0554, byte miss ratio 0.0554
result/tencentBlock.ns4116.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2224, 45020916 req, miss ratio 0.7837, byte miss ratio 0.7837
result/tencentBlock.ns4116.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6673, 45020916 req, miss ratio 0.6555, byte miss ratio 0.6555
result/tencentBlock.ns4116.oracleGeneral.zst S4LRU(25:25:25:25) cache size    22243, 45020916 req, miss ratio 0.5113, byte miss ratio 0.5113
result/tencentBlock.ns4116.oracleGeneral.zst S4LRU(25:25:25:25) cache size    66731, 45020916 req, miss ratio 0.3884, byte miss ratio 0.3884
result/tencentBlock.ns4116.oracleGeneral.zst S4LRU(25:25:25:25) cache size   222437, 45020916 req, miss ratio 0.2032, byte miss ratio 0.2032
result/tencentBlock.ns4116.oracleGeneral.zst S4LRU(25:25:25:25) cache size   444875, 45020916 req, miss ratio 0.1177, byte miss ratio 0.1177
result/tencentBlock.ns4116.oracleGeneral.zst S4LRU(25:25:25:25) cache size   889750, 45020916 req, miss ratio 0.0673, byte miss ratio 0.0673
result/tencentBlock.ns4116.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1779501, 45020916 req, miss ratio 0.0504, byte miss ratio 0.0504
result/tencentBlock.ns4116.oracleGeneral.zst TwoQ cache size     2224, 45020916 req, miss ratio 0.7489, byte miss ratio 0.7489
result/tencentBlock.ns4116.oracleGeneral.zst TwoQ cache size     6673, 45020916 req, miss ratio 0.6380, byte miss ratio 0.6380
result/tencentBlock.ns4116.oracleGeneral.zst TwoQ cache size    22243, 45020916 req, miss ratio 0.5027, byte miss ratio 0.5027
result/tencentBlock.ns4116.oracleGeneral.zst TwoQ cache size    66731, 45020916 req, miss ratio 0.3685, byte miss ratio 0.3685
result/tencentBlock.ns4116.oracleGeneral.zst TwoQ cache size   222437, 45020916 req, miss ratio 0.1980, byte miss ratio 0.1980
result/tencentBlock.ns4116.oracleGeneral.zst TwoQ cache size   444875, 45020916 req, miss ratio 0.1181, byte miss ratio 0.1181
result/tencentBlock.ns4116.oracleGeneral.zst TwoQ cache size   889750, 45020916 req, miss ratio 0.0739, byte miss ratio 0.0739
result/tencentBlock.ns4116.oracleGeneral.zst TwoQ cache size  1779501, 45020916 req, miss ratio 0.0583, byte miss ratio 0.0583
result/tencentBlock.ns4116.oracleGeneral.zst B-LRU cache size     2224, 45020916 req, miss ratio 0.7813, byte miss ratio 0.7813
result/tencentBlock.ns4116.oracleGeneral.zst B-LRU cache size     6673, 45020916 req, miss ratio 0.6681, byte miss ratio 0.6681
result/tencentBlock.ns4116.oracleGeneral.zst B-LRU cache size    22243, 45020916 req, miss ratio 0.5518, byte miss ratio 0.5518
result/tencentBlock.ns4116.oracleGeneral.zst B-LRU cache size    66731, 45020916 req, miss ratio 0.4259, byte miss ratio 0.4259
result/tencentBlock.ns4116.oracleGeneral.zst B-LRU cache size   222437, 45020916 req, miss ratio 0.2437, byte miss ratio 0.2437
result/tencentBlock.ns4116.oracleGeneral.zst B-LRU cache size   444875, 45020916 req, miss ratio 0.1616, byte miss ratio 0.1616
result/tencentBlock.ns4116.oracleGeneral.zst B-LRU cache size   889750, 45020916 req, miss ratio 0.1087, byte miss ratio 0.1087
result/tencentBlock.ns4116.oracleGeneral.zst B-LRU cache size  1779501, 45020916 req, miss ratio 0.0958, byte miss ratio 0.0958
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO cache size     2224, 45020916 req, miss ratio 0.7433, byte miss ratio 0.7433
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO cache size     6673, 45020916 req, miss ratio 0.6419, byte miss ratio 0.6419
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO cache size    22243, 45020916 req, miss ratio 0.5064, byte miss ratio 0.5064
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO cache size    66731, 45020916 req, miss ratio 0.3671, byte miss ratio 0.3671
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO cache size   222437, 45020916 req, miss ratio 0.1908, byte miss ratio 0.1908
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO cache size   444875, 45020916 req, miss ratio 0.1082, byte miss ratio 0.1082
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO cache size   889750, 45020916 req, miss ratio 0.0647, byte miss ratio 0.0647
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO cache size  1779501, 45020916 req, miss ratio 0.0502, byte miss ratio 0.0502
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d cache size     2224, 45020916 req, miss ratio 0.7551, byte miss ratio 0.7551
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d cache size     6673, 45020916 req, miss ratio 0.6321, byte miss ratio 0.6321
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d cache size    22243, 45020916 req, miss ratio 0.4963, byte miss ratio 0.4963
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d cache size    66731, 45020916 req, miss ratio 0.3708, byte miss ratio 0.3708
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d cache size   222437, 45020916 req, miss ratio 0.1958, byte miss ratio 0.1958
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d cache size   444875, 45020916 req, miss ratio 0.1112, byte miss ratio 0.1112
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d cache size   889750, 45020916 req, miss ratio 0.0682, byte miss ratio 0.0682
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d cache size  1779501, 45020916 req, miss ratio 0.0502, byte miss ratio 0.0502
result/tencentBlock.ns4116.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2224, 45020916 req, miss ratio 0.7751, byte miss ratio 0.7751
result/tencentBlock.ns4116.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6673, 45020916 req, miss ratio 0.6958, byte miss ratio 0.6958
result/tencentBlock.ns4116.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    22243, 45020916 req, miss ratio 0.5783, byte miss ratio 0.5783
result/tencentBlock.ns4116.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    66731, 45020916 req, miss ratio 0.4117, byte miss ratio 0.4117
result/tencentBlock.ns4116.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   222437, 45020916 req, miss ratio 0.2002, byte miss ratio 0.2002
result/tencentBlock.ns4116.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   444875, 45020916 req, miss ratio 0.1120, byte miss ratio 0.1120
result/tencentBlock.ns4116.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   889750, 45020916 req, miss ratio 0.0747, byte miss ratio 0.0747
result/tencentBlock.ns4116.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1779501, 45020916 req, miss ratio 0.0534, byte miss ratio 0.0534
result/tencentBlock.ns4116.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2224, 45020916 req, miss ratio 0.7665, byte miss ratio 0.7665
result/tencentBlock.ns4116.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6673, 45020916 req, miss ratio 0.6769, byte miss ratio 0.6769
result/tencentBlock.ns4116.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    22243, 45020916 req, miss ratio 0.5349, byte miss ratio 0.5349
result/tencentBlock.ns4116.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    66731, 45020916 req, miss ratio 0.3731, byte miss ratio 0.3731
result/tencentBlock.ns4116.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   222437, 45020916 req, miss ratio 0.1935, byte miss ratio 0.1935
result/tencentBlock.ns4116.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   444875, 45020916 req, miss ratio 0.1089, byte miss ratio 0.1089
result/tencentBlock.ns4116.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   889750, 45020916 req, miss ratio 0.0792, byte miss ratio 0.0792
result/tencentBlock.ns4116.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1779501, 45020916 req, miss ratio 0.0548, byte miss ratio 0.0548
