result/tencentBlock.ns3944.oracleGeneral.zst Cacheus cache size  7176305, 25965545 req, miss ratio 0.4762, byte miss ratio 0.4762
result/tencentBlock.ns3944.oracleGeneral.zst ARC cache size     8970, 25965545 req, miss ratio 0.9016, byte miss ratio 0.9016
result/tencentBlock.ns3944.oracleGeneral.zst ARC cache size    26911, 25965545 req, miss ratio 0.8765, byte miss ratio 0.8765
result/tencentBlock.ns3944.oracleGeneral.zst ARC cache size    89703, 25965545 req, miss ratio 0.8491, byte miss ratio 0.8491
result/tencentBlock.ns3944.oracleGeneral.zst ARC cache size   269111, 25965545 req, miss ratio 0.8095, byte miss ratio 0.8095
result/tencentBlock.ns3944.oracleGeneral.zst ARC cache size   897038, 25965545 req, miss ratio 0.7284, byte miss ratio 0.7284
result/tencentBlock.ns3944.oracleGeneral.zst ARC cache size  1794076, 25965545 req, miss ratio 0.5866, byte miss ratio 0.5866
result/tencentBlock.ns3944.oracleGeneral.zst ARC cache size  3588152, 25965545 req, miss ratio 0.4833, byte miss ratio 0.4833
result/tencentBlock.ns3944.oracleGeneral.zst ARC cache size  7176305, 25965545 req, miss ratio 0.4710, byte miss ratio 0.4710
result/tencentBlock.ns3944.oracleGeneral.zst FIFO cache size     8970, 25965545 req, miss ratio 0.9286, byte miss ratio 0.9286
result/tencentBlock.ns3944.oracleGeneral.zst FIFO cache size    26911, 25965545 req, miss ratio 0.9147, byte miss ratio 0.9147
result/tencentBlock.ns3944.oracleGeneral.zst FIFO cache size    89703, 25965545 req, miss ratio 0.8967, byte miss ratio 0.8967
result/tencentBlock.ns3944.oracleGeneral.zst FIFO cache size   269111, 25965545 req, miss ratio 0.8662, byte miss ratio 0.8662
result/tencentBlock.ns3944.oracleGeneral.zst FIFO cache size   897038, 25965545 req, miss ratio 0.7920, byte miss ratio 0.7920
result/tencentBlock.ns3944.oracleGeneral.zst FIFO cache size  1794076, 25965545 req, miss ratio 0.7054, byte miss ratio 0.7054
result/tencentBlock.ns3944.oracleGeneral.zst FIFO cache size  3588152, 25965545 req, miss ratio 0.5821, byte miss ratio 0.5821
result/tencentBlock.ns3944.oracleGeneral.zst FIFO cache size  7176305, 25965545 req, miss ratio 0.5181, byte miss ratio 0.5181
result/tencentBlock.ns3944.oracleGeneral.zst LHD cache size     8970, 25965545 req, miss ratio 0.9150, byte miss ratio 0.9150
result/tencentBlock.ns3944.oracleGeneral.zst LHD cache size    26911, 25965545 req, miss ratio 0.8953, byte miss ratio 0.8953
result/tencentBlock.ns3944.oracleGeneral.zst LHD cache size    89703, 25965545 req, miss ratio 0.8555, byte miss ratio 0.8555
result/tencentBlock.ns3944.oracleGeneral.zst LHD cache size   269111, 25965545 req, miss ratio 0.8015, byte miss ratio 0.8015
result/tencentBlock.ns3944.oracleGeneral.zst LHD cache size   897038, 25965545 req, miss ratio 0.7173, byte miss ratio 0.7173
result/tencentBlock.ns3944.oracleGeneral.zst LHD cache size  1794076, 25965545 req, miss ratio 0.5640, byte miss ratio 0.5640
result/tencentBlock.ns3944.oracleGeneral.zst LHD cache size  3588152, 25965545 req, miss ratio 0.4852, byte miss ratio 0.4852
result/tencentBlock.ns3944.oracleGeneral.zst LHD cache size  7176305, 25965545 req, miss ratio 0.3779, byte miss ratio 0.3779
result/tencentBlock.ns3944.oracleGeneral.zst clock2 cache size     8970, 25965545 req, miss ratio 0.9210, byte miss ratio 0.9210
result/tencentBlock.ns3944.oracleGeneral.zst clock2 cache size    26911, 25965545 req, miss ratio 0.9065, byte miss ratio 0.9065
result/tencentBlock.ns3944.oracleGeneral.zst clock2 cache size    89703, 25965545 req, miss ratio 0.8838, byte miss ratio 0.8838
result/tencentBlock.ns3944.oracleGeneral.zst clock2 cache size   269111, 25965545 req, miss ratio 0.8358, byte miss ratio 0.8358
result/tencentBlock.ns3944.oracleGeneral.zst clock2 cache size   897038, 25965545 req, miss ratio 0.7930, byte miss ratio 0.7930
result/tencentBlock.ns3944.oracleGeneral.zst clock2 cache size  1794076, 25965545 req, miss ratio 0.7010, byte miss ratio 0.7010
result/tencentBlock.ns3944.oracleGeneral.zst clock2 cache size  3588152, 25965545 req, miss ratio 0.4849, byte miss ratio 0.4849
result/tencentBlock.ns3944.oracleGeneral.zst clock2 cache size  7176305, 25965545 req, miss ratio 0.4706, byte miss ratio 0.4706
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-d-1 cache size     8970, 25965545 req, miss ratio 0.9018, byte miss ratio 0.9018
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-d-1 cache size    26911, 25965545 req, miss ratio 0.8693, byte miss ratio 0.8693
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-d-1 cache size    89703, 25965545 req, miss ratio 0.8440, byte miss ratio 0.8440
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-d-1 cache size   269111, 25965545 req, miss ratio 0.7961, byte miss ratio 0.7961
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-d-1 cache size   897038, 25965545 req, miss ratio 0.6973, byte miss ratio 0.6973
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-d-1 cache size  1794076, 25965545 req, miss ratio 0.5299, byte miss ratio 0.5299
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-d-1 cache size  3588152, 25965545 req, miss ratio 0.4831, byte miss ratio 0.4831
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-d-1 cache size  7176305, 25965545 req, miss ratio 0.4706, byte miss ratio 0.4706
result/tencentBlock.ns3944.oracleGeneral.zst LRB cache size     8970, 25965545 req, miss ratio 0.8941, byte miss ratio 0.8941
result/tencentBlock.ns3944.oracleGeneral.zst LRB cache size    26911, 25965545 req, miss ratio 0.8402, byte miss ratio 0.8402
result/tencentBlock.ns3944.oracleGeneral.zst LRB cache size    89703, 25965545 req, miss ratio 0.8189, byte miss ratio 0.8189
result/tencentBlock.ns3944.oracleGeneral.zst LRB cache size   269111, 25965545 req, miss ratio 0.7818, byte miss ratio 0.7818
result/tencentBlock.ns3944.oracleGeneral.zst LRB cache size   897038, 25965545 req, miss ratio 0.6673, byte miss ratio 0.6673
result/tencentBlock.ns3944.oracleGeneral.zst LRB cache size  1794076, 25965545 req, miss ratio 0.5818, byte miss ratio 0.5818
result/tencentBlock.ns3944.oracleGeneral.zst LRB cache size  3588152, 25965545 req, miss ratio 0.4865, byte miss ratio 0.4865
result/tencentBlock.ns3944.oracleGeneral.zst LRB cache size  7176305, 25965545 req, miss ratio 0.4313, byte miss ratio 0.4313
result/tencentBlock.ns3944.oracleGeneral.zst TwoQ cache size     8970, 25965545 req, miss ratio 0.9072, byte miss ratio 0.9072
result/tencentBlock.ns3944.oracleGeneral.zst TwoQ cache size    26911, 25965545 req, miss ratio 0.8798, byte miss ratio 0.8798
result/tencentBlock.ns3944.oracleGeneral.zst TwoQ cache size    89703, 25965545 req, miss ratio 0.8509, byte miss ratio 0.8509
