result/tencentBlock.ns21025.oracleGeneral.zst LIRS cache size      519, 37962624 req, miss ratio 0.6112, byte miss ratio 0.6112
result/tencentBlock.ns21025.oracleGeneral.zst LIRS cache size     1557, 37962624 req, miss ratio 0.2510, byte miss ratio 0.2510
result/tencentBlock.ns21025.oracleGeneral.zst LIRS cache size     5191, 37962624 req, miss ratio 0.0764, byte miss ratio 0.0764
result/tencentBlock.ns21025.oracleGeneral.zst LIRS cache size    15574, 37962624 req, miss ratio 0.0607, byte miss ratio 0.0607
result/tencentBlock.ns21025.oracleGeneral.zst LIRS cache size    51916, 37962624 req, miss ratio 0.0479, byte miss ratio 0.0479
result/tencentBlock.ns21025.oracleGeneral.zst LIRS cache size   103832, 37962624 req, miss ratio 0.0312, byte miss ratio 0.0312
result/tencentBlock.ns21025.oracleGeneral.zst LIRS cache size   207664, 37962624 req, miss ratio 0.0160, byte miss ratio 0.0160
result/tencentBlock.ns21025.oracleGeneral.zst LIRS cache size   415328, 37962624 req, miss ratio 0.0140, byte miss ratio 0.0140
result/tencentBlock.ns21025.oracleGeneral.zst Cacheus cache size      519, 37962624 req, miss ratio 0.7814, byte miss ratio 0.7814
result/tencentBlock.ns21025.oracleGeneral.zst Cacheus cache size     1557, 37962624 req, miss ratio 0.4849, byte miss ratio 0.4849
result/tencentBlock.ns21025.oracleGeneral.zst Cacheus cache size     5191, 37962624 req, miss ratio 0.0748, byte miss ratio 0.0748
result/tencentBlock.ns21025.oracleGeneral.zst Cacheus cache size    15574, 37962624 req, miss ratio 0.0546, byte miss ratio 0.0546
result/tencentBlock.ns21025.oracleGeneral.zst Cacheus cache size    51916, 37962624 req, miss ratio 0.0449, byte miss ratio 0.0449
result/tencentBlock.ns21025.oracleGeneral.zst Cacheus cache size   103832, 37962624 req, miss ratio 0.0323, byte miss ratio 0.0323
result/tencentBlock.ns21025.oracleGeneral.zst Cacheus cache size   207664, 37962624 req, miss ratio 0.0166, byte miss ratio 0.0166
result/tencentBlock.ns21025.oracleGeneral.zst Cacheus cache size   415328, 37962624 req, miss ratio 0.0138, byte miss ratio 0.0138
result/tencentBlock.ns21025.oracleGeneral.zst LRU cache size      519, 37962624 req, miss ratio 0.9394, byte miss ratio 0.9394
result/tencentBlock.ns21025.oracleGeneral.zst LRU cache size     1557, 37962624 req, miss ratio 0.5520, byte miss ratio 0.5520
result/tencentBlock.ns21025.oracleGeneral.zst LRU cache size     5191, 37962624 req, miss ratio 0.0775, byte miss ratio 0.0775
result/tencentBlock.ns21025.oracleGeneral.zst LRU cache size    15574, 37962624 req, miss ratio 0.0553, byte miss ratio 0.0553
result/tencentBlock.ns21025.oracleGeneral.zst LRU cache size    51916, 37962624 req, miss ratio 0.0452, byte miss ratio 0.0452
result/tencentBlock.ns21025.oracleGeneral.zst LRU cache size   103832, 37962624 req, miss ratio 0.0332, byte miss ratio 0.0332
result/tencentBlock.ns21025.oracleGeneral.zst LRU cache size   207664, 37962624 req, miss ratio 0.0167, byte miss ratio 0.0167
result/tencentBlock.ns21025.oracleGeneral.zst LRU cache size   415328, 37962624 req, miss ratio 0.0138, byte miss ratio 0.0138
result/tencentBlock.ns21025.oracleGeneral.zst clock2 cache size      519, 37962624 req, miss ratio 0.9355, byte miss ratio 0.9355
result/tencentBlock.ns21025.oracleGeneral.zst clock2 cache size     1557, 37962624 req, miss ratio 0.4646, byte miss ratio 0.4646
result/tencentBlock.ns21025.oracleGeneral.zst clock2 cache size     5191, 37962624 req, miss ratio 0.0745, byte miss ratio 0.0745
result/tencentBlock.ns21025.oracleGeneral.zst clock2 cache size    15574, 37962624 req, miss ratio 0.0544, byte miss ratio 0.0544
result/tencentBlock.ns21025.oracleGeneral.zst clock2 cache size    51916, 37962624 req, miss ratio 0.0460, byte miss ratio 0.0460
result/tencentBlock.ns21025.oracleGeneral.zst clock2 cache size   103832, 37962624 req, miss ratio 0.0377, byte miss ratio 0.0377
result/tencentBlock.ns21025.oracleGeneral.zst clock2 cache size   207664, 37962624 req, miss ratio 0.0160, byte miss ratio 0.0160
result/tencentBlock.ns21025.oracleGeneral.zst clock2 cache size   415328, 37962624 req, miss ratio 0.0138, byte miss ratio 0.0138
result/tencentBlock.ns21025.oracleGeneral.zst FIFO cache size      519, 37962624 req, miss ratio 0.9400, byte miss ratio 0.9400
result/tencentBlock.ns21025.oracleGeneral.zst FIFO cache size     1557, 37962624 req, miss ratio 0.5711, byte miss ratio 0.5711
result/tencentBlock.ns21025.oracleGeneral.zst FIFO cache size     5191, 37962624 req, miss ratio 0.1308, byte miss ratio 0.1308
result/tencentBlock.ns21025.oracleGeneral.zst FIFO cache size    15574, 37962624 req, miss ratio 0.0704, byte miss ratio 0.0704
result/tencentBlock.ns21025.oracleGeneral.zst FIFO cache size    51916, 37962624 req, miss ratio 0.0507, byte miss ratio 0.0507
result/tencentBlock.ns21025.oracleGeneral.zst FIFO cache size   103832, 37962624 req, miss ratio 0.0379, byte miss ratio 0.0379
result/tencentBlock.ns21025.oracleGeneral.zst FIFO cache size   207664, 37962624 req, miss ratio 0.0229, byte miss ratio 0.0229
result/tencentBlock.ns21025.oracleGeneral.zst FIFO cache size   415328, 37962624 req, miss ratio 0.0157, byte miss ratio 0.0157
result/tencentBlock.ns21025.oracleGeneral.zst S3FIFO-1 cache size      519, 37962624 req, miss ratio 0.6381, byte miss ratio 0.6381
result/tencentBlock.ns21025.oracleGeneral.zst S3FIFO-1 cache size     1557, 37962624 req, miss ratio 0.3241, byte miss ratio 0.3241
result/tencentBlock.ns21025.oracleGeneral.zst S3FIFO-1 cache size     5191, 37962624 req, miss ratio 0.0739, byte miss ratio 0.0739
result/tencentBlock.ns21025.oracleGeneral.zst S3FIFO-1 cache size    15574, 37962624 req, miss ratio 0.0533, byte miss ratio 0.0533
result/tencentBlock.ns21025.oracleGeneral.zst S3FIFO-1 cache size    51916, 37962624 req, miss ratio 0.0438, byte miss ratio 0.0438
result/tencentBlock.ns21025.oracleGeneral.zst S3FIFO-1 cache size   103832, 37962624 req, miss ratio 0.0316, byte miss ratio 0.0316
result/tencentBlock.ns21025.oracleGeneral.zst S3FIFO-1 cache size   207664, 37962624 req, miss ratio 0.0155, byte miss ratio 0.0155
result/tencentBlock.ns21025.oracleGeneral.zst S3FIFO-1 cache size   415328, 37962624 req, miss ratio 0.0138, byte miss ratio 0.0138
result/tencentBlock.ns21025.oracleGeneral.zst LeCaR cache size      519, 37962624 req, miss ratio 0.7126, byte miss ratio 0.7126
result/tencentBlock.ns21025.oracleGeneral.zst LeCaR cache size     1557, 37962624 req, miss ratio 0.3954, byte miss ratio 0.3954
result/tencentBlock.ns21025.oracleGeneral.zst LeCaR cache size     5191, 37962624 req, miss ratio 0.0756, byte miss ratio 0.0756
result/tencentBlock.ns21025.oracleGeneral.zst LeCaR cache size    15574, 37962624 req, miss ratio 0.0546, byte miss ratio 0.0546
result/tencentBlock.ns21025.oracleGeneral.zst LeCaR cache size    51916, 37962624 req, miss ratio 0.0445, byte miss ratio 0.0445
result/tencentBlock.ns21025.oracleGeneral.zst LeCaR cache size   103832, 37962624 req, miss ratio 0.0317, byte miss ratio 0.0317
result/tencentBlock.ns21025.oracleGeneral.zst LeCaR cache size   207664, 37962624 req, miss ratio 0.0158, byte miss ratio 0.0158
result/tencentBlock.ns21025.oracleGeneral.zst LeCaR cache size   415328, 37962624 req, miss ratio 0.0138, byte miss ratio 0.0138
result/tencentBlock.ns21025.oracleGeneral.zst Clock cache size      519, 37962624 req, miss ratio 0.9368, byte miss ratio 0.9368
result/tencentBlock.ns21025.oracleGeneral.zst Clock cache size     1557, 37962624 req, miss ratio 0.4985, byte miss ratio 0.4985
result/tencentBlock.ns21025.oracleGeneral.zst Clock cache size     5191, 37962624 req, miss ratio 0.0758, byte miss ratio 0.0758
result/tencentBlock.ns21025.oracleGeneral.zst Clock cache size    15574, 37962624 req, miss ratio 0.0549, byte miss ratio 0.0549
result/tencentBlock.ns21025.oracleGeneral.zst Clock cache size    51916, 37962624 req, miss ratio 0.0454, byte miss ratio 0.0454
result/tencentBlock.ns21025.oracleGeneral.zst Clock cache size   103832, 37962624 req, miss ratio 0.0358, byte miss ratio 0.0358
result/tencentBlock.ns21025.oracleGeneral.zst Clock cache size   207664, 37962624 req, miss ratio 0.0164, byte miss ratio 0.0164
result/tencentBlock.ns21025.oracleGeneral.zst Clock cache size   415328, 37962624 req, miss ratio 0.0138, byte miss ratio 0.0138
result/tencentBlock.ns21025.oracleGeneral.zst LHD cache size      519, 37962624 req, miss ratio 0.6811, byte miss ratio 0.6811
result/tencentBlock.ns21025.oracleGeneral.zst LHD cache size     1557, 37962624 req, miss ratio 0.2954, byte miss ratio 0.2954
result/tencentBlock.ns21025.oracleGeneral.zst LHD cache size     5191, 37962624 req, miss ratio 0.0761, byte miss ratio 0.0761
result/tencentBlock.ns21025.oracleGeneral.zst LHD cache size    15574, 37962624 req, miss ratio 0.0528, byte miss ratio 0.0528
result/tencentBlock.ns21025.oracleGeneral.zst LHD cache size    51916, 37962624 req, miss ratio 0.0407, byte miss ratio 0.0407
result/tencentBlock.ns21025.oracleGeneral.zst LHD cache size   103832, 37962624 req, miss ratio 0.0285, byte miss ratio 0.0285
result/tencentBlock.ns21025.oracleGeneral.zst LHD cache size   207664, 37962624 req, miss ratio 0.0166, byte miss ratio 0.0166
result/tencentBlock.ns21025.oracleGeneral.zst LHD cache size   415328, 37962624 req, miss ratio 0.0138, byte miss ratio 0.0138
result/tencentBlock.ns21025.oracleGeneral.zst ARC cache size      519, 37962624 req, miss ratio 0.6426, byte miss ratio 0.6426
result/tencentBlock.ns21025.oracleGeneral.zst ARC cache size     1557, 37962624 req, miss ratio 0.3471, byte miss ratio 0.3471
result/tencentBlock.ns21025.oracleGeneral.zst ARC cache size     5191, 37962624 req, miss ratio 0.0737, byte miss ratio 0.0737
result/tencentBlock.ns21025.oracleGeneral.zst ARC cache size    15574, 37962624 req, miss ratio 0.0535, byte miss ratio 0.0535
result/tencentBlock.ns21025.oracleGeneral.zst ARC cache size    51916, 37962624 req, miss ratio 0.0454, byte miss ratio 0.0454
result/tencentBlock.ns21025.oracleGeneral.zst ARC cache size   103832, 37962624 req, miss ratio 0.0325, byte miss ratio 0.0325
result/tencentBlock.ns21025.oracleGeneral.zst ARC cache size   207664, 37962624 req, miss ratio 0.0156, byte miss ratio 0.0156
result/tencentBlock.ns21025.oracleGeneral.zst ARC cache size   415328, 37962624 req, miss ratio 0.0138, byte miss ratio 0.0138
