result/tencentBlock.ns16912.oracleGeneral.zst LRU cache size      469, 3922013 req, miss ratio 0.5876, byte miss ratio 0.5876
result/tencentBlock.ns16912.oracleGeneral.zst LRU cache size     1408, 3922013 req, miss ratio 0.4602, byte miss ratio 0.4602
result/tencentBlock.ns16912.oracleGeneral.zst LRU cache size     4695, 3922013 req, miss ratio 0.3332, byte miss ratio 0.3332
result/tencentBlock.ns16912.oracleGeneral.zst LRU cache size    14085, 3922013 req, miss ratio 0.2939, byte miss ratio 0.2939
result/tencentBlock.ns16912.oracleGeneral.zst LRU cache size    46950, 3922013 req, miss ratio 0.2274, byte miss ratio 0.2274
result/tencentBlock.ns16912.oracleGeneral.zst LRU cache size    93900, 3922013 req, miss ratio 0.1766, byte miss ratio 0.1766
result/tencentBlock.ns16912.oracleGeneral.zst LRU cache size   187800, 3922013 req, miss ratio 0.1301, byte miss ratio 0.1301
result/tencentBlock.ns16912.oracleGeneral.zst LRU cache size   375601, 3922013 req, miss ratio 0.1200, byte miss ratio 0.1200
result/tencentBlock.ns16912.oracleGeneral.zst LeCaR cache size      469, 3922013 req, miss ratio 0.5817, byte miss ratio 0.5817
result/tencentBlock.ns16912.oracleGeneral.zst LeCaR cache size     1408, 3922013 req, miss ratio 0.4480, byte miss ratio 0.4480
result/tencentBlock.ns16912.oracleGeneral.zst LeCaR cache size     4695, 3922013 req, miss ratio 0.3262, byte miss ratio 0.3262
result/tencentBlock.ns16912.oracleGeneral.zst LeCaR cache size    14085, 3922013 req, miss ratio 0.2936, byte miss ratio 0.2936
result/tencentBlock.ns16912.oracleGeneral.zst LeCaR cache size    46950, 3922013 req, miss ratio 0.2259, byte miss ratio 0.2259
result/tencentBlock.ns16912.oracleGeneral.zst LeCaR cache size    93900, 3922013 req, miss ratio 0.1741, byte miss ratio 0.1741
result/tencentBlock.ns16912.oracleGeneral.zst LeCaR cache size   187800, 3922013 req, miss ratio 0.1291, byte miss ratio 0.1291
result/tencentBlock.ns16912.oracleGeneral.zst LeCaR cache size   375601, 3922013 req, miss ratio 0.1201, byte miss ratio 0.1201
result/tencentBlock.ns16912.oracleGeneral.zst Clock cache size      469, 3922013 req, miss ratio 0.5813, byte miss ratio 0.5813
result/tencentBlock.ns16912.oracleGeneral.zst Clock cache size     1408, 3922013 req, miss ratio 0.4527, byte miss ratio 0.4527
result/tencentBlock.ns16912.oracleGeneral.zst Clock cache size     4695, 3922013 req, miss ratio 0.3296, byte miss ratio 0.3296
result/tencentBlock.ns16912.oracleGeneral.zst Clock cache size    14085, 3922013 req, miss ratio 0.2947, byte miss ratio 0.2947
result/tencentBlock.ns16912.oracleGeneral.zst Clock cache size    46950, 3922013 req, miss ratio 0.2289, byte miss ratio 0.2289
result/tencentBlock.ns16912.oracleGeneral.zst Clock cache size    93900, 3922013 req, miss ratio 0.1876, byte miss ratio 0.1876
result/tencentBlock.ns16912.oracleGeneral.zst Clock cache size   187800, 3922013 req, miss ratio 0.1340, byte miss ratio 0.1340
result/tencentBlock.ns16912.oracleGeneral.zst Clock cache size   375601, 3922013 req, miss ratio 0.1204, byte miss ratio 0.1204
result/tencentBlock.ns16912.oracleGeneral.zst S3FIFO-1 cache size      469, 3922013 req, miss ratio 0.5700, byte miss ratio 0.5700
result/tencentBlock.ns16912.oracleGeneral.zst S3FIFO-1 cache size     1408, 3922013 req, miss ratio 0.3574, byte miss ratio 0.3574
result/tencentBlock.ns16912.oracleGeneral.zst S3FIFO-1 cache size     4695, 3922013 req, miss ratio 0.3231, byte miss ratio 0.3231
result/tencentBlock.ns16912.oracleGeneral.zst S3FIFO-1 cache size    14085, 3922013 req, miss ratio 0.2852, byte miss ratio 0.2852
result/tencentBlock.ns16912.oracleGeneral.zst S3FIFO-1 cache size    46950, 3922013 req, miss ratio 0.2401, byte miss ratio 0.2401
result/tencentBlock.ns16912.oracleGeneral.zst S3FIFO-1 cache size    93900, 3922013 req, miss ratio 0.1840, byte miss ratio 0.1840
result/tencentBlock.ns16912.oracleGeneral.zst S3FIFO-1 cache size   187800, 3922013 req, miss ratio 0.1326, byte miss ratio 0.1326
result/tencentBlock.ns16912.oracleGeneral.zst S3FIFO-1 cache size   375601, 3922013 req, miss ratio 0.1204, byte miss ratio 0.1204
result/tencentBlock.ns16912.oracleGeneral.zst Cacheus cache size      469, 3922013 req, miss ratio 0.5613, byte miss ratio 0.5613
result/tencentBlock.ns16912.oracleGeneral.zst Cacheus cache size     1408, 3922013 req, miss ratio 0.4150, byte miss ratio 0.4150
result/tencentBlock.ns16912.oracleGeneral.zst Cacheus cache size     4695, 3922013 req, miss ratio 0.3216, byte miss ratio 0.3216
result/tencentBlock.ns16912.oracleGeneral.zst Cacheus cache size    14085, 3922013 req, miss ratio 0.2855, byte miss ratio 0.2855
result/tencentBlock.ns16912.oracleGeneral.zst Cacheus cache size    46950, 3922013 req, miss ratio 0.2289, byte miss ratio 0.2289
result/tencentBlock.ns16912.oracleGeneral.zst Cacheus cache size    93900, 3922013 req, miss ratio 0.1850, byte miss ratio 0.1850
result/tencentBlock.ns16912.oracleGeneral.zst Cacheus cache size   187800, 3922013 req, miss ratio 0.1342, byte miss ratio 0.1342
result/tencentBlock.ns16912.oracleGeneral.zst Cacheus cache size   375601, 3922013 req, miss ratio 0.1204, byte miss ratio 0.1204
result/tencentBlock.ns16912.oracleGeneral.zst ARC cache size      469, 3922013 req, miss ratio 0.5637, byte miss ratio 0.5637
result/tencentBlock.ns16912.oracleGeneral.zst ARC cache size     1408, 3922013 req, miss ratio 0.3837, byte miss ratio 0.3837
result/tencentBlock.ns16912.oracleGeneral.zst ARC cache size     4695, 3922013 req, miss ratio 0.3214, byte miss ratio 0.3214
result/tencentBlock.ns16912.oracleGeneral.zst ARC cache size    14085, 3922013 req, miss ratio 0.2873, byte miss ratio 0.2873
result/tencentBlock.ns16912.oracleGeneral.zst ARC cache size    46950, 3922013 req, miss ratio 0.2284, byte miss ratio 0.2284
result/tencentBlock.ns16912.oracleGeneral.zst ARC cache size    93900, 3922013 req, miss ratio 0.1780, byte miss ratio 0.1780
result/tencentBlock.ns16912.oracleGeneral.zst ARC cache size   187800, 3922013 req, miss ratio 0.1295, byte miss ratio 0.1295
result/tencentBlock.ns16912.oracleGeneral.zst ARC cache size   375601, 3922013 req, miss ratio 0.1204, byte miss ratio 0.1204
result/tencentBlock.ns16912.oracleGeneral.zst clock2 cache size      469, 3922013 req, miss ratio 0.5793, byte miss ratio 0.5793
result/tencentBlock.ns16912.oracleGeneral.zst clock2 cache size     1408, 3922013 req, miss ratio 0.4456, byte miss ratio 0.4456
result/tencentBlock.ns16912.oracleGeneral.zst clock2 cache size     4695, 3922013 req, miss ratio 0.3248, byte miss ratio 0.3248
result/tencentBlock.ns16912.oracleGeneral.zst clock2 cache size    14085, 3922013 req, miss ratio 0.2953, byte miss ratio 0.2953
result/tencentBlock.ns16912.oracleGeneral.zst clock2 cache size    46950, 3922013 req, miss ratio 0.2329, byte miss ratio 0.2329
result/tencentBlock.ns16912.oracleGeneral.zst clock2 cache size    93900, 3922013 req, miss ratio 0.1970, byte miss ratio 0.1970
result/tencentBlock.ns16912.oracleGeneral.zst clock2 cache size   187800, 3922013 req, miss ratio 0.1348, byte miss ratio 0.1348
result/tencentBlock.ns16912.oracleGeneral.zst clock2 cache size   375601, 3922013 req, miss ratio 0.1204, byte miss ratio 0.1204
result/tencentBlock.ns16912.oracleGeneral.zst LIRS cache size      469, 3922013 req, miss ratio 0.5781, byte miss ratio 0.5781
result/tencentBlock.ns16912.oracleGeneral.zst LIRS cache size     1408, 3922013 req, miss ratio 0.3930, byte miss ratio 0.3930
result/tencentBlock.ns16912.oracleGeneral.zst LIRS cache size     4695, 3922013 req, miss ratio 0.3354, byte miss ratio 0.3354
result/tencentBlock.ns16912.oracleGeneral.zst LIRS cache size    14085, 3922013 req, miss ratio 0.2871, byte miss ratio 0.2871
result/tencentBlock.ns16912.oracleGeneral.zst LIRS cache size    46950, 3922013 req, miss ratio 0.2408, byte miss ratio 0.2408
result/tencentBlock.ns16912.oracleGeneral.zst LIRS cache size    93900, 3922013 req, miss ratio 0.1927, byte miss ratio 0.1927
result/tencentBlock.ns16912.oracleGeneral.zst LIRS cache size   187800, 3922013 req, miss ratio 0.1460, byte miss ratio 0.1460
result/tencentBlock.ns16912.oracleGeneral.zst LIRS cache size   375601, 3922013 req, miss ratio 0.1238, byte miss ratio 0.1238
result/tencentBlock.ns16912.oracleGeneral.zst LHD cache size      469, 3922013 req, miss ratio 0.5807, byte miss ratio 0.5807
result/tencentBlock.ns16912.oracleGeneral.zst LHD cache size     1408, 3922013 req, miss ratio 0.4213, byte miss ratio 0.4213
result/tencentBlock.ns16912.oracleGeneral.zst LHD cache size     4695, 3922013 req, miss ratio 0.3254, byte miss ratio 0.3254
result/tencentBlock.ns16912.oracleGeneral.zst LHD cache size    14085, 3922013 req, miss ratio 0.2886, byte miss ratio 0.2886
result/tencentBlock.ns16912.oracleGeneral.zst LHD cache size    46950, 3922013 req, miss ratio 0.2254, byte miss ratio 0.2254
result/tencentBlock.ns16912.oracleGeneral.zst LHD cache size    93900, 3922013 req, miss ratio 0.1695, byte miss ratio 0.1695
result/tencentBlock.ns16912.oracleGeneral.zst LHD cache size   187800, 3922013 req, miss ratio 0.1341, byte miss ratio 0.1341
result/tencentBlock.ns16912.oracleGeneral.zst LHD cache size   375601, 3922013 req, miss ratio 0.1201, byte miss ratio 0.1201
result/tencentBlock.ns16912.oracleGeneral.zst FIFO cache size      469, 3922013 req, miss ratio 0.6659, byte miss ratio 0.6659
result/tencentBlock.ns16912.oracleGeneral.zst FIFO cache size     1408, 3922013 req, miss ratio 0.5083, byte miss ratio 0.5083
result/tencentBlock.ns16912.oracleGeneral.zst FIFO cache size     4695, 3922013 req, miss ratio 0.3851, byte miss ratio 0.3851
result/tencentBlock.ns16912.oracleGeneral.zst FIFO cache size    14085, 3922013 req, miss ratio 0.3166, byte miss ratio 0.3166
result/tencentBlock.ns16912.oracleGeneral.zst FIFO cache size    46950, 3922013 req, miss ratio 0.2403, byte miss ratio 0.2403
result/tencentBlock.ns16912.oracleGeneral.zst FIFO cache size    93900, 3922013 req, miss ratio 0.1864, byte miss ratio 0.1864
result/tencentBlock.ns16912.oracleGeneral.zst FIFO cache size   187800, 3922013 req, miss ratio 0.1492, byte miss ratio 0.1492
result/tencentBlock.ns16912.oracleGeneral.zst FIFO cache size   375601, 3922013 req, miss ratio 0.1266, byte miss ratio 0.1266
result/tencentBlock.ns16912.oracleGeneral.zst S3FIFO-d-1 cache size      469, 3922013 req, miss ratio 0.5633, byte miss ratio 0.5633
result/tencentBlock.ns16912.oracleGeneral.zst S3FIFO-d-1 cache size     1408, 3922013 req, miss ratio 0.3566, byte miss ratio 0.3566
result/tencentBlock.ns16912.oracleGeneral.zst S3FIFO-d-1 cache size     4695, 3922013 req, miss ratio 0.3225, byte miss ratio 0.3225
result/tencentBlock.ns16912.oracleGeneral.zst S3FIFO-d-1 cache size    14085, 3922013 req, miss ratio 0.2846, byte miss ratio 0.2846
result/tencentBlock.ns16912.oracleGeneral.zst S3FIFO-d-1 cache size    46950, 3922013 req, miss ratio 0.2341, byte miss ratio 0.2341
result/tencentBlock.ns16912.oracleGeneral.zst S3FIFO-d-1 cache size    93900, 3922013 req, miss ratio 0.1829, byte miss ratio 0.1829
result/tencentBlock.ns16912.oracleGeneral.zst S3FIFO-d-1 cache size   187800, 3922013 req, miss ratio 0.1321, byte miss ratio 0.1321
result/tencentBlock.ns16912.oracleGeneral.zst S3FIFO-d-1 cache size   375601, 3922013 req, miss ratio 0.1204, byte miss ratio 0.1204
result/tencentBlock.ns16912.oracleGeneral.zst LRB cache size      469, 3922013 req, miss ratio 0.5767, byte miss ratio 0.5767
result/tencentBlock.ns16912.oracleGeneral.zst LRB cache size     1408, 3922013 req, miss ratio 0.3755, byte miss ratio 0.3755
result/tencentBlock.ns16912.oracleGeneral.zst LRB cache size     4695, 3922013 req, miss ratio 0.3285, byte miss ratio 0.3285
result/tencentBlock.ns16912.oracleGeneral.zst LRB cache size    14085, 3922013 req, miss ratio 0.2933, byte miss ratio 0.2933
result/tencentBlock.ns16912.oracleGeneral.zst LRB cache size    46950, 3922013 req, miss ratio 0.2346, byte miss ratio 0.2346
result/tencentBlock.ns16912.oracleGeneral.zst LRB cache size    93900, 3922013 req, miss ratio 0.1713, byte miss ratio 0.1713
result/tencentBlock.ns16912.oracleGeneral.zst LRB cache size   187800, 3922013 req, miss ratio 0.1337, byte miss ratio 0.1337
result/tencentBlock.ns16912.oracleGeneral.zst LRB cache size   375601, 3922013 req, miss ratio 0.1200, byte miss ratio 0.1200
result/tencentBlock.ns16912.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      469, 3922013 req, miss ratio 0.6104, byte miss ratio 0.6104
result/tencentBlock.ns16912.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1408, 3922013 req, miss ratio 0.4634, byte miss ratio 0.4634
result/tencentBlock.ns16912.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4695, 3922013 req, miss ratio 0.3428, byte miss ratio 0.3428
result/tencentBlock.ns16912.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14085, 3922013 req, miss ratio 0.3048, byte miss ratio 0.3048
result/tencentBlock.ns16912.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    46950, 3922013 req, miss ratio 0.2523, byte miss ratio 0.2523
result/tencentBlock.ns16912.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    93900, 3922013 req, miss ratio 0.2075, byte miss ratio 0.2075
result/tencentBlock.ns16912.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   187800, 3922013 req, miss ratio 0.1460, byte miss ratio 0.1460
result/tencentBlock.ns16912.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   375601, 3922013 req, miss ratio 0.1251, byte miss ratio 0.1251
result/tencentBlock.ns16912.oracleGeneral.zst B-LRU cache size      469, 3922013 req, miss ratio 0.6062, byte miss ratio 0.6062
result/tencentBlock.ns16912.oracleGeneral.zst B-LRU cache size     1408, 3922013 req, miss ratio 0.4753, byte miss ratio 0.4753
result/tencentBlock.ns16912.oracleGeneral.zst B-LRU cache size     4695, 3922013 req, miss ratio 0.3656, byte miss ratio 0.3656
result/tencentBlock.ns16912.oracleGeneral.zst B-LRU cache size    14085, 3922013 req, miss ratio 0.3330, byte miss ratio 0.3330
result/tencentBlock.ns16912.oracleGeneral.zst B-LRU cache size    46950, 3922013 req, miss ratio 0.2824, byte miss ratio 0.2824
result/tencentBlock.ns16912.oracleGeneral.zst B-LRU cache size    93900, 3922013 req, miss ratio 0.2331, byte miss ratio 0.2331
result/tencentBlock.ns16912.oracleGeneral.zst B-LRU cache size   187800, 3922013 req, miss ratio 0.2059, byte miss ratio 0.2059
result/tencentBlock.ns16912.oracleGeneral.zst B-LRU cache size   375601, 3922013 req, miss ratio 0.2039, byte miss ratio 0.2039
result/tencentBlock.ns16912.oracleGeneral.zst TwoQ cache size      469, 3922013 req, miss ratio 0.5554, byte miss ratio 0.5554
result/tencentBlock.ns16912.oracleGeneral.zst TwoQ cache size     1408, 3922013 req, miss ratio 0.3677, byte miss ratio 0.3677
result/tencentBlock.ns16912.oracleGeneral.zst TwoQ cache size     4695, 3922013 req, miss ratio 0.3213, byte miss ratio 0.3213
result/tencentBlock.ns16912.oracleGeneral.zst TwoQ cache size    14085, 3922013 req, miss ratio 0.2929, byte miss ratio 0.2929
result/tencentBlock.ns16912.oracleGeneral.zst TwoQ cache size    46950, 3922013 req, miss ratio 0.2351, byte miss ratio 0.2351
result/tencentBlock.ns16912.oracleGeneral.zst TwoQ cache size    93900, 3922013 req, miss ratio 0.1700, byte miss ratio 0.1700
result/tencentBlock.ns16912.oracleGeneral.zst TwoQ cache size   187800, 3922013 req, miss ratio 0.1413, byte miss ratio 0.1413
result/tencentBlock.ns16912.oracleGeneral.zst TwoQ cache size   375601, 3922013 req, miss ratio 0.1266, byte miss ratio 0.1266
