result/tencentBlock.ns18242.oracleGeneral.zst LIRS cache size      170, 1472806 req, miss ratio 0.5112, byte miss ratio 0.5112
result/tencentBlock.ns18242.oracleGeneral.zst LIRS cache size      510, 1472806 req, miss ratio 0.4768, byte miss ratio 0.4768
result/tencentBlock.ns18242.oracleGeneral.zst LIRS cache size     1701, 1472806 req, miss ratio 0.4315, byte miss ratio 0.4315
result/tencentBlock.ns18242.oracleGeneral.zst LIRS cache size     5105, 1472806 req, miss ratio 0.4292, byte miss ratio 0.4292
result/tencentBlock.ns18242.oracleGeneral.zst LIRS cache size    17019, 1472806 req, miss ratio 0.3881, byte miss ratio 0.3881
result/tencentBlock.ns18242.oracleGeneral.zst LIRS cache size    34038, 1472806 req, miss ratio 0.3509, byte miss ratio 0.3509
result/tencentBlock.ns18242.oracleGeneral.zst LIRS cache size    68076, 1472806 req, miss ratio 0.2762, byte miss ratio 0.2762
result/tencentBlock.ns18242.oracleGeneral.zst LIRS cache size   136153, 1472806 req, miss ratio 0.1238, byte miss ratio 0.1238
result/tencentBlock.ns18242.oracleGeneral.zst LRU cache size      170, 1472806 req, miss ratio 0.4495, byte miss ratio 0.4495
result/tencentBlock.ns18242.oracleGeneral.zst LRU cache size      510, 1472806 req, miss ratio 0.4371, byte miss ratio 0.4371
result/tencentBlock.ns18242.oracleGeneral.zst LRU cache size     1701, 1472806 req, miss ratio 0.4317, byte miss ratio 0.4317
result/tencentBlock.ns18242.oracleGeneral.zst LRU cache size     5105, 1472806 req, miss ratio 0.4300, byte miss ratio 0.4300
result/tencentBlock.ns18242.oracleGeneral.zst LRU cache size    17019, 1472806 req, miss ratio 0.4003, byte miss ratio 0.4003
result/tencentBlock.ns18242.oracleGeneral.zst LRU cache size    34038, 1472806 req, miss ratio 0.3594, byte miss ratio 0.3594
result/tencentBlock.ns18242.oracleGeneral.zst LRU cache size    68076, 1472806 req, miss ratio 0.2394, byte miss ratio 0.2394
result/tencentBlock.ns18242.oracleGeneral.zst LRU cache size   136153, 1472806 req, miss ratio 0.1237, byte miss ratio 0.1237
result/tencentBlock.ns18242.oracleGeneral.zst LHD cache size      170, 1472806 req, miss ratio 0.4549, byte miss ratio 0.4549
result/tencentBlock.ns18242.oracleGeneral.zst LHD cache size      510, 1472806 req, miss ratio 0.4369, byte miss ratio 0.4369
result/tencentBlock.ns18242.oracleGeneral.zst LHD cache size     1701, 1472806 req, miss ratio 0.4312, byte miss ratio 0.4312
result/tencentBlock.ns18242.oracleGeneral.zst LHD cache size     5105, 1472806 req, miss ratio 0.4299, byte miss ratio 0.4299
result/tencentBlock.ns18242.oracleGeneral.zst LHD cache size    17019, 1472806 req, miss ratio 0.3981, byte miss ratio 0.3981
result/tencentBlock.ns18242.oracleGeneral.zst LHD cache size    34038, 1472806 req, miss ratio 0.3428, byte miss ratio 0.3428
result/tencentBlock.ns18242.oracleGeneral.zst LHD cache size    68076, 1472806 req, miss ratio 0.2445, byte miss ratio 0.2445
result/tencentBlock.ns18242.oracleGeneral.zst LHD cache size   136153, 1472806 req, miss ratio 0.1240, byte miss ratio 0.1240
result/tencentBlock.ns18242.oracleGeneral.zst ARC cache size      170, 1472806 req, miss ratio 0.4406, byte miss ratio 0.4406
result/tencentBlock.ns18242.oracleGeneral.zst ARC cache size      510, 1472806 req, miss ratio 0.4330, byte miss ratio 0.4330
result/tencentBlock.ns18242.oracleGeneral.zst ARC cache size     1701, 1472806 req, miss ratio 0.4310, byte miss ratio 0.4310
result/tencentBlock.ns18242.oracleGeneral.zst ARC cache size     5105, 1472806 req, miss ratio 0.4298, byte miss ratio 0.4298
result/tencentBlock.ns18242.oracleGeneral.zst ARC cache size    17019, 1472806 req, miss ratio 0.4032, byte miss ratio 0.4032
result/tencentBlock.ns18242.oracleGeneral.zst ARC cache size    34038, 1472806 req, miss ratio 0.3203, byte miss ratio 0.3203
result/tencentBlock.ns18242.oracleGeneral.zst ARC cache size    68076, 1472806 req, miss ratio 0.2521, byte miss ratio 0.2521
result/tencentBlock.ns18242.oracleGeneral.zst ARC cache size   136153, 1472806 req, miss ratio 0.1219, byte miss ratio 0.1219
result/tencentBlock.ns18242.oracleGeneral.zst LeCaR cache size      170, 1472806 req, miss ratio 0.4482, byte miss ratio 0.4482
result/tencentBlock.ns18242.oracleGeneral.zst LeCaR cache size      510, 1472806 req, miss ratio 0.4364, byte miss ratio 0.4364
result/tencentBlock.ns18242.oracleGeneral.zst LeCaR cache size     1701, 1472806 req, miss ratio 0.4313, byte miss ratio 0.4313
result/tencentBlock.ns18242.oracleGeneral.zst LeCaR cache size     5105, 1472806 req, miss ratio 0.4299, byte miss ratio 0.4299
result/tencentBlock.ns18242.oracleGeneral.zst LeCaR cache size    17019, 1472806 req, miss ratio 0.3994, byte miss ratio 0.3994
result/tencentBlock.ns18242.oracleGeneral.zst LeCaR cache size    34038, 1472806 req, miss ratio 0.3578, byte miss ratio 0.3578
result/tencentBlock.ns18242.oracleGeneral.zst LeCaR cache size    68076, 1472806 req, miss ratio 0.2417, byte miss ratio 0.2417
result/tencentBlock.ns18242.oracleGeneral.zst LeCaR cache size   136153, 1472806 req, miss ratio 0.1222, byte miss ratio 0.1222
result/tencentBlock.ns18242.oracleGeneral.zst clock2 cache size      170, 1472806 req, miss ratio 0.4502, byte miss ratio 0.4502
result/tencentBlock.ns18242.oracleGeneral.zst clock2 cache size      510, 1472806 req, miss ratio 0.4367, byte miss ratio 0.4367
result/tencentBlock.ns18242.oracleGeneral.zst clock2 cache size     1701, 1472806 req, miss ratio 0.4316, byte miss ratio 0.4316
result/tencentBlock.ns18242.oracleGeneral.zst clock2 cache size     5105, 1472806 req, miss ratio 0.4300, byte miss ratio 0.4300
result/tencentBlock.ns18242.oracleGeneral.zst clock2 cache size    17019, 1472806 req, miss ratio 0.4289, byte miss ratio 0.4289
result/tencentBlock.ns18242.oracleGeneral.zst clock2 cache size    34038, 1472806 req, miss ratio 0.3753, byte miss ratio 0.3753
result/tencentBlock.ns18242.oracleGeneral.zst clock2 cache size    68076, 1472806 req, miss ratio 0.3090, byte miss ratio 0.3090
result/tencentBlock.ns18242.oracleGeneral.zst clock2 cache size   136153, 1472806 req, miss ratio 0.1252, byte miss ratio 0.1252
result/tencentBlock.ns18242.oracleGeneral.zst Clock cache size      170, 1472806 req, miss ratio 0.4495, byte miss ratio 0.4495
result/tencentBlock.ns18242.oracleGeneral.zst Clock cache size      510, 1472806 req, miss ratio 0.4371, byte miss ratio 0.4371
result/tencentBlock.ns18242.oracleGeneral.zst Clock cache size     1701, 1472806 req, miss ratio 0.4317, byte miss ratio 0.4317
result/tencentBlock.ns18242.oracleGeneral.zst Clock cache size     5105, 1472806 req, miss ratio 0.4300, byte miss ratio 0.4300
result/tencentBlock.ns18242.oracleGeneral.zst Clock cache size    17019, 1472806 req, miss ratio 0.4270, byte miss ratio 0.4270
result/tencentBlock.ns18242.oracleGeneral.zst Clock cache size    34038, 1472806 req, miss ratio 0.3694, byte miss ratio 0.3694
result/tencentBlock.ns18242.oracleGeneral.zst Clock cache size    68076, 1472806 req, miss ratio 0.2864, byte miss ratio 0.2864
result/tencentBlock.ns18242.oracleGeneral.zst Clock cache size   136153, 1472806 req, miss ratio 0.1279, byte miss ratio 0.1279
result/tencentBlock.ns18242.oracleGeneral.zst S3FIFO-1 cache size      170, 1472806 req, miss ratio 0.4392, byte miss ratio 0.4392
result/tencentBlock.ns18242.oracleGeneral.zst S3FIFO-1 cache size      510, 1472806 req, miss ratio 0.4323, byte miss ratio 0.4323
result/tencentBlock.ns18242.oracleGeneral.zst S3FIFO-1 cache size     1701, 1472806 req, miss ratio 0.4306, byte miss ratio 0.4306
result/tencentBlock.ns18242.oracleGeneral.zst S3FIFO-1 cache size     5105, 1472806 req, miss ratio 0.4297, byte miss ratio 0.4297
result/tencentBlock.ns18242.oracleGeneral.zst S3FIFO-1 cache size    17019, 1472806 req, miss ratio 0.3915, byte miss ratio 0.3915
result/tencentBlock.ns18242.oracleGeneral.zst S3FIFO-1 cache size    34038, 1472806 req, miss ratio 0.3555, byte miss ratio 0.3555
result/tencentBlock.ns18242.oracleGeneral.zst S3FIFO-1 cache size    68076, 1472806 req, miss ratio 0.2777, byte miss ratio 0.2777
result/tencentBlock.ns18242.oracleGeneral.zst S3FIFO-1 cache size   136153, 1472806 req, miss ratio 0.1292, byte miss ratio 0.1292
result/tencentBlock.ns18242.oracleGeneral.zst FIFO cache size      170, 1472806 req, miss ratio 0.5169, byte miss ratio 0.5169
result/tencentBlock.ns18242.oracleGeneral.zst FIFO cache size      510, 1472806 req, miss ratio 0.4636, byte miss ratio 0.4636
result/tencentBlock.ns18242.oracleGeneral.zst FIFO cache size     1701, 1472806 req, miss ratio 0.4414, byte miss ratio 0.4414
result/tencentBlock.ns18242.oracleGeneral.zst FIFO cache size     5105, 1472806 req, miss ratio 0.4339, byte miss ratio 0.4339
result/tencentBlock.ns18242.oracleGeneral.zst FIFO cache size    17019, 1472806 req, miss ratio 0.4066, byte miss ratio 0.4066
result/tencentBlock.ns18242.oracleGeneral.zst FIFO cache size    34038, 1472806 req, miss ratio 0.3689, byte miss ratio 0.3689
result/tencentBlock.ns18242.oracleGeneral.zst FIFO cache size    68076, 1472806 req, miss ratio 0.2523, byte miss ratio 0.2523
result/tencentBlock.ns18242.oracleGeneral.zst FIFO cache size   136153, 1472806 req, miss ratio 0.1477, byte miss ratio 0.1477
result/tencentBlock.ns18242.oracleGeneral.zst Cacheus cache size      170, 1472806 req, miss ratio 0.4430, byte miss ratio 0.4430
result/tencentBlock.ns18242.oracleGeneral.zst Cacheus cache size      510, 1472806 req, miss ratio 0.4338, byte miss ratio 0.4338
result/tencentBlock.ns18242.oracleGeneral.zst Cacheus cache size     1701, 1472806 req, miss ratio 0.4304, byte miss ratio 0.4304
result/tencentBlock.ns18242.oracleGeneral.zst Cacheus cache size     5105, 1472806 req, miss ratio 0.4296, byte miss ratio 0.4296
result/tencentBlock.ns18242.oracleGeneral.zst Cacheus cache size    17019, 1472806 req, miss ratio 0.4010, byte miss ratio 0.4010
result/tencentBlock.ns18242.oracleGeneral.zst Cacheus cache size    34038, 1472806 req, miss ratio 0.3613, byte miss ratio 0.3613
result/tencentBlock.ns18242.oracleGeneral.zst Cacheus cache size    68076, 1472806 req, miss ratio 0.2924, byte miss ratio 0.2924
result/tencentBlock.ns18242.oracleGeneral.zst Cacheus cache size   136153, 1472806 req, miss ratio 0.1226, byte miss ratio 0.1226
result/tencentBlock.ns18242.oracleGeneral.zst S3FIFO-d-1 cache size      170, 1472806 req, miss ratio 0.4388, byte miss ratio 0.4388
result/tencentBlock.ns18242.oracleGeneral.zst S3FIFO-d-1 cache size      510, 1472806 req, miss ratio 0.4322, byte miss ratio 0.4322
result/tencentBlock.ns18242.oracleGeneral.zst S3FIFO-d-1 cache size     1701, 1472806 req, miss ratio 0.4306, byte miss ratio 0.4306
result/tencentBlock.ns18242.oracleGeneral.zst S3FIFO-d-1 cache size     5105, 1472806 req, miss ratio 0.4297, byte miss ratio 0.4297
result/tencentBlock.ns18242.oracleGeneral.zst S3FIFO-d-1 cache size    17019, 1472806 req, miss ratio 0.3914, byte miss ratio 0.3914
result/tencentBlock.ns18242.oracleGeneral.zst S3FIFO-d-1 cache size    34038, 1472806 req, miss ratio 0.3577, byte miss ratio 0.3577
result/tencentBlock.ns18242.oracleGeneral.zst S3FIFO-d-1 cache size    68076, 1472806 req, miss ratio 0.2772, byte miss ratio 0.2772
