result/tencentBlock.ns2197.oracleGeneral.zst LeCaR cache size      557, 3651254 req, miss ratio 0.3718, byte miss ratio 0.3718
result/tencentBlock.ns2197.oracleGeneral.zst LeCaR cache size     1673, 3651254 req, miss ratio 0.3584, byte miss ratio 0.3584
result/tencentBlock.ns2197.oracleGeneral.zst LeCaR cache size     5577, 3651254 req, miss ratio 0.3395, byte miss ratio 0.3395
result/tencentBlock.ns2197.oracleGeneral.zst LeCaR cache size    16731, 3651254 req, miss ratio 0.3046, byte miss ratio 0.3046
result/tencentBlock.ns2197.oracleGeneral.zst LeCaR cache size    55771, 3651254 req, miss ratio 0.2637, byte miss ratio 0.2637
result/tencentBlock.ns2197.oracleGeneral.zst LeCaR cache size   111543, 3651254 req, miss ratio 0.2177, byte miss ratio 0.2177
result/tencentBlock.ns2197.oracleGeneral.zst LeCaR cache size   223087, 3651254 req, miss ratio 0.1656, byte miss ratio 0.1656
result/tencentBlock.ns2197.oracleGeneral.zst LeCaR cache size   446174, 3651254 req, miss ratio 0.1529, byte miss ratio 0.1529
result/tencentBlock.ns2197.oracleGeneral.zst clock2 cache size      557, 3651254 req, miss ratio 0.3756, byte miss ratio 0.3756
result/tencentBlock.ns2197.oracleGeneral.zst clock2 cache size     1673, 3651254 req, miss ratio 0.3609, byte miss ratio 0.3609
result/tencentBlock.ns2197.oracleGeneral.zst clock2 cache size     5577, 3651254 req, miss ratio 0.3456, byte miss ratio 0.3456
result/tencentBlock.ns2197.oracleGeneral.zst clock2 cache size    16731, 3651254 req, miss ratio 0.3152, byte miss ratio 0.3152
result/tencentBlock.ns2197.oracleGeneral.zst clock2 cache size    55771, 3651254 req, miss ratio 0.2792, byte miss ratio 0.2792
result/tencentBlock.ns2197.oracleGeneral.zst clock2 cache size   111543, 3651254 req, miss ratio 0.2503, byte miss ratio 0.2503
result/tencentBlock.ns2197.oracleGeneral.zst clock2 cache size   223087, 3651254 req, miss ratio 0.1881, byte miss ratio 0.1881
result/tencentBlock.ns2197.oracleGeneral.zst clock2 cache size   446174, 3651254 req, miss ratio 0.1563, byte miss ratio 0.1563
result/tencentBlock.ns2197.oracleGeneral.zst ARC cache size      557, 3651254 req, miss ratio 0.3671, byte miss ratio 0.3671
result/tencentBlock.ns2197.oracleGeneral.zst ARC cache size     1673, 3651254 req, miss ratio 0.3565, byte miss ratio 0.3565
result/tencentBlock.ns2197.oracleGeneral.zst ARC cache size     5577, 3651254 req, miss ratio 0.3310, byte miss ratio 0.3310
result/tencentBlock.ns2197.oracleGeneral.zst ARC cache size    16731, 3651254 req, miss ratio 0.3015, byte miss ratio 0.3015
result/tencentBlock.ns2197.oracleGeneral.zst ARC cache size    55771, 3651254 req, miss ratio 0.2573, byte miss ratio 0.2573
result/tencentBlock.ns2197.oracleGeneral.zst ARC cache size   111543, 3651254 req, miss ratio 0.2197, byte miss ratio 0.2197
result/tencentBlock.ns2197.oracleGeneral.zst ARC cache size   223087, 3651254 req, miss ratio 0.1661, byte miss ratio 0.1661
result/tencentBlock.ns2197.oracleGeneral.zst ARC cache size   446174, 3651254 req, miss ratio 0.1553, byte miss ratio 0.1553
result/tencentBlock.ns2197.oracleGeneral.zst Cacheus cache size      557, 3651254 req, miss ratio 0.3670, byte miss ratio 0.3670
result/tencentBlock.ns2197.oracleGeneral.zst Cacheus cache size     1673, 3651254 req, miss ratio 0.3566, byte miss ratio 0.3566
result/tencentBlock.ns2197.oracleGeneral.zst Cacheus cache size     5577, 3651254 req, miss ratio 0.3319, byte miss ratio 0.3319
result/tencentBlock.ns2197.oracleGeneral.zst Cacheus cache size    16731, 3651254 req, miss ratio 0.3023, byte miss ratio 0.3023
result/tencentBlock.ns2197.oracleGeneral.zst Cacheus cache size    55771, 3651254 req, miss ratio 0.2633, byte miss ratio 0.2633
result/tencentBlock.ns2197.oracleGeneral.zst Cacheus cache size   111543, 3651254 req, miss ratio 0.2092, byte miss ratio 0.2092
result/tencentBlock.ns2197.oracleGeneral.zst Cacheus cache size   223087, 3651254 req, miss ratio 0.1644, byte miss ratio 0.1644
result/tencentBlock.ns2197.oracleGeneral.zst Cacheus cache size   446174, 3651254 req, miss ratio 0.1826, byte miss ratio 0.1826
result/tencentBlock.ns2197.oracleGeneral.zst LIRS cache size      557, 3651254 req, miss ratio 0.4625, byte miss ratio 0.4625
result/tencentBlock.ns2197.oracleGeneral.zst LIRS cache size     1673, 3651254 req, miss ratio 0.3769, byte miss ratio 0.3769
result/tencentBlock.ns2197.oracleGeneral.zst LIRS cache size     5577, 3651254 req, miss ratio 0.3338, byte miss ratio 0.3338
result/tencentBlock.ns2197.oracleGeneral.zst LIRS cache size    16731, 3651254 req, miss ratio 0.3013, byte miss ratio 0.3013
result/tencentBlock.ns2197.oracleGeneral.zst LIRS cache size    55771, 3651254 req, miss ratio 0.2660, byte miss ratio 0.2660
result/tencentBlock.ns2197.oracleGeneral.zst LIRS cache size   111543, 3651254 req, miss ratio 0.2143, byte miss ratio 0.2143
result/tencentBlock.ns2197.oracleGeneral.zst LIRS cache size   223087, 3651254 req, miss ratio 0.1685, byte miss ratio 0.1685
result/tencentBlock.ns2197.oracleGeneral.zst LIRS cache size   446174, 3651254 req, miss ratio 0.1536, byte miss ratio 0.1536
result/tencentBlock.ns2197.oracleGeneral.zst Clock cache size      557, 3651254 req, miss ratio 0.3733, byte miss ratio 0.3733
result/tencentBlock.ns2197.oracleGeneral.zst Clock cache size     1673, 3651254 req, miss ratio 0.3596, byte miss ratio 0.3596
result/tencentBlock.ns2197.oracleGeneral.zst Clock cache size     5577, 3651254 req, miss ratio 0.3418, byte miss ratio 0.3418
result/tencentBlock.ns2197.oracleGeneral.zst Clock cache size    16731, 3651254 req, miss ratio 0.3141, byte miss ratio 0.3141
result/tencentBlock.ns2197.oracleGeneral.zst Clock cache size    55771, 3651254 req, miss ratio 0.2707, byte miss ratio 0.2707
result/tencentBlock.ns2197.oracleGeneral.zst Clock cache size   111543, 3651254 req, miss ratio 0.2353, byte miss ratio 0.2353
result/tencentBlock.ns2197.oracleGeneral.zst Clock cache size   223087, 3651254 req, miss ratio 0.1721, byte miss ratio 0.1721
result/tencentBlock.ns2197.oracleGeneral.zst Clock cache size   446174, 3651254 req, miss ratio 0.1557, byte miss ratio 0.1557
result/tencentBlock.ns2197.oracleGeneral.zst FIFO cache size      557, 3651254 req, miss ratio 0.4202, byte miss ratio 0.4202
result/tencentBlock.ns2197.oracleGeneral.zst FIFO cache size     1673, 3651254 req, miss ratio 0.3768, byte miss ratio 0.3768
result/tencentBlock.ns2197.oracleGeneral.zst FIFO cache size     5577, 3651254 req, miss ratio 0.3494, byte miss ratio 0.3494
result/tencentBlock.ns2197.oracleGeneral.zst FIFO cache size    16731, 3651254 req, miss ratio 0.3159, byte miss ratio 0.3159
result/tencentBlock.ns2197.oracleGeneral.zst FIFO cache size    55771, 3651254 req, miss ratio 0.2753, byte miss ratio 0.2753
result/tencentBlock.ns2197.oracleGeneral.zst FIFO cache size   111543, 3651254 req, miss ratio 0.2254, byte miss ratio 0.2254
result/tencentBlock.ns2197.oracleGeneral.zst FIFO cache size   223087, 3651254 req, miss ratio 0.1904, byte miss ratio 0.1904
result/tencentBlock.ns2197.oracleGeneral.zst FIFO cache size   446174, 3651254 req, miss ratio 0.1652, byte miss ratio 0.1652
result/tencentBlock.ns2197.oracleGeneral.zst LRU cache size      557, 3651254 req, miss ratio 0.3727, byte miss ratio 0.3727
result/tencentBlock.ns2197.oracleGeneral.zst LRU cache size     1673, 3651254 req, miss ratio 0.3584, byte miss ratio 0.3584
