result/tencentBlock.ns15133.oracleGeneral.zst Clock cache size      193, 2738546 req, miss ratio 0.6389, byte miss ratio 0.6389
result/tencentBlock.ns15133.oracleGeneral.zst Clock cache size      579, 2738546 req, miss ratio 0.4485, byte miss ratio 0.4485
result/tencentBlock.ns15133.oracleGeneral.zst Clock cache size     1931, 2738546 req, miss ratio 0.2894, byte miss ratio 0.2894
result/tencentBlock.ns15133.oracleGeneral.zst Clock cache size     5795, 2738546 req, miss ratio 0.2142, byte miss ratio 0.2142
result/tencentBlock.ns15133.oracleGeneral.zst Clock cache size    19316, 2738546 req, miss ratio 0.1514, byte miss ratio 0.1514
result/tencentBlock.ns15133.oracleGeneral.zst Clock cache size    38633, 2738546 req, miss ratio 0.1183, byte miss ratio 0.1183
result/tencentBlock.ns15133.oracleGeneral.zst Clock cache size    77267, 2738546 req, miss ratio 0.0843, byte miss ratio 0.0843
result/tencentBlock.ns15133.oracleGeneral.zst Clock cache size   154534, 2738546 req, miss ratio 0.0722, byte miss ratio 0.0722
result/tencentBlock.ns15133.oracleGeneral.zst ARC cache size      193, 2738546 req, miss ratio 0.5268, byte miss ratio 0.5268
result/tencentBlock.ns15133.oracleGeneral.zst ARC cache size      579, 2738546 req, miss ratio 0.4240, byte miss ratio 0.4240
result/tencentBlock.ns15133.oracleGeneral.zst ARC cache size     1931, 2738546 req, miss ratio 0.2424, byte miss ratio 0.2424
result/tencentBlock.ns15133.oracleGeneral.zst ARC cache size     5795, 2738546 req, miss ratio 0.2051, byte miss ratio 0.2051
result/tencentBlock.ns15133.oracleGeneral.zst ARC cache size    19316, 2738546 req, miss ratio 0.1512, byte miss ratio 0.1512
result/tencentBlock.ns15133.oracleGeneral.zst ARC cache size    38633, 2738546 req, miss ratio 0.1153, byte miss ratio 0.1153
result/tencentBlock.ns15133.oracleGeneral.zst ARC cache size    77267, 2738546 req, miss ratio 0.0804, byte miss ratio 0.0804
result/tencentBlock.ns15133.oracleGeneral.zst ARC cache size   154534, 2738546 req, miss ratio 0.0722, byte miss ratio 0.0722
result/tencentBlock.ns15133.oracleGeneral.zst LIRS cache size      193, 2738546 req, miss ratio 0.5243, byte miss ratio 0.5243
result/tencentBlock.ns15133.oracleGeneral.zst LIRS cache size      579, 2738546 req, miss ratio 0.4276, byte miss ratio 0.4276
result/tencentBlock.ns15133.oracleGeneral.zst LIRS cache size     1931, 2738546 req, miss ratio 0.2543, byte miss ratio 0.2543
result/tencentBlock.ns15133.oracleGeneral.zst LIRS cache size     5795, 2738546 req, miss ratio 0.2065, byte miss ratio 0.2065
result/tencentBlock.ns15133.oracleGeneral.zst LIRS cache size    19316, 2738546 req, miss ratio 0.1578, byte miss ratio 0.1578
result/tencentBlock.ns15133.oracleGeneral.zst LIRS cache size    38633, 2738546 req, miss ratio 0.1254, byte miss ratio 0.1254
result/tencentBlock.ns15133.oracleGeneral.zst LIRS cache size    77267, 2738546 req, miss ratio 0.0878, byte miss ratio 0.0878
result/tencentBlock.ns15133.oracleGeneral.zst LIRS cache size   154534, 2738546 req, miss ratio 0.0732, byte miss ratio 0.0732
result/tencentBlock.ns15133.oracleGeneral.zst FIFO cache size      193, 2738546 req, miss ratio 0.7318, byte miss ratio 0.7318
result/tencentBlock.ns15133.oracleGeneral.zst FIFO cache size      579, 2738546 req, miss ratio 0.5220, byte miss ratio 0.5220
result/tencentBlock.ns15133.oracleGeneral.zst FIFO cache size     1931, 2738546 req, miss ratio 0.3534, byte miss ratio 0.3534
result/tencentBlock.ns15133.oracleGeneral.zst FIFO cache size     5795, 2738546 req, miss ratio 0.2529, byte miss ratio 0.2529
result/tencentBlock.ns15133.oracleGeneral.zst FIFO cache size    19316, 2738546 req, miss ratio 0.1688, byte miss ratio 0.1688
result/tencentBlock.ns15133.oracleGeneral.zst FIFO cache size    38633, 2738546 req, miss ratio 0.1237, byte miss ratio 0.1237
result/tencentBlock.ns15133.oracleGeneral.zst FIFO cache size    77267, 2738546 req, miss ratio 0.0946, byte miss ratio 0.0946
result/tencentBlock.ns15133.oracleGeneral.zst FIFO cache size   154534, 2738546 req, miss ratio 0.0769, byte miss ratio 0.0769
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-d-1 cache size      193, 2738546 req, miss ratio 0.5232, byte miss ratio 0.5232
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-d-1 cache size      579, 2738546 req, miss ratio 0.4245, byte miss ratio 0.4245
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-d-1 cache size     1931, 2738546 req, miss ratio 0.2398, byte miss ratio 0.2398
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-d-1 cache size     5795, 2738546 req, miss ratio 0.2056, byte miss ratio 0.2056
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-d-1 cache size    19316, 2738546 req, miss ratio 0.1577, byte miss ratio 0.1577
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-d-1 cache size    38633, 2738546 req, miss ratio 0.1205, byte miss ratio 0.1205
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-d-1 cache size    77267, 2738546 req, miss ratio 0.0814, byte miss ratio 0.0814
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-d-1 cache size   154534, 2738546 req, miss ratio 0.0722, byte miss ratio 0.0722
result/tencentBlock.ns15133.oracleGeneral.zst LRB cache size      193, 2738546 req, miss ratio 0.5561, byte miss ratio 0.5561
result/tencentBlock.ns15133.oracleGeneral.zst LRB cache size      579, 2738546 req, miss ratio 0.4285, byte miss ratio 0.4285
result/tencentBlock.ns15133.oracleGeneral.zst LRB cache size     1931, 2738546 req, miss ratio 0.2597, byte miss ratio 0.2597
result/tencentBlock.ns15133.oracleGeneral.zst LRB cache size     5795, 2738546 req, miss ratio 0.2197, byte miss ratio 0.2197
result/tencentBlock.ns15133.oracleGeneral.zst LRB cache size    19316, 2738546 req, miss ratio 0.1721, byte miss ratio 0.1721
result/tencentBlock.ns15133.oracleGeneral.zst LRB cache size    38633, 2738546 req, miss ratio 0.1324, byte miss ratio 0.1324
result/tencentBlock.ns15133.oracleGeneral.zst LRB cache size    77267, 2738546 req, miss ratio 0.0814, byte miss ratio 0.0814
result/tencentBlock.ns15133.oracleGeneral.zst LRB cache size   154534, 2738546 req, miss ratio 0.0716, byte miss ratio 0.0716
result/tencentBlock.ns15133.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      193, 2738546 req, miss ratio 0.6775, byte miss ratio 0.6775
result/tencentBlock.ns15133.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      579, 2738546 req, miss ratio 0.4622, byte miss ratio 0.4622
result/tencentBlock.ns15133.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1931, 2738546 req, miss ratio 0.3011, byte miss ratio 0.3011
result/tencentBlock.ns15133.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5795, 2738546 req, miss ratio 0.2278, byte miss ratio 0.2278
result/tencentBlock.ns15133.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    19316, 2738546 req, miss ratio 0.1743, byte miss ratio 0.1743
result/tencentBlock.ns15133.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    38633, 2738546 req, miss ratio 0.1406, byte miss ratio 0.1406
result/tencentBlock.ns15133.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    77267, 2738546 req, miss ratio 0.1011, byte miss ratio 0.1011
result/tencentBlock.ns15133.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   154534, 2738546 req, miss ratio 0.0761, byte miss ratio 0.0761
result/tencentBlock.ns15133.oracleGeneral.zst B-LRU cache size      193, 2738546 req, miss ratio 0.6265, byte miss ratio 0.6265
result/tencentBlock.ns15133.oracleGeneral.zst B-LRU cache size      579, 2738546 req, miss ratio 0.4627, byte miss ratio 0.4627
result/tencentBlock.ns15133.oracleGeneral.zst B-LRU cache size     1931, 2738546 req, miss ratio 0.3100, byte miss ratio 0.3100
result/tencentBlock.ns15133.oracleGeneral.zst B-LRU cache size     5795, 2738546 req, miss ratio 0.2392, byte miss ratio 0.2392
result/tencentBlock.ns15133.oracleGeneral.zst B-LRU cache size    19316, 2738546 req, miss ratio 0.1823, byte miss ratio 0.1823
result/tencentBlock.ns15133.oracleGeneral.zst B-LRU cache size    38633, 2738546 req, miss ratio 0.1481, byte miss ratio 0.1481
result/tencentBlock.ns15133.oracleGeneral.zst B-LRU cache size    77267, 2738546 req, miss ratio 0.1264, byte miss ratio 0.1264
result/tencentBlock.ns15133.oracleGeneral.zst B-LRU cache size   154534, 2738546 req, miss ratio 0.1235, byte miss ratio 0.1235
result/tencentBlock.ns15133.oracleGeneral.zst TwoQ cache size      193, 2738546 req, miss ratio 0.5281, byte miss ratio 0.5281
result/tencentBlock.ns15133.oracleGeneral.zst TwoQ cache size      579, 2738546 req, miss ratio 0.4238, byte miss ratio 0.4238
result/tencentBlock.ns15133.oracleGeneral.zst TwoQ cache size     1931, 2738546 req, miss ratio 0.2425, byte miss ratio 0.2425
result/tencentBlock.ns15133.oracleGeneral.zst TwoQ cache size     5795, 2738546 req, miss ratio 0.2082, byte miss ratio 0.2082
result/tencentBlock.ns15133.oracleGeneral.zst TwoQ cache size    19316, 2738546 req, miss ratio 0.1597, byte miss ratio 0.1597
result/tencentBlock.ns15133.oracleGeneral.zst TwoQ cache size    38633, 2738546 req, miss ratio 0.1160, byte miss ratio 0.1160
result/tencentBlock.ns15133.oracleGeneral.zst TwoQ cache size    77267, 2738546 req, miss ratio 0.0874, byte miss ratio 0.0874
result/tencentBlock.ns15133.oracleGeneral.zst TwoQ cache size   154534, 2738546 req, miss ratio 0.0769, byte miss ratio 0.0769
result/tencentBlock.ns15133.oracleGeneral.zst S4LRU(25:25:25:25) cache size      193, 2738546 req, miss ratio 0.7352, byte miss ratio 0.7352
result/tencentBlock.ns15133.oracleGeneral.zst S4LRU(25:25:25:25) cache size      579, 2738546 req, miss ratio 0.4418, byte miss ratio 0.4418
