result/tencentBlock.ns8331.oracleGeneral.zst LHD cache size      580, 4922545 req, miss ratio 0.5104, byte miss ratio 0.5104
result/tencentBlock.ns8331.oracleGeneral.zst LHD cache size     1742, 4922545 req, miss ratio 0.4746, byte miss ratio 0.4746
result/tencentBlock.ns8331.oracleGeneral.zst LHD cache size     5809, 4922545 req, miss ratio 0.4081, byte miss ratio 0.4081
result/tencentBlock.ns8331.oracleGeneral.zst LHD cache size    17428, 4922545 req, miss ratio 0.3285, byte miss ratio 0.3285
result/tencentBlock.ns8331.oracleGeneral.zst LHD cache size    58095, 4922545 req, miss ratio 0.2587, byte miss ratio 0.2587
result/tencentBlock.ns8331.oracleGeneral.zst LHD cache size   116190, 4922545 req, miss ratio 0.2210, byte miss ratio 0.2210
result/tencentBlock.ns8331.oracleGeneral.zst LHD cache size   232381, 4922545 req, miss ratio 0.1726, byte miss ratio 0.1726
result/tencentBlock.ns8331.oracleGeneral.zst LHD cache size   464762, 4922545 req, miss ratio 0.1243, byte miss ratio 0.1243
result/tencentBlock.ns8331.oracleGeneral.zst S3FIFO-1 cache size      580, 4922545 req, miss ratio 0.4979, byte miss ratio 0.4979
result/tencentBlock.ns8331.oracleGeneral.zst S3FIFO-1 cache size     1742, 4922545 req, miss ratio 0.4608, byte miss ratio 0.4608
result/tencentBlock.ns8331.oracleGeneral.zst S3FIFO-1 cache size     5809, 4922545 req, miss ratio 0.3984, byte miss ratio 0.3984
result/tencentBlock.ns8331.oracleGeneral.zst S3FIFO-1 cache size    17428, 4922545 req, miss ratio 0.3294, byte miss ratio 0.3294
result/tencentBlock.ns8331.oracleGeneral.zst S3FIFO-1 cache size    58095, 4922545 req, miss ratio 0.2620, byte miss ratio 0.2620
result/tencentBlock.ns8331.oracleGeneral.zst S3FIFO-1 cache size   116190, 4922545 req, miss ratio 0.2177, byte miss ratio 0.2177
result/tencentBlock.ns8331.oracleGeneral.zst S3FIFO-1 cache size   232381, 4922545 req, miss ratio 0.1606, byte miss ratio 0.1606
result/tencentBlock.ns8331.oracleGeneral.zst S3FIFO-1 cache size   464762, 4922545 req, miss ratio 0.1231, byte miss ratio 0.1231
