result/2016_LUN1.oracleGeneral.zst    QDLPv1-0.1000-0.9000-Clock2-1 cache size 24096762, 492030661 req, miss ratio 0.1708, byte miss ratio 0.1708
result/2016_LUN1.oracleGeneral.zst    QDLPv1-0.1000-0.9000-Clock2-1 cache size 48193525, 492030661 req, miss ratio 0.1239, byte miss ratio 0.1239
result/2016_LUN1.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size    60241, 492030661 req, miss ratio 0.7898, byte miss ratio 0.7898
result/2016_LUN1.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size   180725, 492030661 req, miss ratio 0.7571, byte miss ratio 0.7571
result/2016_LUN1.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size   602419, 492030661 req, miss ratio 0.7064, byte miss ratio 0.7064
result/2016_LUN1.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size  1807257, 492030661 req, miss ratio 0.6135, byte miss ratio 0.6135
result/2016_LUN1.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size  6024190, 492030661 req, miss ratio 0.4269, byte miss ratio 0.4269
result/2016_LUN1.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size 12048381, 492030661 req, miss ratio 0.2883, byte miss ratio 0.2883
result/2016_LUN1.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size 24096762, 492030661 req, miss ratio 0.1868, byte miss ratio 0.1868
result/2016_LUN1.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size 48193525, 492030661 req, miss ratio 0.1325, byte miss ratio 0.1325
result/2016_LUN1.oracleGeneral.zst                            LeCaR cache size    60241, 492030661 req, miss ratio 0.7889, byte miss ratio 0.7889
result/2016_LUN1.oracleGeneral.zst                            LeCaR cache size   180725, 492030661 req, miss ratio 0.7589, byte miss ratio 0.7589
result/2016_LUN1.oracleGeneral.zst                            LeCaR cache size   602419, 492030661 req, miss ratio 0.7119, byte miss ratio 0.7119
result/2016_LUN1.oracleGeneral.zst                            LeCaR cache size  1807257, 492030661 req, miss ratio 0.6129, byte miss ratio 0.6129
result/2016_LUN1.oracleGeneral.zst                            LeCaR cache size  6024190, 492030661 req, miss ratio 0.4456, byte miss ratio 0.4456
result/2016_LUN1.oracleGeneral.zst                            LeCaR cache size 12048381, 492030661 req, miss ratio 0.2404, byte miss ratio 0.2404
result/2016_LUN1.oracleGeneral.zst                            LeCaR cache size 24096762, 492030661 req, miss ratio 0.1812, byte miss ratio 0.1812
result/2016_LUN1.oracleGeneral.zst                            LeCaR cache size 48193525, 492030661 req, miss ratio 0.1242, byte miss ratio 0.1242
result/2016_LUN1.oracleGeneral.zst                  QDLPv2-Clock2 cache size    60241, 492030661 req, miss ratio 0.7667, byte miss ratio 0.7667
result/2016_LUN1.oracleGeneral.zst                  QDLPv2-Clock2 cache size   180725, 492030661 req, miss ratio 0.7333, byte miss ratio 0.7333
result/2016_LUN1.oracleGeneral.zst                  QDLPv2-Clock2 cache size   602419, 492030661 req, miss ratio 0.6561, byte miss ratio 0.6561
result/2016_LUN1.oracleGeneral.zst                  QDLPv2-Clock2 cache size  1807257, 492030661 req, miss ratio 0.5621, byte miss ratio 0.5621
result/2016_LUN1.oracleGeneral.zst                  QDLPv2-Clock2 cache size  6024190, 492030661 req, miss ratio 0.4386, byte miss ratio 0.4386
result/2016_LUN1.oracleGeneral.zst                  QDLPv2-Clock2 cache size 12048381, 492030661 req, miss ratio 0.3051, byte miss ratio 0.3051
result/2016_LUN1.oracleGeneral.zst                  QDLPv2-Clock2 cache size 24096762, 492030661 req, miss ratio 0.2129, byte miss ratio 0.2129
result/2016_LUN1.oracleGeneral.zst                  QDLPv2-Clock2 cache size 48193525, 492030661 req, miss ratio 0.1239, byte miss ratio 0.1239
result/2016_LUN1.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    60241, 492030661 req, miss ratio 0.7759, byte miss ratio 0.7759
result/2016_LUN1.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   180725, 492030661 req, miss ratio 0.7401, byte miss ratio 0.7401
result/2016_LUN1.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   602419, 492030661 req, miss ratio 0.6591, byte miss ratio 0.6591
result/2016_LUN1.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1807257, 492030661 req, miss ratio 0.5389, byte miss ratio 0.5389
